run,radius,high_beta_count,slope_phi_energy_per_beta,slope_ci95_low,slope_ci95_high,slope_significant
30_dataset,1.82,6,0.001401842884373991,-3.499718871396583e-05,0.0028386829574619478,no
30_dataset,1.83,6,0.0014155184389832015,2.5789023195035322e-05,0.0028052478547713677,yes
30_dataset,1.84,6,0.0014137312422331815,-1.1504318546076957e-05,0.00283896680301244,no
30_dataset,1.85,6,0.001412836019217872,1.8172072613149544e-05,0.0028074999658225944,yes
30_dataset,1.86,6,0.001437701677697413,1.2369354908732966e-06,0.002874166419903953,yes
30_dataset,1.87,6,0.00141384945523706,2.9973189568514944e-05,0.002797725720905605,yes
30_dataset,1.88,6,0.0014353269791137985,1.5047555527343331e-05,0.0028556064027002535,yes
30_dataset,1.89,6,0.0014510223864782146,4.020322587121772e-05,0.0028618415470852117,yes
30_dataset,1.9,6,0.0014480443901514772,6.11839652349662e-05,0.002834904815067988,yes
30_dataset,1.91,6,0.0014571724577143658,5.631766863864506e-05,0.0028580272467900866,yes
30_dataset,1.92,6,0.001439707137908781,2.7892063841875644e-05,0.0028515222119756866,yes
30_dataset,1.93,6,0.0014419254766259266,6.528458150865685e-05,0.0028185663717431963,yes
30_dataset,1.94,6,0.001436144560415499,5.110833458752328e-05,0.002821180786243475,yes
30_dataset,1.95,6,0.0014435085026523453,4.030841596060772e-05,0.002846708589344083,yes
30_dataset,1.96,6,0.0014560919315796579,4.943799750932237e-05,0.0028627458656499934,yes
30_dataset,1.97,6,0.0014471528712286066,4.2048120381560665e-05,0.0028522576220756527,yes
30_dataset,1.98,6,0.0014757184362767318,8.565225178045724e-05,0.0028657846207730065,yes
30_dataset,1.99,6,0.0014685679289636487,7.303079119638832e-05,0.002864105066730909,yes
30_dataset,2.0,6,0.0014767587147617046,6.636258539989537e-05,0.0028871548441235136,yes
30_dataset,2.01,6,0.001477334516142358,8.459297441840543e-05,0.0028700760578663108,yes
30_dataset,2.02,6,0.0014828110380628548,9.672889153826783e-05,0.0028688931845874416,yes
30_dataset,2.03,6,0.00148077149012785,5.266837643142495e-05,0.002908874603824275,yes
30_dataset,2.04,6,0.0014713984777432335,7.790072198210463e-05,0.002864896233504362,yes
30_dataset,2.05,6,0.0014775649472995387,9.593901046172021e-05,0.0028591908841373572,yes
30_dataset,2.06,6,0.001468579406330111,0.0001147457576128341,0.002822413055047388,yes
30_dataset,2.07,6,0.001477707915339673,8.888699248586133e-05,0.0028665288381934844,yes
30_dataset,2.08,6,0.0014620775502078736,7.558901632885237e-05,0.002848566084086895,yes
30_dataset,2.09,6,0.00148969398206655,0.00012700416374904558,0.0028523838003840546,yes
30_dataset,2.1,6,0.001497029629198797,8.282942654155726e-05,0.0029112298318560367,yes
30_dataset,2.11,6,0.0014779022673752523,9.586763677100455e-05,0.0028599368979795,yes
30_dataset,2.12,6,0.001484346119655693,0.0001049491835518764,0.0028637430557595096,yes
30_dataset,2.13,6,0.0014985162269608098,0.00013691725115196063,0.002860115202769659,yes
30_dataset,2.14,6,0.001487145864521157,0.00011859361871552278,0.0028556981103267914,yes
30_dataset,2.15,6,0.0015035457661715483,0.00012230468242890717,0.0028847868499141897,yes
30_dataset,2.16,6,0.0014938666786330373,0.00011885411504425868,0.002868879242221816,yes
30_dataset,2.17,6,0.0015027026538981247,0.000126163863462802,0.0028792414443334475,yes
30_dataset,2.18,6,0.0014778823816997961,9.092696617182968e-05,0.0028648377972277624,yes
30_dataset,2.19,6,0.0015087495687459184,0.0001312151844476638,0.002886283953044173,yes
30_dataset,2.2,6,0.0014934977481794167,0.00010846994277493379,0.0028785255535839,yes
30_dataset,2.21,6,0.0015024653146554615,9.840705117908442e-05,0.0029065235781318387,yes
30_dataset,2.22,6,0.0015279806968330032,0.0001690458859797731,0.002886915507686233,yes
30_dataset,2.23,6,0.0015210620917834195,0.00014876190494471624,0.002893362278622123,yes
30_dataset,2.24,6,0.0014955509937049864,0.00012574854890232546,0.002865353438507647,yes
30_dataset,2.25,6,0.001519845526512543,0.0001849725083046378,0.002854718544720448,yes
30_dataset,2.26,6,0.001524443578245293,0.00016415309986492124,0.0028847340566256646,yes
30_dataset,2.27,6,0.0015139412373957261,0.00016485343831154956,0.002863029036479903,yes
30_dataset,2.28,6,0.0015048672699447872,0.0001344506056685569,0.0028752839342210176,yes
30_dataset,2.29,6,0.0015005960833047287,0.0001333078566706006,0.002867884309938857,yes
30_dataset,2.3,6,0.0015078732411093626,0.00011218971823385993,0.0029035567639848652,yes
30_dataset,2.31,6,0.001500119520681054,0.000108220281666466,0.002892018759695642,yes
30_dataset,2.32,6,0.001506345479714579,0.00015410793361381506,0.0028585830258153425,yes
30_dataset,2.33,6,0.0015435351898425917,0.00015377697292270854,0.002933293406762475,yes
30_dataset,2.34,6,0.0015166852073962666,0.0001665986095377354,0.002866771805254798,yes
30_dataset,2.35,6,0.001542032788269478,0.00018621422869736994,0.002897851347841586,yes
30_dataset,2.36,6,0.0015109783336643189,0.0001331054806314833,0.0028888511866971547,yes
30_dataset,2.37,6,0.0014919025662283258,0.00013421828852135326,0.0028495868439352983,yes
30_dataset,2.38,6,0.0015113065840495568,0.00015208519483560722,0.0028705279732635066,yes
30_dataset,2.39,6,0.0015293603105224613,0.00017622516585387655,0.002882495455191046,yes
30_dataset,2.4,6,0.001505390050596211,0.0001255592797859376,0.0028852208214064845,yes
30_dataset,2.41,6,0.0015540562741972706,0.00019096294745083397,0.002917149600943707,yes
30_dataset,2.42,6,0.001532660253172762,0.00019540730096123476,0.0028699132053842894,yes
30_dataset,2.43,6,0.0015348438290939024,0.00019699904215951416,0.002872688616028291,yes
30_dataset,2.44,6,0.0015065404739584675,0.00015747457815289676,0.002855606369764038,yes
30_dataset,2.45,6,0.0015276282943221227,0.0001551664136564665,0.0029000901749877787,yes
30_dataset,2.46,6,0.0015184950013452671,0.00018088011954177472,0.0028561098831487598,yes
