source,case_id,case_label,complexity_axis,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.5,90,-0.15140722429640074,0.0004349333203509089,-0.005316365336855957,0.005138988814178175,0.23896879064532756,0.09685703597224093,0.4859268998993006
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.55,90,-0.1518668223706897,0.0003906172217052147,-0.013420091386927695,0.004305238709537284,-0.04909195805964804,0.07772967818908326,0.271911399835991
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.6,90,-0.1527492334350935,0.0003701146398438686,-0.010225561142820786,0.004159258474193864,0.011373719948549608,0.07106342243274574,0.2524790259844355
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.65,90,-0.1528893784849718,0.00034691141638772507,-0.012282719392072747,0.0038270952699303844,-0.025878068109128502,0.07105623319571922,0.24605450908911308
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.7,90,-0.15397750537430074,0.00036812917706629985,-0.012813367953733636,0.0037938255475570455,0.06612527727785761,0.06677286357166516,0.27267215772052494
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.75,90,-0.15417071528034518,0.00030372778835687246,-0.005670191664286972,0.003902257177463139,0.038277572091718275,0.06511386556623293,0.26648259864784335
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.8,90,-0.15454452454072945,0.00031257108452036926,-0.008985610744561804,0.003601907390713969,-0.05806015855097798,0.06521976237658553,0.22294153755843754
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.85,90,-0.15506927635480136,0.0002704142026362291,-0.01147620751938477,0.003688960536505646,0.01929234700072267,0.060570281899254605,0.23983433813262767
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.9,90,-0.15569214529266795,0.00021332131098417777,-0.007056376044489523,0.003280455481197003,-0.04092045801580649,0.05569884399192103,0.19064510492528208
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.95,90,-0.15577491395925028,0.00026025069835194773,-0.015568253320965387,0.002949586858975676,-0.22424757265795509,0.08458189901900925,0.21417234787345976
