radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
1.77,90,-0.001496441500186858,6.1010522471426997e-05,30.0,30,30,6.4310737415531494e-06,-0.001509046404720302,-0.0014838365956534138
1.78,90,-0.0014943932348713714,5.8148766603933585e-05,30.0,30,30,6.12941818659881e-06,-0.001506406894517105,-0.0014823795752256378
1.79,90,-0.0014942281490136096,5.645618685998393e-05,30.0,30,30,5.951004616187293e-06,-0.0015058921180613367,-0.0014825641799658825
1.8,90,-0.0014917844649008614,5.694095048290092e-05,30.0,30,30,6.002103188694382e-06,-0.0015035485871507024,-0.0014800203426510205
1.81,90,-0.0014922071262655468,5.23859545160837e-05,30.0,30,30,5.521964455760277e-06,-0.001503030176598837,-0.0014813840759322567
1.82,90,-0.001490763957791193,5.4742142656519016e-05,30.0,30,30,5.7703284930820194e-06,-0.0015020738016376337,-0.0014794541139447521
1.83,90,-0.0014883296431382521,5.284498509504304e-05,30.0,30,30,5.570350527266186e-06,-0.0014992475301716939,-0.0014774117561048104
1.84,90,-0.0014883520031428615,5.235518892332298e-05,30.0,30,30,5.518721477537308e-06,-0.0014991686972388345,-0.0014775353090468884
1.85,90,-0.0014887208143757377,5.14710195790712e-05,30.0,30,30,5.425521845366204e-06,-0.0014993548371926553,-0.00147808679155882
1.86,90,-0.0014870759703509843,5.0631588047946915e-05,30.0,30,30,5.3370379927623615e-06,-0.0014975365648167984,-0.0014766153758851701
1.87,90,-0.0014891609846632249,5.0282823928865676e-05,30.0,30,30,5.300275026681065e-06,-0.0014995495237155197,-0.00147877244561093
1.88,90,-0.001484507629694885,5.084961574341077e-05,30.0,30,30,5.360020129784473e-06,-0.0014950132691492625,-0.0014740019902405074
1.89,90,-0.0014861966098645152,4.8414770086162354e-05,30.0,30,30,5.103364862188651e-06,-0.0014961992049944048,-0.0014761940147346255
1.9,90,-0.0014864013134169676,4.69228669321225e-05,30.0,30,30,4.946104461683485e-06,-0.0014960956781618672,-0.001476706948672068
1.91,90,-0.001485039939220669,4.898224619787277e-05,30.0,30,30,5.163182096546686e-06,-0.0014951597761299004,-0.0014749201023114375
1.92,90,-0.001484833610310917,4.408543825135337e-05,30.0,30,30,4.647013217366243e-06,-0.0014939417562169547,-0.0014757254644048791
1.93,90,-0.001484979130893369,4.335808179509291e-05,30.0,30,30,4.570343114945853e-06,-0.001493937003398663,-0.0014760212583880751
1.94,90,-0.0014839209667849706,4.4452021921955645e-05,30.0,30,30,4.685654529103847e-06,-0.001493104849662014,-0.001474737083907927
1.95,90,-0.0014861757749385371,4.397605187711256e-05,30.0,30,30,4.635482881113292e-06,-0.0014952613213855192,-0.001477090228491555
