radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
1.15,90,-0.0018107258020298848,0.00015920660935194405,30.0,30,30,1.6781850136826893e-05,-0.0018436182282980656,-0.001777833375761704
1.16,90,-0.0017995058485251363,0.00015620871854087013,30.0,30,30,1.6465844698844124e-05,-0.0018317789041348708,-0.0017672327929154018
1.17,90,-0.0017893457994044193,0.00015464527994359467,30.0,30,30,1.630104380053715e-05,-0.0018212958452534722,-0.0017573957535553665
1.18,90,-0.0017797504220025961,0.00015343717240742737,30.0,30,30,1.6173698084780387e-05,-0.0018114508702487657,-0.0017480499737564266
1.19,90,-0.0017686286196346827,0.00014905291815150052,30.0,30,30,1.5711557108446532e-05,-0.001799423271567238,-0.0017378339677021275
1.2,90,-0.0017611354011480432,0.0001498288348312145,30.0,30,30,1.5793345907860253e-05,-0.0017920903591274492,-0.0017301804431686372
1.21,90,-0.0017489937883709724,0.0001437783998252906,30.0,30,30,1.5155574059409124e-05,-0.0017786987135274142,-0.0017192888632145305
1.22,90,-0.0017411400009348932,0.0001404154820052697,30.0,30,30,1.4801091396234647e-05,-0.001770150140071513,-0.0017121298617982733
1.23,90,-0.0017323440624005706,0.00014079462714713419,30.0,30,30,1.4841056803303962e-05,-0.0017614325337350465,-0.0017032555910660948
1.24,90,-0.001723923847987753,0.00013929552770352384,30.0,30,30,1.4683037847273966e-05,-0.0017527026021684098,-0.001695145093807096
1.25,90,-0.001716243766465096,0.00013639980252037873,30.0,30,30,1.4377801612052409e-05,-0.0017444242576247187,-0.0016880632753054731
1.26,90,-0.001709728312994103,0.00013332812270802418,30.0,30,30,1.4054018130392442e-05,-0.0017372741885296721,-0.001682182437458534
1.27,90,-0.0017000254187689383,0.00012933122844529973,30.0,30,30,1.3632708482490153e-05,-0.001726745527394619,-0.0016733053101432576
1.28,90,-0.0016930023114758149,0.00013047904893014742,30.0,30,30,1.3753699385060735e-05,-0.0017199595622705338,-0.001666045060681096
1.29,90,-0.0016853663245025173,0.00012877601892533283,30.0,30,30,1.3574184260433348e-05,-0.0017119717256529666,-0.001658760923352068
1.3,90,-0.0016778131180255795,0.0001260528811126098,30.0,30,30,1.3287140331408887e-05,-0.0017038559130751409,-0.0016517703229760182
1.31,90,-0.0016684588064366855,0.00012165046310425007,30.0,30,30,1.2823084727456922e-05,-0.001693592052502501,-0.0016433255603708699
1.32,90,-0.0016619585717597871,0.00012073420643267777,30.0,30,30,1.2726502794007145e-05,-0.0016869025172360412,-0.001637014626283533
1.33,90,-0.0016554479474794224,0.00011779914963169991,30.0,30,30,1.241712064223856e-05,-0.00167978550393821,-0.0016311103910206348
1.34,90,-0.0016489557215926245,0.00011652085982904961,30.0,30,30,1.2282377066033823e-05,-0.001673029180642051,-0.0016248822625431981
1.35,90,-0.0016435608381675324,0.00011489332363016634,30.0,30,30,1.2110819687272358e-05,-0.0016672980447545863,-0.0016198236315804785
1.36,90,-0.001636620881936045,0.00011394942075036554,30.0,30,30,1.201132358760027e-05,-0.0016601630761677415,-0.0016130786877043483
1.37,90,-0.0016326356248514847,0.0001135891021114695,30.0,30,30,1.1973342668189495e-05,-0.0016561033764811361,-0.0016091678732218333
1.38,90,-0.001625106805418148,0.00010980047682290166,30.0,30,30,1.1573986497763261e-05,-0.001647791818953764,-0.0016024217918825321
1.39,90,-0.0016194233271331173,0.00010679814547475734,30.0,30,30,1.1257512986074594e-05,-0.0016414880525858235,-0.0015973586016804111
1.4,90,-0.0016133904103679,0.00010695611440710388,30.0,30,30,1.127416437359993e-05,-0.001635487772540156,-0.001591293048195644
1.41,90,-0.001608406878624059,0.00010489236048673863,30.0,30,30,1.10566256096514e-05,-0.0016300778648189757,-0.0015867358924291424
1.42,90,-0.0016028162549742548,9.998261480622076e-05,30.0,30,30,1.0539092973564405e-05,-0.001623472877202441,-0.0015821596327460685
1.43,90,-0.0015979775076149247,0.00010009210000091292,30.0,30,30,1.0550633726407545e-05,-0.0016186567497186834,-0.001577298265511166
1.44,90,-0.00159008253957191,9.778648013829906e-05,30.0,30,30,1.0307600053594735e-05,-0.0016102854356769556,-0.0015698796434668644
