rule,radius,ref_count,unit_count,unit_sampling_fit_pass_count,split_fail_count,split_fail_rate,finite_fail_count,ess_fail_count,split_q50,split_q90,split_q95,split_q99,split_max,ess_q05,ess_min,phi_energy_mean,phi_energy_sd,phi_energy_q25,phi_energy_q50,phi_energy_q75,pool_q95_split_pass,pool_fail_rate_le_0p05
real_even_odd,1.1,90,90,40,50,0.5555555555555556,0,0,0.00441857528278925,0.01085420460980057,0.01159703363220748,0.015572070013700187,0.0169773068021933,0.6171005678006555,0.5696945548437643,-0.07893846696532698,0.0036712861173637708,-0.08173452759840455,-0.07912190914530057,-0.07606605659683147,False,False
real_even_odd,1.2,90,90,49,41,0.45555555555555555,0,0,0.0036293760645773002,0.009080421959678585,0.012870116212787408,0.01712761042078114,0.0176658099187147,0.5625468625014937,0.5361918747309243,-0.08358556645612501,0.004134409585182684,-0.08644413426804416,-0.0835367083450629,-0.08098521072379145,False,False
real_even_odd,1.3,90,90,39,51,0.5666666666666667,0,0,0.0049828758123092,0.010996635106180446,0.012343222357969613,0.014424980446178792,0.0150622552343628,0.6170495913315857,0.5521938682493839,-0.08683528361417771,0.004285307312865905,-0.08943723428425153,-0.08741748834025588,-0.08366945810720453,False,False
real_even_odd,1.4,90,90,34,56,0.6222222222222222,0,0,0.00473851056141085,0.009666948348830856,0.011390935394033352,0.013711415973727091,0.0169871850070875,0.6200451988085103,0.5333593819428458,-0.090134284987722,0.004137351129856064,-0.09277246977922468,-0.09076977205608752,-0.08692792206704301,False,False
real_even_odd,1.5,90,90,36,54,0.6,0,0,0.00520556070175005,0.012289314435979144,0.013497804771864004,0.016583003529601285,0.0198262245287327,0.6265259548517419,0.5850510582324204,-0.09401740200127551,0.004771992243342934,-0.09688692747432608,-0.09379844395702897,-0.09119143618028147,False,False
real_even_odd,1.6,90,90,37,53,0.5888888888888889,0,0,0.005021236438717699,0.012327835426706714,0.014864041650048242,0.018350076024878464,0.0207922688629857,0.608028667128647,0.5116325056428171,-0.09727040764129173,0.0048012234369808554,-0.10039334813850559,-0.0979279984315263,-0.0942304420813638,False,False
real_even_odd,1.7,90,90,36,54,0.6,0,0,0.00549408531782015,0.01181706710720486,0.013191190069578125,0.016050794661838435,0.0160929152214713,0.6439348772601977,0.5516760384117074,-0.10042895890862237,0.004261513218623209,-0.10348315104956966,-0.10021444147411496,-0.0974497694591353,False,False
real_even_odd,1.8,90,90,32,58,0.6444444444444445,0,0,0.00533641248374575,0.012529766344491992,0.014295567640964877,0.01762275068195554,0.0178472784087251,0.6302291832926412,0.5595747650434703,-0.1033173851313211,0.004833922221895806,-0.10639056624540749,-0.10376096496152584,-0.09996849628227514,False,False
real_even_odd,1.9,90,90,37,53,0.5888888888888889,0,0,0.00549647055277845,0.012862488626363482,0.014833848764935927,0.020148988319487186,0.0226423765742035,0.6250277254916331,0.5466511272592928,-0.10563726789922856,0.005107505634692692,-0.10963456995970909,-0.1058666592939885,-0.10259586032207668,False,False
real_even_odd,2.0,90,90,33,57,0.6333333333333333,0,0,0.00612022584887225,0.014181600915323783,0.01535700504863843,0.017540236551295538,0.0175668855535256,0.6044469405303673,0.554328259474556,-0.10796271397883124,0.0051799279745986795,-0.11076287636150547,-0.10817109041281422,-0.10530653533605748,False,False
real_even_odd,2.1,90,90,36,54,0.6,0,0,0.00537060780731945,0.01329005439087105,0.016679635468119552,0.01952945264012006,0.0196101268226472,0.5702139834642043,0.5250162852212479,-0.11144626011086026,0.0040113139497314505,-0.1141600725802657,-0.11115080660874818,-0.10892920673109854,False,False
real_even_odd,2.2,90,90,31,59,0.6555555555555556,0,0,0.00603225494242445,0.014995876193622451,0.015524717402982684,0.018990018267519816,0.0258374903350512,0.5951726128222216,0.5431198432940052,-0.11280022639433626,0.005485869817891679,-0.11582557578572834,-0.11305252227508727,-0.10969086736485241,False,False
real_even_odd,2.3,90,90,30,60,0.6666666666666666,0,0,0.00555252383484025,0.01411256519503376,0.014596539193253209,0.01586265362152563,0.0197127321756953,0.5974202411155864,0.5360414186900193,-0.11624524523362544,0.005558125197550279,-0.1197086839368439,-0.11619751354426608,-0.1128439065445564,False,False
