rule,ref_id,within_rule_cluster,within_pc1,within_pc2,within_pc3,split_fail_count,split_fail_rate,max_split,mean_phi_energy,theta_ref_norm
real_even_odd,8,1,-0.1293364059941734,0.9277112450174467,3.7062676919865183,10,0.4,0.0125113871509284,-0.07913771816398843,15.007394857712155
real_even_odd,9,0,2.729139878800867,-1.0141389748062515,2.091065624220086,7,0.28,0.0179540194527401,-0.07777540267560877,15.577534577002083
real_even_odd,10,0,1.2809662975792109,1.8609372132819344,3.347055949049727,11,0.44,0.0145762961684736,-0.07883888629185441,13.186916532857529
real_even_odd,11,1,-5.369890739409637,-2.7837117176999935,-2.148647862441954,6,0.24,0.0094386755558255,-0.08162265271421916,13.007657129219307
real_even_odd,12,1,-6.367384373996586,8.258599878210772,-1.2103313085848217,12,0.48,0.0128443110703404,-0.0816694960230699,12.419249817027293
real_even_odd,13,0,1.0212710984404079,1.0159988315637476,-0.01881491568223543,9,0.36,0.0180044290919837,-0.07886654112708129,14.380856892406124
real_even_odd,14,1,-5.0474499700680715,0.7644874876285955,-1.6931117403651783,14,0.56,0.0181939954200792,-0.0818205211805018,14.401073415607812
real_even_odd,15,1,0.8228369982415721,-0.8646787788843735,-1.8972300672799542,8,0.32,0.0088783564202668,-0.07920186152632605,13.511209422910632
real_even_odd,16,0,1.2243641799358291,2.6671806635573945,-1.8276114396450178,11,0.44,0.0132233754419755,-0.07814736726340836,13.69968196344033
real_even_odd,17,1,-4.817170543042893,-0.44323383895246404,-0.04228147139762487,13,0.52,0.0154787142494728,-0.0811550490014939,13.582555066948586
real_even_odd,18,0,0.5628482837993696,3.5343932133670717,-3.526862744000562,12,0.48,0.0160455887499737,-0.07919022888735926,14.20571641242272
real_even_odd,19,1,-4.204229938285731,-3.205643382322237,1.3721534418283825,6,0.24,0.0090887098561805,-0.08089548399528779,15.06179411565386
real_even_odd,20,0,1.6533444572887757,-3.8233886452766384,-2.1838869152978866,11,0.44,0.0153471917609267,-0.07767456533206234,13.97079746053826
real_even_odd,21,1,-1.0941645357636962,0.5567524842527274,2.1625116109539677,8,0.32,0.0114297536930623,-0.07960140304004217,13.616959053110332
real_even_odd,22,1,-2.2976924945969177,-0.21159405560704764,3.8081283064927134,8,0.32,0.0084383582679197,-0.07949644367402722,13.578322846450025
real_even_odd,23,0,1.4028949782489712,-2.4400768700584945,-2.597440269277917,13,0.52,0.0175950000640402,-0.07823692734265937,14.714240754559894
real_even_odd,24,1,1.4562027434120697,-3.668951708588144,2.025806899110609,15,0.6,0.0160929152214713,-0.07636465812455662,15.832474804334154
real_even_odd,25,0,0.6111156737989621,-2.2453816374899627,0.8561943716763575,10,0.4,0.0178760748050053,-0.07912569882995796,13.45569115502365
real_even_odd,26,1,-1.9882072312971792,-5.605639784536725,-1.4970719256671614,11,0.44,0.0152685979632851,-0.07873554437629744,13.194618987520585
real_even_odd,27,1,-0.8020310847296638,0.06172298115050743,2.085129604515593,13,0.52,0.0178472784087251,-0.0768280116276958,13.686360764324082
real_even_odd,28,1,-6.190687612235235,1.4499616078172908,0.41731099367199403,13,0.52,0.0178468464101111,-0.08042237000926518,13.295769215222805
real_even_odd,29,1,-3.1191536968920808,-2.762213580824439,0.5406302237361246,9,0.36,0.0181437014951283,-0.0788912822172516,14.988456376617558
real_even_odd,30,0,1.936489399905451,2.1074739946351784,-2.3019208381065517,7,0.28,0.0182987676917869,-0.07897565079722037,13.257935690106738
real_even_odd,31,1,0.0931912166861782,-2.626777825422229,-3.104747462964115,7,0.28,0.014879520732057,-0.07842036860388307,13.581505316686693
real_even_odd,32,1,-2.2594351672876254,2.8797856621057476,4.223938452076221,11,0.44,0.0141622425666092,-0.08030795650521678,12.983440962345751
real_even_odd,33,1,-3.5628309419622557,-3.951346615976066,0.19316758824750424,9,0.36,0.0132843220487748,-0.07964390389371026,14.378827951003665
real_even_odd,34,0,2.936280726935646,-0.3511863742665689,-1.7621552972770382,13,0.52,0.0102411154020873,-0.07800283621479925,15.813672261494808
real_even_odd,35,1,-1.6416450898065886,-1.854589769678306,-2.0168254923692754,13,0.52,0.0170610913817107,-0.0780169565959078,13.055629484402388
real_even_odd,36,0,4.829210413466431,2.091230370525706,4.31019676191488,11,0.44,0.0169871850070875,-0.07494080958577792,14.602116814545894
real_even_odd,37,0,2.695806145586788,-4.779260943476983,1.2480962185632012,10,0.4,0.0152428562491316,-0.07741088697499125,13.72565949312384
real_even_odd,38,0,1.188671200308266,-1.212349296246413,0.4528422301137645,11,0.44,0.0163114830101856,-0.0788950360038272,14.665240952198646
real_even_odd,39,1,-0.8776994111080073,-1.7359720945730601,-0.6638523318099152,12,0.48,0.0149878061127191,-0.07971404130847205,14.765596679968525
real_even_odd,40,1,-1.8358814740947467,-0.48295941808546944,0.6603909244300344,12,0.48,0.0140117038047969,-0.07977650614738999,13.77324698342927
real_even_odd,41,0,2.970767543848058,0.9580710244502778,-1.1027366029755226,12,0.48,0.0226423765742035,-0.07805017968144927,13.62109647125616
real_even_odd,42,1,-1.707364077029197,0.6684153638575399,3.691857204981229,10,0.4,0.0115387521944646,-0.07995582074329892,13.96166467904936
real_even_odd,43,0,6.806113967807217,5.554934288901075,1.4842793221961066,8,0.32,0.0126386590363651,-0.07749992006937113,15.116778937711096
real_even_odd,44,1,-0.8369202513650439,-0.6043725665117409,-0.8877042844679761,11,0.44,0.0124524219139855,-0.07964299210817012,15.237526666969574
