N,r,branch,phi_emp,phi_theory,finiteN_error
80,0.9,full_mixed_maxQ_min_s_eta,1.6645605182599872,1.7008504875343262,-0.03628996927433903
80,0.95,full_mixed_maxQ_min_s_eta,1.6999539991671715,1.7381814341957271,-0.038227435028555634
80,1.0,full_mixed_maxQ_min_s_eta,1.730706787865801,1.7710162555958724,-0.04030946773007149
80,1.05,full_mixed_maxQ_min_s_eta,1.7572002037523464,1.7994369206462149,-0.04223671689386843
80,1.1,full_mixed_maxQ_min_s_eta,1.77953487629381,1.823660893417061,-0.04412601712325115
80,1.15,full_mixed_maxQ_min_s_eta,1.7979700233573463,1.844228943711236,-0.046258920353889676
80,1.2,full_mixed_maxQ_min_s_eta,1.8124700332502357,1.86077026860544,-0.048300235355204224
80,1.25,full_mixed_maxQ_min_s_eta,1.8233490694481032,1.8735273222615216,-0.05017825281341848
80,1.3,full_mixed_maxQ_min_s_eta,1.8305657890636773,1.882683105160834,-0.05211731609715664
80,1.35,full_mixed_maxQ_min_s_eta,1.8343385443726647,1.888373322114094,-0.054034777741429174
80,1.4,full_mixed_maxQ_min_s_eta,1.834560614334188,1.8906914987241352,-0.05613088438994729
80,1.45,full_mixed_maxQ_min_s_eta,1.8315163224009163,1.88969151884924,-0.058175196448323696
80,1.5,full_mixed_maxQ_min_s_eta,1.825078331483259,1.885390341273668,-0.06031200979040885
80,1.55,full_mixed_maxQ_min_s_eta,1.815551462297969,1.877768098213897,-0.062216635915927965
80,1.6,full_mixed_maxQ_min_s_eta,1.8028211505152685,1.866766418357806,-0.06394526784253762
80,1.65,full_mixed_maxQ_min_s_eta,1.7867499700175788,1.852299809151528,-0.06554983913394907
80,1.7,full_mixed_maxQ_min_s_eta,1.7676013434694886,1.8358110964419807,-0.0682097529724921
80,1.75,full_mixed_maxQ_min_s_eta,1.745615843796776,1.8159682612992825,-0.07035241750250654
80,1.8,full_mixed_maxQ_min_s_eta,1.7204827338099782,1.7926012051781723,-0.07211847136819416
80,1.85,full_mixed_maxQ_min_s_eta,1.6923456075657768,1.7659742351979282,-0.07362862763215139
80,1.9,full_mixed_maxQ_min_s_eta,1.6613062707879127,1.7376071785018667,-0.07630090771395404
80,1.95,full_mixed_maxQ_min_s_eta,1.6272015834948048,1.7055570691978994,-0.07835548570309459
80,2.0,full_mixed_maxQ_min_s_eta,1.5901970432217414,1.6696231460710838,-0.07942610284934237
80,2.05,full_mixed_maxQ_min_s_eta,1.550350621896477,1.632835786853623,-0.08248516495714586
80,2.1,full_mixed_maxQ_min_s_eta,1.5075658071312672,1.5921087918453107,-0.08454298471404353
80,2.15,full_mixed_maxQ_min_s_eta,1.461967110614123,1.5475669802534635,-0.08559986963934052
80,2.2,full_mixed_maxQ_min_s_eta,1.413579220471748,1.5023236300686291,-0.08874440959688101
160,0.15,boundary_mixed_eta0,0.0,0.0,0.0
160,0.2,boundary_mixed_eta0,0.2853068128734223,0.2873960809559721,-0.002089268082549778
160,0.25,boundary_mixed_eta0,0.5061170707641911,0.5098688569027066,-0.003751786138515456
160,0.3,boundary_mixed_eta0,0.6858958988906213,0.6911623912089282,-0.005266492318306892
160,0.35,boundary_mixed_eta0,0.8370865657238443,0.8436756312417768,-0.00658906551793248
160,0.4,boundary_mixed_eta0,0.9670819624865178,0.975016516029479,-0.007934553542961242
160,0.45,boundary_mixed_eta0,1.0805713723524906,1.089725760841577,-0.00915438848908634
160,0.5,boundary_mixed_eta0,1.180742344033747,1.1910595285237109,-0.010317184489963882
160,0.55,boundary_mixed_eta0,1.269830509586788,1.2813090353155967,-0.011478525728808808
160,0.6,boundary_mixed_eta0,1.3495290525021917,1.362131459161558,-0.012602406659366405
160,0.65,boundary_mixed_eta0,1.4209315469253736,1.4347465538912707,-0.013815006965897103
160,0.7,boundary_mixed_eta0,1.4851319149485689,1.5000584910561643,-0.014926576107595402
160,0.75,boundary_mixed_eta0,1.5426934713631155,1.5587334352227868,-0.016039963859671325
160,0.8,boundary_mixed_eta0,1.5943413958579136,1.6113564939955354,-0.01701509813762181
160,0.85,boundary_mixed_eta0,1.640430826778097,1.6587989574830448,-0.018368130704947916
160,0.9,boundary_mixed_eta0,1.681434815953741,1.7008504875343262,-0.019415671580585325
160,0.95,boundary_mixed_eta0,1.7176418031951912,1.7381814341957271,-0.020539631000535907
160,1.0,boundary_mixed_eta0,1.7492341814583,1.7710162555958724,-0.021782074137572494
160,1.05,boundary_mixed_eta0,1.7765386019368266,1.7994369206462149,-0.0228983187093883
160,1.1,boundary_mixed_eta0,1.7996944069619758,1.823660893417061,-0.023966486455085256
160,1.15,boundary_mixed_eta0,1.818927771389748,1.844228943711236,-0.025301172321487986
160,1.2,boundary_mixed_eta0,1.8342697484939237,1.86077026860544,-0.026500520111516268
160,1.25,boundary_mixed_eta0,1.8459214948744869,1.8735273222615216,-0.027605827387034765
160,1.3,boundary_mixed_eta0,1.853977913843317,1.882683105160834,-0.02870519131751692
160,1.35,boundary_mixed_eta0,1.8584218674622304,1.888373322114094,-0.02995145465186355
160,1.4,boundary_mixed_eta0,1.8595224642282848,1.8906914987241352,-0.0311690344958504
160,1.45,boundary_mixed_eta0,1.857255982658909,1.88969151884924,-0.032435536190331016
160,1.5,boundary_mixed_eta0,1.8516494599741748,1.885390341273668,-0.03374088129949304
160,1.55,boundary_mixed_eta0,1.8427760462287477,1.877768098213897,-0.03499205198514921
160,1.6,boundary_mixed_eta0,1.8307805881926424,1.866766418357806,-0.03598583016516366
160,1.65,boundary_mixed_eta0,1.8155923966969585,1.852299809151528,-0.03670741245456943
160,1.7,boundary_mixed_eta0,1.7972861955240218,1.8358110964419807,-0.038524900917958904
160,1.75,boundary_mixed_eta0,1.7759088855132497,1.8159682612992825,-0.0400593757860328
160,1.8,boundary_mixed_eta0,1.7515441704672634,1.7926012051781723,-0.041057034710908935
160,1.85,boundary_mixed_eta0,1.724139620113392,1.7659742351979282,-0.04183461508453612
160,1.9,boundary_mixed_eta0,1.6937633327477233,1.7376071785018667,-0.04384384575414346
160,1.95,boundary_mixed_eta0,1.6604323986752347,1.7055570691978994,-0.04512467052266467
160,2.0,boundary_mixed_eta0,1.6242284128047657,1.6696231460710838,-0.045394733266318044
160,2.05,boundary_mixed_eta0,1.585110737530915,1.632835786853623,-0.047725049322707935
160,2.1,boundary_mixed_eta0,1.5430671934053442,1.5921087918453107,-0.04904159843996658
160,2.15,boundary_mixed_eta0,1.4982286465323025,1.5475669802534635,-0.04933833372116103
160,2.2,boundary_mixed_eta0,1.4505048665577616,1.5023236300686291,-0.05181876351086756
160,0.15,full_max_envelope,0.0,0.0,0.0
160,0.2,full_max_envelope,0.2853068128734223,0.2874151587927827,-0.002108345919360377
160,0.25,full_max_envelope,0.5061170707641911,0.5099060655500125,-0.003788994785821398
160,0.3,full_max_envelope,0.6858958988906213,0.6912162132387039,-0.005320314348082555
160,0.35,full_max_envelope,0.8370865657238443,0.843745943957174,-0.006659378233329627
160,0.4,full_max_envelope,0.9670819624865178,0.9751013720772336,-0.008019409590715787
160,0.45,full_max_envelope,1.0805713723524906,1.089823877409799,-0.009252505057308458
160,0.5,full_max_envelope,1.180742344033747,1.191169527457987,-0.010427183424239983
160,0.55,full_max_envelope,1.269830509586788,1.28142942526938,-0.011598915682592192
160,0.6,full_max_envelope,1.3495290525021917,1.362260635495204,-0.012731582993012358
160,0.65,full_max_envelope,1.4209315469253736,1.4348827994767817,-0.013951252551408055
