cell_id,dataset_tag,width,selected_ref_count,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p21_p_0p00,dataset_000_seed_017234,48,10,64,36,0,10,52.451003328298654
cell_beta_0p21_p_0p00,dataset_001_seed_117234,48,10,58,42,0,10,40.51256217218835
cell_beta_0p21_p_0p00,dataset_002_seed_217234,48,10,50,50,0,10,38.350027123334165
cell_beta_0p21_p_0p00,dataset_003_seed_317234,48,10,44,56,0,10,40.716480796827895
cell_beta_0p21_p_0p00,dataset_004_seed_417234,48,10,42,58,0,10,36.42784338920362
cell_beta_0p21_p_0p00,dataset_005_seed_517234,48,10,54,46,0,10,30.735386231528185
cell_beta_0p21_p_0p00,dataset_006_seed_617234,48,10,48,52,0,10,43.44448969404716
cell_beta_0p21_p_0p00,dataset_007_seed_717234,48,10,55,45,0,10,40.524721395569934
cell_beta_0p21_p_0p00,dataset_008_seed_817234,48,10,35,65,0,10,59.70019094173608
cell_beta_0p21_p_0p00,dataset_009_seed_917234,48,10,38,62,0,10,40.08608038245289
cell_beta_0p22_p_0p00,dataset_000_seed_018234,48,10,64,36,0,10,43.30357296530171
cell_beta_0p22_p_0p00,dataset_001_seed_118234,48,10,56,44,0,10,41.3729071171833
cell_beta_0p22_p_0p00,dataset_002_seed_218234,48,10,47,53,0,10,35.62011097905774
cell_beta_0p22_p_0p00,dataset_003_seed_318234,48,10,59,41,0,10,50.097487971130434
cell_beta_0p22_p_0p00,dataset_004_seed_418234,48,10,49,51,0,10,46.750085532325095
cell_beta_0p22_p_0p00,dataset_005_seed_518234,48,10,52,48,0,10,45.5841977786883
cell_beta_0p22_p_0p00,dataset_006_seed_618234,48,10,52,48,0,10,31.101231071782
cell_beta_0p22_p_0p00,dataset_007_seed_718234,48,10,55,45,0,10,50.7413652879963
cell_beta_0p22_p_0p00,dataset_008_seed_818234,48,10,63,37,0,10,36.08552949713966
cell_beta_0p22_p_0p00,dataset_009_seed_918234,48,10,51,49,0,10,40.57311778576207
cell_beta_0p23_p_0p00,dataset_000_seed_019234,48,10,56,44,0,10,39.98996760201463
cell_beta_0p23_p_0p00,dataset_001_seed_119234,48,10,57,43,0,10,42.6896664696237
cell_beta_0p23_p_0p00,dataset_002_seed_219234,48,10,82,18,0,10,42.081153515686026
cell_beta_0p23_p_0p00,dataset_003_seed_319234,48,10,57,43,0,10,43.20335690860644
cell_beta_0p23_p_0p00,dataset_004_seed_419234,48,10,52,48,0,10,37.37696373615487
cell_beta_0p23_p_0p00,dataset_005_seed_519234,48,10,55,45,0,10,36.57335510340695
cell_beta_0p23_p_0p00,dataset_006_seed_619234,48,10,57,43,0,10,36.52707290579357
cell_beta_0p23_p_0p00,dataset_007_seed_719234,48,10,43,57,0,10,38.23557958585983
cell_beta_0p23_p_0p00,dataset_008_seed_819234,48,10,52,48,0,10,52.88089065005236
cell_beta_0p23_p_0p00,dataset_009_seed_919234,48,10,63,37,0,10,41.45102686822892
cell_beta_0p24_p_0p00,dataset_000_seed_020234,48,10,47,53,0,10,37.19146094086342
cell_beta_0p24_p_0p00,dataset_001_seed_120234,48,10,48,52,0,10,36.71255646656585
cell_beta_0p24_p_0p00,dataset_002_seed_220234,48,10,46,54,0,10,25.00624428103319
cell_beta_0p24_p_0p00,dataset_003_seed_320234,48,10,50,50,0,10,41.303575334966254
cell_beta_0p24_p_0p00,dataset_004_seed_420234,48,10,43,57,0,10,40.22397088759696
cell_beta_0p24_p_0p00,dataset_005_seed_520234,48,10,39,61,0,10,34.787680256383425
cell_beta_0p24_p_0p00,dataset_006_seed_620234,48,10,49,51,0,10,41.31256743377569
cell_beta_0p24_p_0p00,dataset_007_seed_720234,48,10,70,30,0,10,37.80694680666677
cell_beta_0p24_p_0p00,dataset_008_seed_820234,48,10,55,45,0,10,41.770446751452866
cell_beta_0p24_p_0p00,dataset_009_seed_920234,48,10,54,46,0,10,40.927205087293814
cell_beta_0p25_p_0p00,dataset_000_seed_021234,48,10,65,35,0,10,31.721474124697036
cell_beta_0p25_p_0p00,dataset_001_seed_121234,48,10,78,22,0,10,21.217629186613465
cell_beta_0p25_p_0p00,dataset_002_seed_221234,48,10,64,36,0,10,26.49251299169418
cell_beta_0p25_p_0p00,dataset_003_seed_321234,48,10,68,32,0,10,20.38758897308188
cell_beta_0p25_p_0p00,dataset_004_seed_421234,48,10,77,23,0,10,35.041926647017036
cell_beta_0p25_p_0p00,dataset_005_seed_521234,48,10,49,51,0,10,35.500478841767205
cell_beta_0p25_p_0p00,dataset_006_seed_621234,48,10,55,45,0,10,35.13768753824344
cell_beta_0p25_p_0p00,dataset_007_seed_721234,48,10,71,29,0,10,30.355635921097875
cell_beta_0p25_p_0p00,dataset_008_seed_821234,48,10,64,36,0,10,30.393083390843685
cell_beta_0p25_p_0p00,dataset_009_seed_921234,48,10,55,45,0,10,40.25388414009919
cell_beta_0p26_p_0p00,dataset_000_seed_022234,48,10,55,45,0,10,38.000653282131836
cell_beta_0p26_p_0p00,dataset_001_seed_122234,48,10,74,26,0,10,31.898348141657355
cell_beta_0p26_p_0p00,dataset_002_seed_222234,48,10,61,39,0,10,35.74102862586868
cell_beta_0p26_p_0p00,dataset_003_seed_322234,48,10,78,22,0,10,21.117765365531405
cell_beta_0p26_p_0p00,dataset_004_seed_422234,48,10,65,35,0,10,31.027583320423116
cell_beta_0p26_p_0p00,dataset_005_seed_522234,48,10,60,40,0,10,38.80175557389108
cell_beta_0p26_p_0p00,dataset_006_seed_622234,48,10,46,54,0,10,40.843777544253804
cell_beta_0p26_p_0p00,dataset_007_seed_722234,48,10,54,46,0,10,33.90826249400212
cell_beta_0p26_p_0p00,dataset_008_seed_822234,48,10,57,43,0,10,35.98336925965075
cell_beta_0p26_p_0p00,dataset_009_seed_922234,48,10,57,43,0,10,23.616175016470933
cell_beta_0p27_p_0p00,dataset_000_seed_023234,48,10,43,57,0,10,36.56554434710375
cell_beta_0p27_p_0p00,dataset_001_seed_123234,48,10,74,26,0,10,37.5549994582719
cell_beta_0p27_p_0p00,dataset_002_seed_223234,48,10,54,46,0,10,28.943081512438006
cell_beta_0p27_p_0p00,dataset_003_seed_323234,48,10,83,17,0,10,18.916295700265785
cell_beta_0p27_p_0p00,dataset_004_seed_423234,48,10,58,42,0,10,38.70422883578931
cell_beta_0p27_p_0p00,dataset_005_seed_523234,48,10,48,52,0,10,37.538518594569275
cell_beta_0p27_p_0p00,dataset_006_seed_623234,48,10,57,43,0,10,30.67662034118124
cell_beta_0p27_p_0p00,dataset_007_seed_723234,48,10,49,51,0,10,25.456224814230048
cell_beta_0p27_p_0p00,dataset_008_seed_823234,48,10,75,25,0,10,27.08432870783146
cell_beta_0p27_p_0p00,dataset_009_seed_923234,48,10,52,48,0,10,37.8619356292748
cell_beta_0p28_p_0p00,dataset_000_seed_024234,48,10,79,21,0,10,37.74812158422868
cell_beta_0p28_p_0p00,dataset_001_seed_124234,48,10,62,38,0,10,33.492946495894195
cell_beta_0p28_p_0p00,dataset_002_seed_224234,48,10,45,55,0,10,30.992024371696267
cell_beta_0p28_p_0p00,dataset_003_seed_324234,48,10,73,27,0,10,27.538326661665185
cell_beta_0p28_p_0p00,dataset_004_seed_424234,48,10,51,49,0,10,28.555403804123173
cell_beta_0p28_p_0p00,dataset_005_seed_524234,48,10,73,27,0,10,37.308178379260276
cell_beta_0p28_p_0p00,dataset_006_seed_624234,48,10,65,35,0,10,22.1418711462863
cell_beta_0p28_p_0p00,dataset_007_seed_724234,48,10,60,40,0,10,40.34615664433679
cell_beta_0p28_p_0p00,dataset_008_seed_824234,48,10,57,43,0,10,32.86272230435263
cell_beta_0p28_p_0p00,dataset_009_seed_924234,48,10,45,55,0,10,29.450240340974883
cell_beta_0p29_p_0p00,dataset_000_seed_025234,48,10,50,50,0,10,35.43244892168776
cell_beta_0p29_p_0p00,dataset_001_seed_125234,48,10,77,23,0,10,32.70248422043285
cell_beta_0p29_p_0p00,dataset_002_seed_225234,48,10,47,53,0,10,25.877138110735935
cell_beta_0p29_p_0p00,dataset_003_seed_325234,48,10,50,50,0,10,26.22296090286906
cell_beta_0p29_p_0p00,dataset_004_seed_425234,48,10,39,61,0,10,27.644331421702084
cell_beta_0p29_p_0p00,dataset_005_seed_525234,48,10,72,28,0,10,28.35711675557383
cell_beta_0p29_p_0p00,dataset_006_seed_625234,48,10,75,25,0,10,29.2049728269499
cell_beta_0p29_p_0p00,dataset_007_seed_725234,48,10,67,33,0,10,37.2906936622705
cell_beta_0p29_p_0p00,dataset_008_seed_825234,48,10,41,59,0,10,34.864191741142946
cell_beta_0p29_p_0p00,dataset_009_seed_925234,48,10,66,34,0,10,31.543531838169216
cell_beta_0p30_p_0p00,dataset_000_seed_026234,48,10,65,35,0,10,24.34461821787456
cell_beta_0p30_p_0p00,dataset_001_seed_126234,48,10,55,45,0,10,19.511772760137674
cell_beta_0p30_p_0p00,dataset_002_seed_226234,48,10,56,44,0,10,27.986188184565563
cell_beta_0p30_p_0p00,dataset_003_seed_326234,48,10,64,36,0,10,28.241170777620408
cell_beta_0p30_p_0p00,dataset_004_seed_426234,48,10,88,12,0,10,19.70568678321526
cell_beta_0p30_p_0p00,dataset_005_seed_526234,48,10,72,28,0,10,23.27518872599924
cell_beta_0p30_p_0p00,dataset_006_seed_626234,48,10,50,50,0,10,31.2099677994389
cell_beta_0p30_p_0p00,dataset_007_seed_726234,48,10,70,30,0,10,20.823178872685506
cell_beta_0p30_p_0p00,dataset_008_seed_826234,48,10,51,49,0,10,39.46760805369507
cell_beta_0p30_p_0p00,dataset_009_seed_926234,48,10,87,13,0,10,15.729546147026987
cell_beta_0p31_p_0p00,dataset_000_seed_027234,48,10,58,42,0,10,35.869039859312096
cell_beta_0p31_p_0p00,dataset_001_seed_127234,48,10,62,38,0,10,22.41025751703289
cell_beta_0p31_p_0p00,dataset_002_seed_227234,48,10,61,39,0,10,26.606275658334265
cell_beta_0p31_p_0p00,dataset_003_seed_327234,48,10,66,34,0,10,28.287453868304205
cell_beta_0p31_p_0p00,dataset_004_seed_427234,48,10,70,30,0,10,23.502334639920836
cell_beta_0p31_p_0p00,dataset_005_seed_527234,48,10,60,40,0,10,30.498659767488437
cell_beta_0p31_p_0p00,dataset_006_seed_627234,48,10,57,43,0,10,20.46468552312239
cell_beta_0p31_p_0p00,dataset_007_seed_727234,48,10,66,34,0,10,33.98280597758002
cell_beta_0p31_p_0p00,dataset_008_seed_827234,48,10,40,60,0,10,27.000016799482083
cell_beta_0p31_p_0p00,dataset_009_seed_927234,48,10,74,26,0,10,21.112920884171647
cell_beta_0p32_p_0p00,dataset_000_seed_028234,48,10,56,44,0,10,25.142657710963096
cell_beta_0p32_p_0p00,dataset_001_seed_128234,48,10,37,63,0,10,23.701384676301977
cell_beta_0p32_p_0p00,dataset_002_seed_228234,48,10,67,33,0,10,32.267872675973145
cell_beta_0p32_p_0p00,dataset_003_seed_328234,48,10,57,43,0,10,24.034964604109202
cell_beta_0p32_p_0p00,dataset_004_seed_428234,48,10,66,34,0,10,21.284751681721396
cell_beta_0p32_p_0p00,dataset_005_seed_528234,48,10,64,36,0,10,25.510483188935886
cell_beta_0p32_p_0p00,dataset_006_seed_628234,48,10,55,45,0,10,40.14830526954034
cell_beta_0p32_p_0p00,dataset_007_seed_728234,48,10,89,11,0,10,25.736657369254587
cell_beta_0p32_p_0p00,dataset_008_seed_828234,48,10,52,48,0,10,15.438355097567783
cell_beta_0p32_p_0p00,dataset_009_seed_928234,48,10,70,30,0,10,40.93017309217648
cell_beta_0p33_p_0p00,dataset_000_seed_029234,48,10,59,41,0,10,30.030438938634976
cell_beta_0p33_p_0p00,dataset_001_seed_129234,48,10,59,41,0,10,17.43119937589035
cell_beta_0p33_p_0p00,dataset_002_seed_229234,48,10,74,26,0,10,22.001107393187862
cell_beta_0p33_p_0p00,dataset_003_seed_329234,48,10,91,9,0,10,17.378694508848152
cell_beta_0p33_p_0p00,dataset_004_seed_429234,48,10,60,40,0,10,26.96797195100348
cell_beta_0p33_p_0p00,dataset_005_seed_529234,48,10,90,10,0,10,25.251733029372932
