cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p05_p_0p00,beta,34,3401234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_034_seed_3401234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_034_seed_3401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,35,3501234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_035_seed_3501234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_035_seed_3501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,36,3601234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_036_seed_3601234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_036_seed_3601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,37,3701234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_037_seed_3701234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_037_seed_3701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,38,3801234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_038_seed_3801234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_038_seed_3801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,39,3901234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_039_seed_3901234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_039_seed_3901234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,40,4001234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_040_seed_4001234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_040_seed_4001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,41,4101234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_041_seed_4101234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_041_seed_4101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,42,4201234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_042_seed_4201234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_042_seed_4201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,43,4301234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_043_seed_4301234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_043_seed_4301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,44,4401234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_044_seed_4401234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_044_seed_4401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,45,4501234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_045_seed_4501234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_045_seed_4501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,46,4601234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_046_seed_4601234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_046_seed_4601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,47,4701234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_047_seed_4701234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_047_seed_4701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,48,4801234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_048_seed_4801234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_048_seed_4801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,49,4901234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_049_seed_4901234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_049_seed_4901234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,50,5001234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_050_seed_5001234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_050_seed_5001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,51,5101234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_051_seed_5101234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_051_seed_5101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,52,5201234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_052_seed_5201234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_052_seed_5201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,53,5301234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_053_seed_5301234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_053_seed_5301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,54,5401234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_054_seed_5401234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_054_seed_5401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,55,5501234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_055_seed_5501234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_055_seed_5501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,56,5601234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_056_seed_5601234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_056_seed_5601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,57,5701234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_057_seed_5701234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_057_seed_5701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,58,5801234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_058_seed_5801234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_058_seed_5801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,59,5901234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_059_seed_5901234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_059_seed_5901234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,60,6001234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_060_seed_6001234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_060_seed_6001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,61,6101234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_061_seed_6101234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_061_seed_6101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,62,6201234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_062_seed_6201234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_062_seed_6201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,63,6301234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_063_seed_6301234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_063_seed_6301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,64,6401234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_064_seed_6401234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_064_seed_6401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,65,6501234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_065_seed_6501234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_065_seed_6501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,66,6601234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_066_seed_6601234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_066_seed_6601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,67,6701234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_067_seed_6701234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_067_seed_6701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,68,6801234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_068_seed_6801234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_068_seed_6801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,69,6901234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_069_seed_6901234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_069_seed_6901234/dataset_meta.json
