source,case_id,case_label,eta,nmstv,ref_id,method,radius,dphi_dr,curvature
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.11,-0.10810579809199927,-1.3801356386315007
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.12,-0.12358558342121143,-1.379803976358784
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.13,-0.13570187761917496,-0.8489052155473917
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.14,-0.14056368773215927,0.2317337918717497
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.15,-0.13106720178174,0.022953694520395196
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.16,-0.1401046138417514,-1.418875355850819
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.17,-0.1594447088987564,-1.4195375402467825
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.18,-0.16849536464668707,-0.5566417451745371
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.19,-0.1705775438022471,0.539436185774675
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.2,-0.15770664093119355,0.7101158263170699
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.21,-0.1563752272759057,-0.16537065110446036
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.22,-0.16101405395328275,0.5769800654438617
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.23,-0.14483562596702845,0.9696730958809292
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.24,-0.14162059203566416,1.373191470686291
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.25,-0.11737179655330258,1.8580609135103048
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.26,-0.10445937376545802,-1.3632560927047672
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.27,-0.14463691840739795,-1.9583787663619585
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.28,-0.14362694909269724,0.14846723622771307
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.29,-0.1416675736828437,-0.9309665161345659
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.3,-0.16224627941538866,-0.9087416006628279
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.31,-0.15984240569610025,-0.0008039494820604176
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.32,-0.16226235840502987,0.3596738054948281
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.33,-0.15264892958620369,2.2759346480994846
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.34,-0.11674366544304013,2.200850471597386
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.35,-0.10863192015425588,0.07025101142786294
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.36,-0.11533864521448298,-1.2272983352552966
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.37,-0.13317788685936183,0.7152154477269717
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.38,-0.10103433625994354,1.6274154599380966
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.39,-0.10062957766059988,-1.4991867738556381
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.4,-0.13101807173705632,-0.4996065336446289
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.41,-0.1106217083334927,1.3394182181040843
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.42,-0.10422970737497478,0.06887687575691892
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.43,-0.10924417081835433,0.9295413048944896
