source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:29,100,0.01,1.0,1.0625787121563501,-0.21994629323899514,0.15,7.611440092345336,0.99
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:3,100,0.01,1.0,1.1785451049978475,-0.2584105434753295,0.25,8.603316930226782,0.97
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:4,100,0.01,1.0,1.0343776031766603,-0.2466160480088199,0.21,7.797998790143268,0.93
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:5,100,0.01,1.0,1.0940779094147617,-0.25520073427811657,0.33,8.663403732754299,0.91
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:6,100,0.01,1.0,0.8160981887101293,-0.23664586132599272,0.24,5.782567168000543,0.45
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:7,100,0.01,1.0,0.6200671151310675,-0.25065938689647627,0.19,5.522892219239795,0.34
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:8,100,0.01,1.0,0.9375917145456528,-0.6056162218611141,1.0,8.298351116685813,0.94
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:9,100,0.01,1.0,0.7836070585542373,-0.2697509469670142,0.27,5.275496107884275,0.59
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:0,100,0.01,1.0,1.1999364841606444,-0.4540499392544143,0.22,7.576611722342108,0.28
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:1,100,0.01,1.0,1.2191551042660287,-0.4633039825861222,0.2,8.155692834619432,0.3
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:10,100,0.01,1.0,0.9794461771924681,-0.45148108208246845,0.18,6.561733072956581,0.37
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:11,100,0.01,1.0,1.1856604366507533,-0.5157448438897465,0.21,9.956039154350984,0.36
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:12,100,0.01,1.0,0.9108185389393614,-0.5518405165406186,1.0,6.4340358125269,0.91
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:13,100,0.01,1.0,1.1972261107838302,-0.48288064586278967,0.16,6.00068455107142,0.34
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:14,100,0.01,1.0,0.8839687501291336,-0.44807769788618623,0.2,4.7160609534484585,0.23
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:15,100,0.01,1.0,1.3137793599465217,-0.4864899724917996,0.21,7.534335527897496,0.32
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:16,100,0.01,1.0,1.0153235551958426,-0.5574013310313075,0.23,10.471633813453323,0.24
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:17,100,0.01,1.0,1.015317790704674,-0.49458294021071453,0.2,7.559382407711372,0.4
eta_flip,eta_0.15,eta=0.15,0.15,0.6551292914748983,eta_flip:eta_0.15:18,100,0.01,1.0,1.1865981172501665,-0.52567183499123,0.18,7.694083577782834,0.58
