source,case_id,case_label,eta,nmstv,ref_id,method,n_radius,dphi_min,dphi_min_radius,curvature_max,curvature_max_radius,curvature_sign_changes,A_kappa
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,moving_avg_7,100,-0.2313773235027057,1.0,4.551088764485219,0.38,46,0.5467386090553485
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,savgol_11_3,100,-0.2562260612573269,1.0,2.907946424130076,0.38,28,0.3421463853542197
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,savgol_21_3,100,-0.16519185576804216,1.0,0.5640760652993007,0.8,12,0.1323508984030375
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,coarsen_0p05,21,-0.23322799461864976,1.0,1.2766897916318114,0.85,4,0.23596064805631056
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,coarsen_0p10,11,-0.1434665310757475,0.2,0.30949712801692264,0.5,2,0.08624086039866655
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,raw_gradient,100,-0.672884814980599,1.0,39.782480824458915,0.97,44,4.506018947966149
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,moving_avg_7,100,-0.30790193707626956,1.0,7.703324580713661,0.95,36,0.6912552582178968
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,savgol_11_3,100,-0.19284866525975972,0.21,4.854824208953138,1.0,21,0.6578991499589945
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,savgol_21_3,100,-0.1770134543068278,0.21,1.3571884689178788,1.0,17,0.20468862457586565
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,coarsen_0p05,21,-0.168360080551213,0.2,0.7647587962875402,0.5,8,0.178546373104705
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,18,coarsen_0p10,11,-0.14602404757259652,0.2,0.3348581020009448,0.5,3,0.10034644190192779
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,raw_gradient,100,-0.4974294944247988,0.46,43.90082102150495,0.87,46,4.862741968877274
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,moving_avg_7,100,-0.1753075247346457,0.19,7.357713180356983,0.49,40,0.8973609963828952
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,savgol_11_3,100,-0.21182133725911673,1.0,3.398697869655468,0.5,30,0.5295031076727521
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,savgol_21_3,100,-0.17164249184857455,0.2,0.9479573203688711,0.58,12,0.17704764942204607
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,coarsen_0p05,21,-0.14558898271745702,0.15,0.6674722670966504,0.35,5,0.18405342383488582
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,19,coarsen_0p10,11,-0.14074236164675352,0.2,0.33336740277621996,0.5,1,0.10960003621025725
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,raw_gradient,100,-0.4426774085398304,1.0,29.93306445079795,0.6,40,4.805804313702073
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,moving_avg_7,100,-0.2229303276005552,1.0,5.280249660538063,0.63,34,0.7634716899213936
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,savgol_11_3,100,-0.23195678647228157,0.36,7.976693994065772,1.0,31,0.6401860951640747
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,savgol_21_3,100,-0.16302425264053239,0.23,0.8485757737228163,0.42,16,0.14514822978737585
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,20,coarsen_0p05,21,-0.153550519772238,0.2,1.2559678276809294,0.45,8,0.234175921624048
