source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.56,30,-0.06004771661025836,0.0026709912723477847,0.0004876540569214355,0.0026186935947296102,0.0109760993017776,0.8022845646282374
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.57,30,-0.06039453061178262,0.002960253121717971,0.0005404658035633395,0.002543262699267753,0.0071192825929354,0.7941184433521323
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.58,30,-0.06182021720666596,0.002884123890794572,0.000526566571209251,0.0025943529990550868,0.0072089863821902,0.822979969582772
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.59,30,-0.06146213944724531,0.002801427371123666,0.000511468321458943,0.0027359582495087315,0.0096110481761697,0.7998709817501187
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.6,30,-0.0633989194403313,0.0026541706129432877,0.0004845830387254506,0.0022748444768732803,0.0072101056383706,0.8267621118510087
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.61,30,-0.06289889063967531,0.002808594433622717,0.0005127768420595361,0.0034790027944837433,0.0101816317583345,0.790338697752705
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.62,30,-0.06400523558302348,0.0027818719489181454,0.000507898006171109,0.0030578512315943764,0.014851552974386,0.8066811268595919
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.63,30,-0.06473783005229382,0.003066285424109761,0.0005598245648447373,0.002833177793800721,0.0067694423238059,0.7730643374670888
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.64,30,-0.06540907850562853,0.003279076218514817,0.0005986746708864349,0.002858241188693285,0.0107559461106636,0.7845512937177013
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.65,30,-0.06607099794813806,0.0026113370967574437,0.00047676274438136757,0.003397578142720683,0.010377571983918,0.7826397765812312
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.66,30,-0.06616522688339126,0.0032140240254232926,0.0005867978196959647,0.003344955811208777,0.0103983298013391,0.780285572447006
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.67,30,-0.06731672931491771,0.00390323715261226,0.0007126303452593228,0.003567657073884122,0.0109313550486708,0.817251638273387
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.68,30,-0.06734113972148467,0.002910259128587212,0.0005313381909708481,0.0033468620828314487,0.0097487568399942,0.84833744662703
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.69,30,-0.06859751845715913,0.0028030190734844303,0.0005117589252215516,0.0033511850959941597,0.0076506231972412,0.7755891998538218
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.7,30,-0.06900772113072026,0.0026089901053406293,0.00047633424433428075,0.0028790230984062355,0.0074700244136983,0.8628338704876869
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.71,30,-0.06946041720289808,0.002510319261993037,0.0004583194954444356,0.0035433193366374667,0.0094498416543969,0.8051822138185235
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.72,30,-0.07027199190396054,0.003301851695963751,0.0006028328851386787,0.003282265061144066,0.0089572459183523,0.8165160399369036
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.73,30,-0.0709887376023078,0.0029444266927817282,0.0005375763061856287,0.0023641520294405602,0.0055960283191379,0.8066068253727159
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.74,30,-0.07131964253358754,0.003245142822364142,0.0005924793087116072,0.004016824100157084,0.0105976907150676,0.8056724566828132
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.75,30,-0.07207149237340689,0.002816792825087517,0.0005142736567063792,0.003377085930992747,0.0114663284639285,0.817088267809558
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.76,30,-0.07261753170338739,0.0035302812968188964,0.0006445382335354337,0.0033392197391910283,0.0132047854878562,0.791951673113447
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.77,30,-0.0728110137783231,0.0026291448561362226,0.0004800139815514945,0.0035002656256550905,0.0103737630868338,0.8025066745694951
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.78,30,-0.07388487742240295,0.0028950008111973285,0.0005285524160961775,0.00396179188772831,0.0114435871454682,0.7788381485542752
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.79,30,-0.07421544945599373,0.0034609019687000843,0.000631871359190358,0.0038253694429099144,0.0105304265736895,0.7980739623235803
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.8,30,-0.07511258737995107,0.002591275834773261,0.00047310007580778145,0.0034437226835613666,0.0099591137444217,0.8395903518061751
