eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.65,0.0060049417597822,0.00600494
0.25,2461,0.65,0.0031869160059305,0.00318692
0.25,2461,0.65,0.001199963206422,0.00119996
0.25,2461,0.65,0.0016760837406257,0.00167608
0.25,2461,0.65,0.0009221012350805,0.000922101
0.25,2461,0.65,0.00045406635841,0.000454066
0.25,2461,0.65,4.449836378872281e-05,4.44984e-05
0.25,2461,0.65,0.0002836627508058,0.000283663
0.25,2461,0.65,0.0024531521718748,-0.00245315
0.25,2461,0.65,0.0068253795310424,-0.00682538
0.25,2461,0.65,0.0059262796906542,0.00592628
0.25,2461,0.65,0.0017183301127262,0.00171833
0.25,2461,0.65,0.0030171741989388,0.00301717
0.25,2461,0.65,0.0007692301113266,-0.00076923
0.25,2461,0.65,0.0035360731617451,0.00353607
0.25,2461,0.65,0.004964922289071,0.00496492
0.25,2461,0.65,0.0062615934685927,-0.00626159
0.25,2461,0.65,0.0050461650216593,0.00504617
0.25,2461,0.65,0.0016978762121155,-0.00169788
0.25,2461,0.65,0.0059786622037378,0.00597866
0.25,2461,0.65,0.0060382427964838,-0.00603824
0.25,2461,0.65,0.0021003303189701,-0.00210033
0.25,2461,0.65,0.0015437341560441,0.00154373
0.25,2461,0.7,0.0017046029927105,0.0017046
0.25,2461,0.7,0.0014666387306762,-0.00146664
0.25,2461,0.7,0.0022209598283896,-0.00222096
0.25,2461,0.7,0.0014891934560823,0.00148919
0.25,2461,0.7,0.0014525583474953,-0.00145256
0.25,2461,0.7,0.00029408216834,0.000294082
0.25,2461,0.7,0.004047977133947,-0.00404798
0.25,2461,0.7,0.0065498047252434,0.0065498
0.25,2461,0.7,0.0005062185880498,0.000506219
0.25,2461,0.7,0.0033108820853392,0.00331088
0.25,2461,0.7,0.001073753440414,0.00107375
0.25,2461,0.7,0.0060434995785867,-0.0060435
0.25,2461,0.7,0.0024155168737484,0.00241552
0.25,2461,0.7,0.0092516880351566,-0.00925169
0.25,2461,0.7,0.0076559697351004,0.00765597
0.25,2461,0.7,0.0037741406707669,0.00377414
0.25,2461,0.7,0.0018207191882777,0.00182072
0.25,2461,0.7,9.432042915855878e-05,-9.43204e-05
0.25,2461,0.7,0.0077364846312961,-0.00773648
0.25,2461,0.7,0.0051072990194426,0.0051073
0.25,2461,0.7,0.0001411589132312,-0.000141159
0.25,2461,0.7,0.001857067478217,-0.00185707
0.25,2461,0.7,0.0086948817999528,0.00869488
0.25,2461,0.7,0.0037024486160723,0.00370245
0.25,2461,0.7,9.394761325556854e-06,-9.39476e-06
0.25,2461,0.7,0.0065151122445915,-0.00651511
0.25,2461,0.7,0.0050365100268018,0.00503651
0.25,2461,0.7,0.0004095674004184,0.000409567
0.25,2461,0.7,0.0040666319718137,0.00406663
0.25,2461,0.7,0.0013901812267893,0.00139018
0.25,2461,0.75,0.006641499844262,-0.0066415
0.25,2461,0.75,0.0026740192842838,-0.00267402
0.25,2461,0.75,0.0044945320794426,-0.00449453
0.25,2461,0.75,0.0037181767247575,-0.00371818
0.25,2461,0.75,0.002118746846225,-0.00211875
0.25,2461,0.75,0.0011246204776778,0.00112462
0.25,2461,0.75,0.0015180741648341,0.00151807
0.25,2461,0.75,0.0003169976561958,0.000316998
0.25,2461,0.75,0.0077705645086579,0.00777056
0.25,2461,0.75,0.0030853512222065,0.00308535
0.25,2461,0.75,0.0018719812477447,-0.00187198
0.25,2461,0.75,0.0041372368123156,0.00413724
0.25,2461,0.75,0.0024075566241136,-0.00240756
0.25,2461,0.75,0.0019447831425088,-0.00194478
0.25,2461,0.75,0.0014162789105896,-0.00141628
0.25,2461,0.75,0.0030494913901191,0.00304949
0.25,2461,0.75,0.0037647381252046,0.00376474
0.25,2461,0.75,0.0013193854103498,-0.00131939
0.25,2461,0.75,0.0045942257209564,-0.00459423
0.25,2461,0.75,0.0016873362775844,0.00168734
0.25,2461,0.75,0.0025886105966114,0.00258861
0.25,2461,0.75,0.0036938486417256,0.00369385
0.25,2461,0.75,0.0047685361317497,0.00476854
0.25,2461,0.75,0.0033304384665066,0.00333044
0.25,2461,0.75,0.0023484505782818,0.00234845
