beta_i,beta_j,crossing_count,robust_crossing_count,fine_minus_coarse_gap_i,fine_minus_coarse_gap_j,mean_gap_min,z_gap_max_abs
0.11,0.32,0.0,0.0,-0.01101399830069788,-0.014903778841945735,0.334287378140383,11.907648681792596
0.11,0.33,0.0,0.0,-0.01101399830069788,-0.015593147267197245,0.33488914529272384,12.27780438523881
0.11,0.34,0.0,0.0,-0.01101399830069788,-0.015737403111992024,0.33792130175352264,13.313041323192946
0.11,0.35,0.0,0.0,-0.01101399830069788,-0.01436233543512161,0.33713542212043085,12.959490211102207
0.11,0.36,0.0,0.0,-0.01101399830069788,-0.016362094713129344,0.3399582473402142,13.144120456313875
0.11,0.37,0.0,0.0,-0.01101399830069788,-0.020787903005697723,0.3292236683889001,12.574352445194503
0.11,0.38,0.0,0.0,-0.01101399830069788,-0.018443482631262796,0.34052504339409134,13.358118707678766
0.11,0.39,0.0,0.0,-0.01101399830069788,-0.020008167379347158,0.33486134957757835,13.196414354123231
0.11,0.4,0.0,0.0,-0.01101399830069788,-0.01917427845331409,0.33570396497953603,12.366216787120004
0.12,0.13,0.0,0.0,-0.010341316741160289,-0.01805170130895445,0.017631452378024215,0.7829437561851212
0.12,0.14,0.0,0.0,-0.010341316741160289,-0.010643547490562899,0.04930477776266273,1.8815324879143418
0.12,0.15,0.0,0.0,-0.010341316741160289,-0.01711951426830771,0.07489421844782607,2.4700459212435217
0.12,0.16,0.0,0.0,-0.010341316741160289,-0.014767909799972334,0.10102072996250511,3.2217180858215064
0.12,0.17,0.0,0.0,-0.010341316741160289,-0.017465074132430702,0.1472850877539812,4.217773622627703
0.12,0.18,0.0,0.0,-0.010341316741160289,-0.020331183954305665,0.15612799010810766,5.404771959718914
0.12,0.19,0.0,0.0,-0.010341316741160289,-0.024350510102401496,0.1925825794887071,6.784874044921529
0.12,0.2,0.0,0.0,-0.010341316741160289,-0.02286452424310703,0.20943305417690153,7.207852030988599
0.12,0.21,0.0,0.0,-0.010341316741160289,-0.016502669171477857,0.2395827880783696,9.72984933944736
0.12,0.22,0.0,0.0,-0.010341316741160289,-0.01330093454270835,0.25991100999368394,10.784716278974512
0.12,0.23,0.0,0.0,-0.010341316741160289,-0.012112374350320865,0.2812264181685463,11.097358669089656
0.12,0.24,0.0,0.0,-0.010341316741160289,-0.010469139281846812,0.27641998591976524,9.109628424975176
0.12,0.25,0.0,0.0,-0.010341316741160289,-0.014739838053152196,0.3001715879389231,9.324273054778082
0.12,0.26,0.0,0.0,-0.010341316741160289,-0.011715419505121068,0.3069040877948972,11.792854383678625
0.12,0.27,0.0,0.0,-0.010341316741160289,-0.012514270388231802,0.30592152372450404,12.496633054335613
0.12,0.28,0.0,0.0,-0.010341316741160289,-0.012607256177784965,0.3075114981776659,14.169508886645506
0.12,0.29,0.0,0.0,-0.010341316741160289,-0.00898072030617239,0.3146828097660344,14.105545221238891
0.12,0.3,0.0,0.0,-0.010341316741160289,-0.01233295891521309,0.3229358882252851,14.434667400783201
0.12,0.31,0.0,0.0,-0.010341316741160289,-0.014427171769273314,0.31464794454422035,14.463298528814919
0.12,0.32,0.0,0.0,-0.010341316741160289,-0.014903778841945735,0.31964390154143163,13.712362942462285
0.12,0.33,0.0,0.0,-0.010341316741160289,-0.015593147267197245,0.32024566869377247,14.462329874803961
0.12,0.34,0.0,0.0,-0.010341316741160289,-0.015737403111992024,0.32327782515457126,15.66538287093836
0.12,0.35,0.0,0.0,-0.010341316741160289,-0.01436233543512161,0.3224919455214795,15.18093668548933
0.12,0.36,0.0,0.0,-0.010341316741160289,-0.016362094713129344,0.3253147707412628,15.217100041166242
0.12,0.37,0.0,0.0,-0.010341316741160289,-0.020787903005697723,0.3145801917899487,15.140899900065387
0.12,0.38,0.0,0.0,-0.010341316741160289,-0.018443482631262796,0.32588156679513997,16.06536657413936
0.12,0.39,0.0,0.0,-0.010341316741160289,-0.020008167379347158,0.32021787297862697,15.447765450254552
0.12,0.4,0.0,0.0,-0.010341316741160289,-0.01917427845331409,0.32106048838058465,14.95916698504815
0.13,0.14,0.0,0.0,-0.01805170130895445,-0.010643547490562899,0.024265171566246968,1.191888814801531
0.13,0.15,0.0,0.0,-0.01805170130895445,-0.01711951426830771,0.056330579029155115,1.7426353142485935
0.13,0.16,0.0,0.0,-0.01805170130895445,-0.014767909799972334,0.08010548607549878,2.524572119231565
0.13,0.17,0.0,0.0,-0.01805170130895445,-0.017465074132430702,0.12906700819943323,3.6433222170227717
0.13,0.18,0.0,0.0,-0.01805170130895445,-0.020331183954305665,0.13849653773008344,4.089856615131483
0.13,0.19,0.0,0.0,-0.01805170130895445,-0.024350510102401496,0.1749511271106829,5.3051098363465465
