radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high
1.59,90.0,-0.0055371242780318,-0.0056648770330282,-0.0054093715230354
1.6,90.0,-0.0055528416478485,-0.0056810847156143,-0.0054245985800827
1.61,90.0,-0.0055686169641768,-0.0056967479151021,-0.0054404860132514
1.62,90.0,-0.0055836575435173,-0.0057121845263468,-0.0054551305606878
1.63,90.0,-0.0055979785941829,-0.0057265254844629,-0.0054694317039029
1.64,90.0,-0.0056136785230319,-0.005742323180004,-0.0054850338660597
1.65,90.0,-0.0056293593574312,-0.0057581744373006,-0.0055005442775619
1.66,90.0,-0.0056440145557754,-0.005772803220503,-0.0055152258910478
1.67,90.0,-0.0056592684755313,-0.0057881399477053,-0.0055303970033573
1.68,90.0,-0.0056733724183625,-0.0058025902358241,-0.0055441546009009
1.69,90.0,-0.0056902769903307,-0.0058197219863084,-0.005560831994353
1.7,90.0,-0.0057039521798104,-0.0058331902165095,-0.0055747141431113
1.71,90.0,-0.0057188176295069,-0.0058481607937029,-0.005589474465311
1.72,90.0,-0.0057353514668915,-0.0058650715788189,-0.0056056313549642
1.73,90.0,-0.0057494668705809,-0.0058794251898401,-0.0056195085513216
1.74,90.0,-0.0057651794495569,-0.0058950858872121,-0.0056352730119016
1.75,90.0,-0.0057802361152721,-0.0059101632108771,-0.005650309019667
1.76,90.0,-0.0057949854488075,-0.005924900368159,-0.005665070529456
1.77,90.0,-0.0058097001906589,-0.0059400316064041,-0.0056793687749136
1.78,90.0,-0.0058240605079187,-0.0059541779495853,-0.0056939430662522
1.79,90.0,-0.0058388949719266,-0.005969080409124,-0.0057087095347292
1.8,90.0,-0.0058541922320791,-0.0059843297472422,-0.005724054716916
1.81,90.0,-0.0058683900054546,-0.0059987087738601,-0.005738071237049
1.82,90.0,-0.0058852769075579,-0.0060156844351292,-0.0057548693799867
1.83,90.0,-0.0058992758608888,-0.0060298682164399,-0.0057686835053378
1.84,90.0,-0.0059129094835186,-0.0060434640434344,-0.0057823549236028
1.85,90.0,-0.0059279642371806,-0.0060590044787544,-0.0057969239956068
1.86,90.0,-0.005944150607829,-0.0060748730866919,-0.0058134281289661
1.87,90.0,-0.0059592749893315,-0.0060903099291523,-0.0058282400495106
1.88,90.0,-0.005973526790661,-0.0061046040590536,-0.0058424495222685
1.89,90.0,-0.0059891674915432,-0.0061201791367896,-0.0058581558462968
1.9,90.0,-0.0060030872078512,-0.0061341371562226,-0.0058720372594797
1.91,90.0,-0.0060184352075544,-0.0061494350993123,-0.0058874353157964
1.92,90.0,-0.0060311548790229,-0.0061620008846802,-0.0059003088733657
1.93,90.0,-0.0060464967763639,-0.0061779047926499,-0.0059150887600779
1.94,90.0,-0.0060618394771352,-0.0061929435899092,-0.0059307353643611
1.95,90.0,-0.0060780822960913,-0.0062093927100889,-0.0059467718820937
1.96,90.0,-0.0060907990531749,-0.0062222318056432,-0.0059593663007066
1.97,90.0,-0.0061071786150732,-0.0062388129516665,-0.0059755442784799
1.98,90.0,-0.0061231781235838,-0.0062549824020656,-0.005991373845102
1.99,90.0,-0.006136201100282,-0.006267506168395,-0.0060048960321689
2.0,90.0,-0.0061524735333395,-0.0062839416755533,-0.0060210053911257
