cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p13_p_0p00,beta,86,614609234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_086_seed_614609234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_086_seed_614609234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,87,614709234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_087_seed_614709234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_087_seed_614709234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,88,614809234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_088_seed_614809234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_088_seed_614809234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,89,614909234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_089_seed_614909234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_089_seed_614909234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,0,606011234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_000_seed_606011234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_000_seed_606011234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,1,606111234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_001_seed_606111234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_001_seed_606111234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,2,606211234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_002_seed_606211234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_002_seed_606211234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,3,606311234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_003_seed_606311234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_003_seed_606311234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,4,606411234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_004_seed_606411234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_004_seed_606411234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,5,606511234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_005_seed_606511234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_005_seed_606511234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,6,606611234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_006_seed_606611234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_006_seed_606611234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,7,606711234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_007_seed_606711234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_007_seed_606711234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,8,606811234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_008_seed_606811234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_008_seed_606811234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,9,606911234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_009_seed_606911234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_009_seed_606911234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,10,607011234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_010_seed_607011234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_010_seed_607011234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,11,607111234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_011_seed_607111234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_011_seed_607111234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,12,607211234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_012_seed_607211234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_012_seed_607211234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,13,607311234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_013_seed_607311234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_013_seed_607311234/dataset_meta.json
cell_beta_0p15_p_0p00,beta,14,607411234,0.15,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_014_seed_607411234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p15_p_0p00/dataset_014_seed_607411234/dataset_meta.json
