k,edge_count,p_pos,random_cut_fraction,cut_fraction,knn_nmstv,signed_alignment,eta,replicate
3,1193,0.49609375,0.499969482421875,0.16345347862531434,0.32692691128574136,0.6730930427493713,0.02,14
3,1193,0.490234375,0.49980926513671875,0.1961441743503772,0.39243805193711956,0.6077116512992456,0.04,14
3,1193,0.484375,0.49951171875,0.2112321877619447,0.42287734167787167,0.5775356244761106,0.06,14
3,1193,0.482421875,0.49938201904296875,0.2338642078792959,0.4683072256535799,0.5322715842414082,0.08,14
3,1193,0.494140625,0.49993133544921875,0.24056999161777032,0.48120606683236516,0.5188600167644594,0.1,14
3,1193,0.49609375,0.499969482421875,0.26152556580050296,0.5230830580571861,0.47694886839899414,0.12,14
3,1193,0.498046875,0.49999237060546875,0.30427493713327747,0.6085591601424116,0.3914501257334451,0.15,14
3,1193,0.498046875,0.49999237060546875,0.33780385582564965,0.675618020764165,0.32439228834870076,0.18,14
3,1193,0.49609375,0.499969482421875,0.3512154233025985,0.7024737221985928,0.297569153394803,0.2,14
3,1193,0.49609375,0.499969482421875,0.38558256496227994,0.7712122009817487,0.22883487007544007,0.25,14
3,1193,0.5078125,0.4998779296875,0.4333612740989103,0.8669342020557443,0.13327745180217937,0.3,14
3,1193,0.505859375,0.49993133544921875,0.4585079631181894,0.9171418765062848,0.08298407376362113,0.35,14
3,1193,0.51171875,0.499725341796875,0.47946353730092206,0.9594541184901749,0.04107292539815591,0.4,14
3,1193,0.51953125,0.499237060546875,0.48113998323554064,0.9637505330803958,0.037720033528918694,0.45,14
3,1193,0.51953125,0.499237060546875,0.4844928751047779,0.9704665646698064,0.03101424979044426,0.5,14
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,15
3,1193,0.501953125,0.49999237060546875,0.1785414920368818,0.3570884328108365,0.6429170159262364,0.02,15
3,1193,0.50390625,0.499969482421875,0.20368818105616093,0.4074012279099238,0.5926236378876781,0.04,15
3,1193,0.50390625,0.499969482421875,0.22548197820620286,0.45099148274802264,0.5490360435875943,0.06,15
3,1193,0.5078125,0.4998779296875,0.24895222129086336,0.4980260309681936,0.5020955574182733,0.08,15
3,1193,0.50390625,0.499969482421875,0.26906957250628666,0.5381719924242203,0.46186085498742663,0.1,15
3,1193,0.5078125,0.4998779296875,0.2808046940486169,0.5617465332469523,0.4383906119027661,0.12,15
3,1193,0.498046875,0.49999237060546875,0.32523051131601005,0.6504709480310074,0.3495389773679799,0.15,15
3,1193,0.494140625,0.49993133544921875,0.3394803017602682,0.6790538573766826,0.32103939647946356,0.18,15
3,1193,0.48828125,0.499725341796875,0.3688181056160939,0.7380416296078268,0.26236378876781224,0.2,15
3,1193,0.484375,0.49951171875,0.4056999161777033,0.8121929895717853,0.18860016764459347,0.25,15
3,1193,0.478515625,0.49907684326171875,0.46186085498742663,0.9254303444915079,0.07627829002514669,0.3,15
3,1193,0.48046875,0.499237060546875,0.5004191114836547,1.0023677147195058,-0.0008382229673093043,0.35,15
3,1193,0.5,0.5,0.5071248952221291,1.0142497904442582,-0.014249790444258172,0.4,15
3,1193,0.5,0.5,0.5146689019279128,1.0293378038558256,-0.02933780385582565,0.45,15
3,1193,0.494140625,0.49993133544921875,0.5180217937971501,1.036185886071086,-0.03604358759430008,0.5,15
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,16
3,1193,0.49609375,0.499969482421875,0.16932103939647947,0.3386627491267679,0.6613579212070411,0.02,16
3,1193,0.498046875,0.49999237060546875,0.18273260687342832,0.3654707903885557,0.6345347862531433,0.04,16
3,1193,0.498046875,0.49999237060546875,0.20871751886001677,0.4174414073704146,0.5825649622799665,0.06,16
3,1193,0.5,0.5,0.22799664710813075,0.4559932942162615,0.5440067057837384,0.08,16
3,1193,0.494140625,0.49993133544921875,0.2347024308466052,0.46946933349499037,0.5305951383067896,0.1,16
3,1193,0.5,0.5,0.2514668901927913,0.5029337803855826,0.49706621961441744,0.12,16
3,1193,0.5,0.5,0.28667225481978204,0.5733445096395641,0.4266554903604359,0.15,16
3,1193,0.501953125,0.49999237060546875,0.3067896060352054,0.6135885746890432,0.3864207879295893,0.18,16
3,1193,0.498046875,0.49999237060546875,0.3193629505448449,0.6387356474222006,0.36127409891031015,0.2,16
3,1193,0.4921875,0.4998779296875,0.3671416596814753,0.7344626315288512,0.26571668063704945,0.25,16
