eta,k,replicate_count,edge_count,p_pos_mean,p_pos_sd,cut_fraction_mean,cut_fraction_sd,cut_fraction_sem,knn_nmstv_mean,knn_nmstv_sd,knn_nmstv_sem,signed_alignment_mean,signed_alignment_sd
0.2,5,20,1954,0.50185546875,0.021371704786855565,0.3731320368474923,0.018596444980781758,0.004158291511686279,0.7475745049946743,0.03727713894212532,0.008335421668129683,0.25373592630501535,0.03719288996156352
0.25,5,20,1954,0.49716796875,0.020390977496827133,0.40731832139201635,0.016413573526675166,0.003670186615933661,0.8159715318751486,0.0333580972186734,0.0074590972981000425,0.18536335721596725,0.03282714705335032
0.3,5,20,1954,0.49970703125,0.02168690980339334,0.44173490276356187,0.015109010334749024,0.0033784774181245653,0.8850761827590989,0.030970281102693543,0.0069251653827899886,0.11653019447287616,0.030218020669498035
0.35,5,20,1954,0.50087890625,0.018609790926651364,0.46734902763561925,0.014659209601496906,0.003277898916536468,0.9359373749269337,0.029482632577955702,0.006592517059995882,0.06530194472876152,0.02931841920299381
0.4,5,20,1954,0.50283203125,0.0143870595108318,0.4848771750255885,0.012438045872041417,0.0027812316077145257,0.9705514539079252,0.024970300690574643,0.005583528976273484,0.03024564994882293,0.024876091744082836
0.45,5,20,1954,0.50703125,0.013946662892563782,0.4940378710337769,0.010919946244676624,0.0024417742113740483,0.9889992176256648,0.02168493610375315,0.004848899121573147,0.011924257932446263,0.021839892489353276
0.5,5,20,1954,0.50556640625,0.014647066821836608,0.49897645854657113,0.013053982007589846,0.0029189591146030077,0.9988926529937558,0.026149170850921496,0.0058471323577916475,0.0020470829068577278,0.026107964015179702
0.0,8,20,3161,0.5,0.0,0.19360961720974376,0.0,6.367565748859375e-18,0.3872192344194875,0.0,1.273513149771875e-17,0.6127807655805125,0.0
0.02,8,20,3161,0.49833984375,0.006020769278128192,0.21807972160708636,0.008335471211954116,0.0018638680254421968,0.43622438758514104,0.01667478849802497,0.0037285960592015437,0.5638405567858273,0.016670942423908264
0.04,8,20,3161,0.49755859375,0.009732158940063752,0.24120531477380575,0.009552336866794846,0.002135967457813063,0.48259581895966636,0.01911065072749851,0.004273271412094249,0.5175893704523885,0.019104673733589657
0.06,8,20,3161,0.49814453125,0.011147590895177388,0.2618949699462195,0.012850127374212691,0.002873375832827045,0.5240412045735828,0.025630107262156334,0.005731066210879255,0.4762100601075609,0.025700254748425386
0.08,8,20,3161,0.50244140625,0.014266540452230277,0.2835336918696615,0.013657923072043748,0.0030540044420552595,0.5675200728579377,0.027325850174423277,0.006110245853298491,0.432932616260677,0.02731584614408751
0.1,8,20,3161,0.501953125,0.0145055392947061,0.3021828535273648,0.01437045571029577,0.003213331583587141,0.6048645621519884,0.028869260056587548,0.006455362794664918,0.39563429294527047,0.028740911420591597
0.12,8,20,3161,0.50283203125,0.01629764876093059,0.31988294843403986,0.01610890290149072,0.003602060193067684,0.6404323986947301,0.03220668630166484,0.007201633990053384,0.3602341031319203,0.03221780580298142
0.15,8,20,3161,0.502734375,0.018802182047658444,0.3479278709269219,0.01602804025044834,0.003583978754610525,0.6968072413651544,0.03192260023275287,0.007138110413898599,0.3041442581461563,0.032056080500896686
0.18,8,20,3161,0.50029296875,0.01963658887932382,0.37257197089528626,0.017657868629447415,0.003948419459320548,0.7462477306198738,0.03552817050157919,0.007944340435773384,0.25485605820942736,0.035315737258894836
