rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem
random_label,0.92,30,30,complete,False,-0.006199667662053265,-2.0290842795657387,-0.006199667662050601,-2.0290842795656054,1.0803579740599787,-3.210357831592596,-0.007973961339355079,0.0020590804201622574
random_label,0.93,30,30,complete,False,-0.03879661307459603,-0.1159914436326227,-0.03879661307459337,-0.11599144363284475,1.0360767075993493,-1.2719919975111438,-0.009302269765233932,0.0015492836162524467
random_label,0.94,30,30,complete,False,-0.008519496534706406,3.4918743437558515,-0.008519496534708182,3.4918743437555406,1.054918134109755,2.3603442575058864,-0.005794654900384367,0.001871076822265469
random_label,0.95,30,30,complete,False,0.031040873800520785,-1.0629440245048185,0.031040873800517232,-1.0629440245047297,1.083283592749467,-2.17077254881346,-0.010028255256822638,0.0019058461093374379
random_label,0.96,30,30,complete,False,-0.029778377024802793,-1.3129985256924648,-0.029778377024802793,-1.3129985256921983,1.011502683133486,-2.397862511813287,-0.008291259858909269,0.002029012339742259
random_label,0.97,30,30,complete,False,0.004780903286671467,0.753430211545058,0.004780903286673244,0.753430211545058,1.0353263425132013,-0.30917601379130133,-0.010286762513016724,0.0019562076424643744
random_label,0.98,30,30,complete,False,-0.014709772793901621,-2.8486546863752493,-0.014709772793901621,-2.8486546863754714,1.0053191628576599,-3.8896812178983,-0.008200965002015075,0.0020377972832524406
random_label,0.99,30,30,complete,False,-0.052192190440833564,0.34013758508583125,-0.05219219044083623,0.3401375850856925,0.9575327181552353,-0.4300491413886647,-0.01038685265162606,0.0016381936411130678
random_label,1.0,30,30,complete,False,-0.007907021092184989,4.428516934864853,-0.007907021092187765,4.4285169348648425,0.9967181800298865,3.918546187465118,-0.00829717343427173,0.001374632669710766
real_even_odd,0.01,30,30,complete,True,-0.002518001852570736,-0.13357436972219672,-0.0025180018525707525,-0.13357436972219505,69.2840347887799,-1437.9594545635073,-0.0015651575594851275,0.0002593523137022615
real_even_odd,0.02,30,30,complete,True,-0.003853745549792703,-0.24674743840783797,-0.003853745549792703,-0.24674743840783664,54.90444024314483,-1732.4105672042197,-0.003628801774332511,0.0005461529184375461
