beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.07,1.74,1800,1800,60,pass,pass
0.07,1.75,1800,1800,60,pass,pass
0.07,1.76,1800,1800,60,pass,pass
0.07,1.77,1800,1800,60,pass,pass
0.07,1.78,1800,1800,60,pass,pass
0.07,1.79,1800,1800,60,pass,pass
0.07,1.8,1800,1800,60,pass,pass
0.07,1.81,1800,1800,60,pass,pass
0.07,1.82,1800,1800,60,pass,pass
0.07,1.83,1800,1800,60,pass,pass
0.07,1.84,1800,1800,60,pass,pass
0.07,1.85,1800,1800,60,pass,pass
0.07,1.86,1800,1800,60,pass,pass
0.07,1.87,1800,1800,60,pass,pass
0.07,1.88,1800,1800,60,pass,pass
0.07,1.89,1800,1800,60,pass,pass
0.07,1.9,1800,1800,60,pass,pass
0.07,1.91,1800,1800,60,pass,pass
0.07,1.92,1800,1800,60,pass,pass
0.07,1.93,1800,1800,60,pass,pass
0.07,1.94,1800,1800,60,pass,pass
0.07,1.95,1800,1800,60,pass,pass
0.07,1.96,1800,1800,60,pass,pass
0.07,1.97,1800,1800,60,pass,pass
0.07,1.98,1800,1800,60,pass,pass
0.07,1.99,1800,1800,60,pass,pass
0.07,2.0,1800,1800,60,pass,pass
0.07,2.01,1800,1800,60,pass,pass
0.07,2.02,1800,1800,60,pass,pass
0.07,2.03,1800,1800,60,pass,pass
0.07,2.04,1800,1800,60,pass,pass
0.07,2.05,1800,1800,60,pass,pass
0.07,2.06,1800,1800,60,pass,pass
0.07,2.07,1800,1800,60,pass,pass
0.07,2.08,1800,1800,60,pass,pass
0.07,2.09,1800,1800,60,pass,pass
0.07,2.1,1800,1800,60,pass,pass
0.07,2.11,1800,1800,60,pass,pass
0.07,2.12,1800,1800,60,pass,pass
0.07,2.13,1800,1800,60,pass,pass
0.07,2.14,1800,1800,60,pass,pass
0.07,2.15,1800,1800,60,pass,pass
0.07,2.16,1800,1800,60,pass,pass
0.07,2.17,1800,1800,60,pass,pass
0.07,2.18,1800,1800,60,pass,pass
0.07,2.19,1800,1800,60,pass,pass
0.07,2.2,1800,1800,60,pass,pass
0.07,2.21,1800,1800,60,pass,pass
0.07,2.22,1800,1800,60,pass,pass
0.07,2.23,1800,1800,60,pass,pass
0.07,2.24,1800,1800,60,pass,pass
0.07,2.25,1800,1800,60,pass,pass
0.07,2.26,1800,1800,60,pass,pass
0.07,2.27,1800,1800,60,pass,pass
0.07,2.28,1800,1800,60,pass,pass
0.07,2.29,1800,1800,60,pass,pass
0.07,2.3,1800,1800,60,pass,pass
0.07,2.31,1800,1800,60,pass,pass
0.07,2.32,1800,1800,60,pass,pass
0.07,2.33,1800,1800,60,pass,pass
0.07,2.34,1800,1800,60,pass,pass
0.07,2.35,1800,1800,60,pass,pass
0.07,2.36,1800,1800,60,pass,pass
0.07,2.37,1800,1800,60,pass,pass
0.07,2.38,1800,1800,60,pass,pass
0.07,2.39,1800,1800,60,pass,pass
0.07,2.4,1800,1800,60,pass,pass
0.07,2.41,1800,1800,60,pass,pass
0.07,2.42,1800,1800,60,pass,pass
0.07,2.43,1800,1800,60,pass,pass
0.07,2.44,1800,1800,60,pass,pass
0.07,2.45,1800,1800,60,pass,pass
0.07,2.46,1800,1800,60,pass,pass
0.07,2.47,1800,1800,60,pass,pass
0.07,2.48,1800,1800,60,pass,pass
0.07,2.49,1800,1800,60,pass,pass
0.07,2.5,1800,1800,60,pass,pass
0.09,0.01,1800,1800,60,pass,pass
0.09,0.02,1800,1800,60,pass,pass
0.09,0.03,1800,1800,60,pass,pass
0.09,0.04,1800,1800,60,pass,pass
0.09,0.05,1800,1800,60,pass,pass
0.09,0.06,1800,1800,60,pass,pass
0.09,0.07,1800,1800,60,pass,pass
0.09,0.08,1800,1800,60,pass,pass
0.09,0.09,1800,1800,60,pass,pass
0.09,0.1,1800,1800,60,pass,pass
0.09,0.11,1800,1800,60,pass,pass
0.09,0.12,1800,1800,60,pass,pass
0.09,0.13,1800,1800,60,pass,pass
0.09,0.14,1800,1800,60,pass,pass
0.09,0.15,1800,1800,60,pass,pass
0.09,0.16,1800,1800,60,pass,pass
0.09,0.17,1800,1800,60,pass,pass
0.09,0.18,1800,1800,60,pass,pass
0.09,0.19,1800,1800,60,pass,pass
0.09,0.2,1800,1800,60,pass,pass
0.09,0.21,1800,1800,60,pass,pass
0.09,0.22,1800,1800,60,pass,pass
0.09,0.23,1800,1800,60,pass,pass
0.09,0.24,1800,1800,60,pass,pass
0.09,0.25,1800,1800,60,pass,pass
0.09,0.26,1800,1800,60,pass,pass
0.09,0.27,1800,1800,60,pass,pass
0.09,0.28,1800,1800,60,pass,pass
0.09,0.29,1800,1800,60,pass,pass
0.09,0.3,1800,1800,60,pass,pass
0.09,0.31,1800,1800,60,pass,pass
0.09,0.32,1800,1800,60,pass,pass
0.09,0.33,1800,1800,60,pass,pass
0.09,0.34,1800,1800,60,pass,pass
0.09,0.35,1800,1800,60,pass,pass
0.09,0.36,1800,1800,60,pass,pass
0.09,0.37,1800,1800,60,pass,pass
0.09,0.38,1800,1800,60,pass,pass
0.09,0.39,1800,1800,60,pass,pass
0.09,0.4,1800,1800,60,pass,pass
0.09,0.41,1800,1800,60,pass,pass
0.09,0.42,1800,1800,60,pass,pass
