rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count_x,target_ref_count_y,observed_ref_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,run
teacher_nn,2.4,0.1,-0.1476776688309408,-0.138971933266383,3.037790530226484,60,60,60,60,1.0,0.5929862814746724,0.0236927990309107,0.0007547684688555,False,complete,60ref
teacher_nn,2.5,0.1,-0.1506172516350457,-0.141911516070488,3.0756563543788307,60,60,60,60,1.0,0.6243647041275464,0.01984881787625,0.0007032447431055,False,complete,60ref
low_tv_spectral_teacher,0.1,0.1,-0.0055673374756276,0.0,0.0,90,90,90,90,1.0,0.5614371830510592,0.0007352573050399,0.0,True,complete,90ref
low_tv_spectral_teacher,0.2,0.1,-0.0175263793093736,-0.0119590418337459,0.6809064860725789,90,90,90,90,1.0,0.597389421321295,0.0034970775234835,0.0001610664721428,True,complete,90ref
low_tv_spectral_teacher,0.3,0.1,-0.0299961391966909,-0.0244288017210633,1.0737370780528293,90,90,90,90,1.0,0.6175493791333865,0.0055858294224825,0.0002299867748115,False,complete,90ref
low_tv_spectral_teacher,0.4,0.1,-0.0402072996855055,-0.0346399622098778,1.3510910936027718,90,90,90,90,1.0,0.6009423911934434,0.0075846797258898,0.0002294049226464,False,complete,90ref
low_tv_spectral_teacher,0.5,0.1,-0.0487596565292789,-0.0431923190536513,1.565591616171008,90,90,90,90,1.0,0.5803639786185166,0.0074145415254429,0.0002287766171476,False,complete,90ref
low_tv_spectral_teacher,0.6,0.1,-0.0555769011090913,-0.0500095636334637,1.7410218440467538,90,90,90,90,1.0,0.6362989891437807,0.0107275537522139,0.0002728367744642,False,complete,90ref
low_tv_spectral_teacher,0.7,0.1,-0.061094639149981,-0.0555273016743533,1.889592148417508,90,90,90,90,1.0,0.5936048123540004,0.0104494280103434,0.0003226082619067,False,complete,90ref
low_tv_spectral_teacher,0.8,0.1,-0.0676392974124679,-0.0620719599368402,2.0165246237821344,90,90,90,90,1.0,0.607302997188174,0.0127968491251121,0.0003220461753601,False,complete,90ref
low_tv_spectral_teacher,0.9,0.1,-0.0721269964047715,-0.0665596589291438,2.1297721006186414,90,90,90,90,1.0,0.6131970628381616,0.0119235285312675,0.0003803814140263,False,complete,90ref
low_tv_spectral_teacher,1.0,0.1,-0.0773838155328443,-0.0718164780572167,2.229832985073768,90,90,90,90,1.0,0.5818770740945692,0.010983757661275,0.0003812444467973,False,complete,90ref
low_tv_spectral_teacher,1.1,0.1,-0.0820035880054638,-0.0764362505298362,2.3204846641731267,90,90,90,90,1.0,0.6231499785602528,0.0141477459802993,0.0003839169691643,False,complete,90ref
low_tv_spectral_teacher,1.2,0.1,-0.0857191203428762,-0.0801517828672486,2.403745152719294,90,90,90,90,1.0,0.6024897644354665,0.0149020305927115,0.000389734649573,False,complete,90ref
low_tv_spectral_teacher,1.3,0.1,-0.0897182653313399,-0.0841509278557122,2.4797561909396477,90,90,90,90,1.0,0.6007653836130488,0.01326720815902,0.0003732761136936,False,complete,90ref
