q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.06,0.69,4.0,4.0,0.9970703124999998,0,
0.9,0.06,0.69,4.0,4.0,0.9970703124999998,0,
0.99,0.06,0.69,4.0,4.0,0.9970703124999998,0,
0.5,0.06,0.7,4.0,4.0,0.9970703124999998,0,
0.9,0.06,0.7,4.0,4.0,0.9970703124999998,0,
0.99,0.06,0.7,4.0,4.0,0.9970703124999998,0,
0.5,0.06,0.71,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.71,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.71,4.0,4.0,0.9990234374999996,0,
0.5,0.06,0.72,4.0,4.0,0.9960937499999998,0,
0.9,0.06,0.72,4.0,4.0,0.9960937499999998,0,
0.99,0.06,0.72,4.0,4.0,0.9960937499999998,0,
0.5,0.06,0.73,4.0,4.0,0.9960937499999998,0,
0.9,0.06,0.73,4.0,4.0,0.9960937499999998,0,
0.99,0.06,0.73,4.0,4.0,0.9960937499999998,0,
0.5,0.06,0.74,4.0,4.0,0.9980468750000001,0,
0.9,0.06,0.74,4.0,4.0,0.9980468750000001,0,
0.99,0.06,0.74,4.0,4.0,0.9980468750000001,0,
0.5,0.06,0.75,4.0,4.0,0.9960937499999998,0,
0.9,0.06,0.75,4.0,4.0,0.9960937499999998,0,
0.99,0.06,0.75,4.0,4.0,0.9960937499999998,0,
0.5,0.06,0.76,4.0,4.0,0.9912109375,0,
0.9,0.06,0.76,4.0,4.0,0.9912109375,0,
0.99,0.06,0.76,4.0,4.0,0.9912109375,0,
0.5,0.06,0.77,4.0,4.0,0.9921875000000002,0,
0.9,0.06,0.77,4.0,4.0,0.9921875000000002,0,
0.99,0.06,0.77,4.0,4.0,0.9921875000000002,0,
0.5,0.06,0.78,4.0,4.0,0.9912109375,0,
0.9,0.06,0.78,4.0,4.0,0.9912109375,0,
0.99,0.06,0.78,4.0,4.0,0.9912109375,0,
0.5,0.06,0.79,4.0,4.0,0.9970703124999998,0,
0.9,0.06,0.79,4.0,4.0,0.9970703124999998,0,
0.99,0.06,0.79,4.0,4.0,0.9970703124999998,0,
0.5,0.06,0.8,4.0,4.0,0.9892578124999999,0,
0.9,0.06,0.8,4.0,4.0,0.9892578124999999,0,
0.99,0.06,0.8,4.0,4.0,1.0,0,
0.5,0.06,0.81,4.0,4.0,0.9853515624999996,0,
0.9,0.06,0.81,4.0,4.0,0.9853515624999996,0,
0.99,0.06,0.81,4.0,4.0,1.0,0,
0.5,0.06,0.82,4.0,4.0,0.9980468750000001,0,
0.9,0.06,0.82,4.0,4.0,0.9980468750000001,0,
0.99,0.06,0.82,4.0,4.0,0.9980468750000001,0,
0.5,0.06,0.83,4.0,4.0,0.9931640625,0,
0.9,0.06,0.83,4.0,4.0,0.9931640625,0,
0.99,0.06,0.83,4.0,4.0,0.9931640625,0,
0.5,0.06,0.84,4.0,4.0,0.9892578124999999,0,
0.9,0.06,0.84,4.0,4.0,0.9892578124999999,0,
0.99,0.06,0.84,4.0,4.0,1.0,0,
0.5,0.06,0.85,4.0,4.0,0.9804687499999998,0,
0.9,0.06,0.85,4.0,4.0,0.9804687499999998,0,
0.99,0.06,0.85,4.0,4.0,1.0,0,
0.5,0.06,0.86,4.0,4.0,0.9889658140892044,0,
0.9,0.06,0.86,4.0,4.0,0.9889658140892044,0,
0.99,0.06,0.86,4.0,4.0,1.0,0,
0.5,0.06,0.87,4.0,4.0,0.9863281249999996,0,
0.9,0.06,0.87,4.0,4.0,0.9863281249999996,0,
0.99,0.06,0.87,4.0,4.0,1.0,0,
0.5,0.06,0.88,4.0,4.0,0.9931640625,0,
0.9,0.06,0.88,4.0,4.0,0.9931640625,0,
0.99,0.06,0.88,4.0,4.0,0.9931640625,0,
0.5,0.06,0.89,4.0,4.0,0.9824218750000001,0,
0.9,0.06,0.89,4.0,4.0,0.9824218750000001,0,
0.99,0.06,0.89,4.0,4.0,1.0,0,
0.5,0.06,0.9,4.0,4.0,0.985801616855728,0,
0.9,0.06,0.9,4.0,4.0,0.985801616855728,0,
0.99,0.06,0.9,4.0,4.0,1.0,0,
0.5,0.06,0.91,4.0,4.0,0.9871164864597374,0,
0.9,0.06,0.91,4.0,4.0,0.9871164864597374,0,
0.99,0.06,0.91,4.0,4.0,1.0,0,
0.5,0.06,0.92,4.0,4.0,0.9739531814643031,0,
0.9,0.06,0.92,4.0,4.0,0.9739531814643031,0,
0.99,0.06,0.92,4.0,4.0,1.0,0,
0.5,0.06,0.93,4.0,4.0,0.9738487087075833,0,
0.9,0.06,0.93,4.0,4.0,0.9738487087075833,0,
0.99,0.06,0.93,4.0,4.0,1.0,0,
0.5,0.06,0.94,4.0,4.0,0.9714656154931801,0,
0.9,0.06,0.94,4.0,4.0,0.9714656154931801,0,
0.99,0.06,0.94,4.0,4.0,1.0,0,
0.5,0.06,0.95,4.0,4.0,0.972355218038331,0,
0.9,0.06,0.95,4.0,4.0,0.972355218038331,0,
0.99,0.06,0.95,4.0,4.0,1.0,0,
0.5,0.06,0.96,4.0,4.0,0.9739960969157179,0,
0.9,0.06,0.96,4.0,4.0,0.9739960969157179,0,
0.99,0.06,0.96,4.0,4.0,1.0,0,
0.5,0.06,0.97,4.0,4.0,0.9693135467801343,0,
0.9,0.06,0.97,4.0,4.0,0.9693135467801343,0,
0.99,0.06,0.97,4.0,4.0,1.0,0,
0.5,0.06,0.98,4.0,4.0,0.9689322412003905,0,
0.9,0.06,0.98,4.0,4.0,0.9689322412003905,0,
0.99,0.06,0.98,4.0,4.0,1.0,0,
0.5,0.06,0.99,4.0,4.0,0.9822009686269974,0,
0.9,0.06,0.99,4.0,4.0,0.9822009686269974,0,
0.99,0.06,0.99,4.0,4.0,1.0,0,
0.5,0.06,1.0,4.0,4.0,0.9646602773614747,0,
0.9,0.06,1.0,4.0,4.0,0.9646602773614747,0,
0.99,0.06,1.0,4.0,4.0,1.0,0,
0.5,0.06,1.01,4.0,4.0,0.9641817587753811,0,
0.9,0.06,1.01,4.0,4.0,0.9641817587753811,0,
0.99,0.06,1.01,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.02,4.0,4.0,0.9577551563084626,0,
0.9,0.06,1.02,4.0,4.0,0.9577551563084626,0,
0.99,0.06,1.02,4.0,4.0,1.0,0,
0.5,0.06,1.03,4.0,4.0,0.9668473872669315,0,
0.9,0.06,1.03,4.0,4.0,0.9668473872669315,0,
0.99,0.06,1.03,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.04,4.0,4.0,0.9673369696036933,0,
0.9,0.06,1.04,4.0,4.0,0.9673369696036933,0,
0.99,0.06,1.04,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.05,4.0,4.0,0.9550804200729685,0,
0.9,0.06,1.05,4.0,4.0,0.9550804200729685,0,
0.99,0.06,1.05,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.06,4.0,4.0,0.9523989188870536,0,
0.9,0.06,1.06,4.0,4.0,0.9523989188870536,0,
0.99,0.06,1.06,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.07,4.0,4.0,0.958220457132068,0,
0.9,0.06,1.07,4.0,4.0,0.958220457132068,0,
0.99,0.06,1.07,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.08,4.0,4.0,0.9625843956657648,0,
0.9,0.06,1.08,4.0,4.0,0.9625843956657648,0,
0.99,0.06,1.08,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.09,4.0,4.0,0.9576099113211916,0,
0.9,0.06,1.09,4.0,4.0,0.9576099113211916,0,
0.99,0.06,1.09,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.1,4.0,4.0,0.9579315019775098,0,
0.9,0.06,1.1,4.0,4.0,0.9579315019775098,0,
0.99,0.06,1.1,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.11,4.0,4.0,0.9433147115577825,0,
0.9,0.06,1.11,4.0,4.0,0.9433147115577825,0,
0.99,0.06,1.11,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.12,4.0,4.0,0.9373300223160828,0,
0.9,0.06,1.12,4.0,4.0,0.9373300223160828,0,
0.99,0.06,1.12,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.13,4.0,4.0,0.9513244587427773,0,
0.9,0.06,1.13,4.0,4.0,0.9513244587427773,0,
0.99,0.06,1.13,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.14,4.0,4.0,0.9504540458378978,0,
0.9,0.06,1.14,4.0,4.0,0.9504540458378978,0,
0.99,0.06,1.14,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.15,4.0,4.0,0.9469910346486557,0,
0.9,0.06,1.15,4.0,4.0,0.9469910346486557,0,
0.99,0.06,1.15,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.16,4.0,4.0,0.9493266414662305,0,
0.9,0.06,1.16,4.0,4.0,0.9493266414662305,0,
0.99,0.06,1.16,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.17,4.0,4.0,0.9472374684402921,0,
0.9,0.06,1.17,4.0,4.0,0.9472374684402921,0,
0.99,0.06,1.17,4.0,4.0,0.9990234374999996,0,
0.5,0.06,1.18,4.0,4.0,0.9381694552927756,0,
0.9,0.06,1.18,4.0,4.0,0.9381694552927756,0,
0.99,0.06,1.18,4.0,4.0,0.9960937499999998,0,
0.5,0.06,1.19,4.0,4.0,0.9420250432006926,0,
0.9,0.06,1.19,4.0,4.0,0.9420250432006926,0,
0.99,0.06,1.19,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.2,4.0,4.0,0.9344030992009238,0,
0.9,0.06,1.2,4.0,4.0,0.9344030992009238,0,
0.99,0.06,1.2,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.21,4.0,4.0,0.9267880141337848,0,
0.9,0.06,1.21,4.0,4.0,0.9267880141337848,0,
0.99,0.06,1.21,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.22,4.0,4.0,0.9330999283903778,0,
0.9,0.06,1.22,4.0,4.0,0.9330999283903778,0,
0.99,0.06,1.22,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.23,4.0,4.0,0.9356249507814209,0,
0.9,0.06,1.23,4.0,4.0,0.9356249507814209,0,
0.99,0.06,1.23,4.0,4.0,0.9960937499999998,0,
