rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.41,30,-0.02372657539241284,0.000290152703241844,-0.028208793889445787,0.0003291004041726509
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.42,30,-0.02476844825737227,0.00028431378070066835,-0.02925066675440522,0.0003505008626123312
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.43,30,-0.024997160200774474,0.0002688932394092499,-0.029479378697807434,0.0003111174296538183
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.44,30,-0.025684060562041776,0.00024289555968856969,-0.03016627905907473,0.00032358543405325784
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.45,30,-0.026299529698927095,0.0002628440851050792,-0.030781748195960062,0.00033132147144085595
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.46,30,-0.026475576296295458,0.0003504583075214022,-0.03095779479332841,0.00042315883329004664
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.47,30,-0.027229147023632053,0.0003704597789434425,-0.03171136552066499,0.00043679428525453273
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.48,30,-0.02810316117134487,0.0003051434476694986,-0.032585379668377816,0.00037337217496904014
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.49,30,-0.02843875999412404,0.00025810130484873816,-0.03292097849115699,0.0002976165545009318
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.5,30,-0.029143933499710093,0.0002355933129189868,-0.03362615199674303,0.0002982271093892051
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.51,30,-0.02976722103757878,0.000279544271164403,-0.03424943953461172,0.0003148601264313229
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.52,30,-0.0308407071912242,0.0003246840658596454,-0.03532292568825715,0.0004011886940083833
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.53,30,-0.030955252755407933,0.00034028515262890643,-0.03543747125244088,0.0003720111396027111
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.54,30,-0.031154402509272126,0.0003015311288903877,-0.03563662100630507,0.00030965691936978723
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.55,30,-0.03127318976046991,0.0003417552098850221,-0.035755408257502855,0.00034487442447196957
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.56,30,-0.03226575260741327,0.00033725396813724244,-0.03674797110444619,0.00034762405273232934
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.57,30,-0.033186958034845344,0.00039762612063501786,-0.037669176531878276,0.00045589424569161634
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.58,30,-0.03302025237715025,0.00030980759978198617,-0.037502470874183194,0.00035325250307124474
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.59,30,-0.03366327405030387,0.00029842439092731893,-0.03814549254733683,0.0003444747122433392
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.6,30,-0.034386055376958005,0.00031866313340506397,-0.03886827387399095,0.0003129450088531176
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.61,30,-0.03511336698479934,0.0003048751375366457,-0.039595585481832285,0.0003798081705927541
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.62,30,-0.03565189913279621,0.00031766248320472853,-0.04013411762982917,0.00036091113011739803
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.63,30,-0.03552990259201541,0.0003717078150692555,-0.040012121089048364,0.0004322180107353981
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.64,30,-0.03655086502048376,0.00039974087323613606,-0.04103308351751671,0.00042462016307229515
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.65,30,-0.03712830912182589,0.00036272342573974713,-0.04161052761885885,0.0003961559088127443
