policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_001_seed_110234,38,10,0.6163672167735722,8741.173061945377,93.30500726080933,0.013317874711754149,0.027297332608346315,1.4107388100436296
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_001_seed_110234,38,10,0.05534820833328829,28653.508480613684,165.3055031564056,0.0026243757562759767,0.03410849607431477,1.4346446246431441
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_002_seed_210234,37,10,0.595507973648946,9827.035255744044,98.86658404012711,0.012330883872942833,0.06559589435384255,1.4122080904454462
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_002_seed_210234,37,10,0.049273402979374964,27649.69161133508,163.67147097144135,0.002498355761523669,0.04751373430042899,1.423672217238662
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_003_seed_310234,32,10,0.7605263991486064,9303.924547868495,96.03543713645352,0.01346523733065392,0.037161794818311666,1.4168331308590927
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_003_seed_310234,32,10,0.10779608928986041,23978.756101528863,152.0454809992543,0.0028950218327062293,0.03829076523738739,1.4291645621678803
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_004_seed_410234,43,10,0.6167303591998152,9556.176438421951,97.56755602079805,0.013116238309368122,0.007714335404252454,1.412183341134423
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_004_seed_410234,43,10,0.05379613421132555,27676.151713649346,162.56079720349106,0.0025023170953999163,0.06028358449879535,1.4253709604404148
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_005_seed_510234,42,10,0.5686322456618368,10718.361090263572,103.32496731445318,0.0067355347175241335,0.028079296538312953,1.4185650221013786
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_005_seed_510234,42,10,0.0716202123862321,23492.770107690732,152.16350045196072,0.0027227217529099588,0.03598129254326613,1.4155780429204383
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_006_seed_610234,29,10,0.8021612703429231,9746.36796932593,98.43369167602292,0.015660694472357045,0.019200543943929598,1.4181715217660245
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_006_seed_610234,29,10,0.08374443986529895,27660.754469819465,162.6654206665153,0.0028076159184693577,0.08407081122708128,1.4185229715152319
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_007_seed_710234,26,10,0.7574242410151157,9240.130709302866,95.57998478715906,0.01829848087906062,0.03919013485023196,1.4104144228927389
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_007_seed_710234,26,10,0.04077941440498509,27234.164113536033,163.79554116068385,0.003064899588735994,0.05777341564156402,1.4253598679050417
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_008_seed_810234,33,10,0.5964318322539606,9290.544195698643,96.27601627969597,0.010571489022849675,0.06336893771452554,1.423805782460039
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_008_seed_810234,33,10,0.15112843838716794,20702.987017481464,140.84023844108805,0.0031951859508285974,0.06999311186378485,1.434160112664422
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_009_seed_910234,32,10,0.7100387364760453,8178.096097254567,90.21806011808448,0.016998560282780455,0.032512968907915454,1.416872237822688
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_009_seed_910234,32,10,0.07738109424240802,20826.70817993498,143.63061181675153,0.0025657972741309877,0.04334346060427431,1.4209146540391835
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_000_seed_014234,37,10,0.5747645789247355,7376.965733649022,85.63496466412731,0.011624986697717894,0.03035478363136308,1.4175781600269464
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_000_seed_014234,37,10,0.11325700313654445,17064.444096350497,129.68817011253321,0.002667488516662225,0.05074937460914377,1.4116728346202678
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_001_seed_114234,45,10,0.3844364159197264,4814.254674995875,69.31149190143513,0.021512855442884775,0.01906505392587079,1.4139795888937494
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_001_seed_114234,45,10,0.05810150440411176,15436.3080231247,123.4206315173996,0.002851993580718865,0.05740351595110967,1.4104456835579884
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_002_seed_214234,38,10,0.5415867753782321,5965.962544428846,76.97747114184384,0.02004639841196677,0.01706067259184496,1.4190094642272502
current_simple_selected10,cell_beta_0p18_p_0p00,0.18,dataset_002_seed_214234,38,10,0.07627301624928094,17688.891249016982,131.81858566341424,0.0026006796531154908,0.019800892632922958,1.4225564083943298
l2_top10_min_norm_exact,cell_beta_0p18_p_0p00,0.18,dataset_003_seed_314234,54,10,0.4957651615342003,5415.6487238347345,73.50540171456086,0.021234139483101874,0.012505834111977551,1.4168550901841601
