cell_id,beta,dataset_tag,lambda_ref,exact_count,ess_fraction,top1_mass,top10_mass
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,0.5,21,0.7431347301538788,0.10061221986842181,0.7324728610262272
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,1.0,21,0.4902487589819848,0.15797498235883595,0.8852711695201944
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,2.0,21,0.2905712707635911,0.2569285871863996,0.9805624881777688
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,5.0,21,0.1459556702702194,0.45899030894972676,0.9998578592565697
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,10.0,21,0.09354746784223507,0.6457245501881163,0.9999999529831571
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,20.0,21,0.06775618427472203,0.8191169785397315,0.9999999999999947
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,40.0,21,0.05212947514618768,0.954684983015454,1.0000000000000029
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,80.0,21,0.04783357521243802,0.9977525114230749,0.9999999999999875
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,160.0,21,0.047619530855875655,0.9999949260390768,0.9999999999999831
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,220.0,21,0.047619052615546505,0.9999999475367658,1.0000000000000282
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,0.0,22,1.0000000000000002,0.04545454545454544,0.45454545454545436
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,0.1,22,0.9519304169756083,0.05944735623061838,0.5484163434422489
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,0.5,22,0.6047883804581459,0.11719412689442567,0.8070914734350682
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,1.0,22,0.40324699458407687,0.18274176498980607,0.9318358380475362
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,2.0,22,0.24436940324882125,0.2962575660065588,0.9883770246509616
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,5.0,22,0.12323306154496563,0.5423482429491694,0.9998935718497532
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,10.0,22,0.06949523877754402,0.7974553827923494,0.9999999694372032
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,20.0,22,0.04806417311356103,0.972278136630303,0.9999999999999991
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,40.0,22,0.045491147376617684,0.9995975799185702,0.9999999999999983
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,80.0,22,0.04545455308148081,0.9999999161037216,0.9999999999999986
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,160.0,22,0.045454545454545456,1.0,1.000000000000004
cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,220.0,22,0.045454545454545456,1.0,1.0
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,0.0,29,1.0000000000000002,0.034482758620689655,0.3448275862068966
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,0.1,29,0.9743073319492492,0.04427402574307225,0.40550751574601496
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,0.5,29,0.6523460558547453,0.09542322692593408,0.6398002290748703
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,1.0,29,0.3515846864697991,0.17225991827803888,0.8470917934309616
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,2.0,29,0.16871271830327164,0.30254948804860926,0.9814522251450456
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,5.0,29,0.0823812584185703,0.4857853037767514,0.9999790802533512
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,10.0,29,0.06887489951844414,0.5637871382047956,0.9999999996684742
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,20.0,29,0.06429832082730176,0.634876576354029,0.9999999999999968
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,40.0,29,0.055032695892185554,0.7515817700377944,1.000000000000006
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,80.0,29,0.04192825504876532,0.9015114793195307,1.000000000000013
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,160.0,29,0.0353057567422137,0.9882055955875619,0.9999999999999787
cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,220.0,29,0.03463917032024245,0.9977371507903702,0.9999999999999897
cell_beta_0p10_p_0p00,0.1,dataset_003_seed_306234,0.0,21,1.0,0.047619047619047616,0.47619047619047616
cell_beta_0p10_p_0p00,0.1,dataset_003_seed_306234,0.1,21,0.9786503396224184,0.05662025972150513,0.5306349440532101
cell_beta_0p10_p_0p00,0.1,dataset_003_seed_306234,0.5,21,0.7723045463569689,0.09505537880345308,0.7019710957011946
