"r","N","phi_emp","weighted_CE","weighted_err","reference_count","mean_ess_frac","q05_ess_frac","max_split_logZ_per_N_diff","fallback_unit_count","fallback_unit_fraction","min_smc_cess_fraction","max_smc_step_count"
"1.65","160","1.8155923966969585","10.574670554477871","0.37921241123295757","100","0.9540513864326826","0.8799620253235106","0.003161518979290623","100","1.0","0.8500000000000112","7.0"
"1.7","160","1.7972861955240218","10.75339182994099","0.388654835751941","100","0.9499991064645434","0.8842351191072707","0.0036720145848524234","100","1.0","0.8500000000000428","7.0"
"1.75","160","1.7759088855132497","10.884832319892924","0.393083126319238","100","0.9570632614887774","0.8741310193855396","0.0012221195714159805","100","1.0","0.8500000000000051","6.0"
"1.8","160","1.7515441704672634","11.041171145953431","0.3998584397090747","100","0.97360866946115","0.8679207475809843","0.0011542657659068922","100","1.0","0.8500000000000301","7.0"
"1.85","160","1.724139620113392","11.200879905608899","0.40626244822751256","100","0.9889030522978198","0.886123672594775","0.0010863113270588975","100","1.0","0.8500000000000126","7.0"
"1.9","160","1.6937633327477233","11.36772108268162","0.4127026774531563","100","0.997288723435691","0.9926878993803995","0.001365520171406942","100","1.0","0.8500000000000134","7.0"
"1.95","160","1.6604323986752347","11.535673465934188","0.41901535872205314","100","0.9979296182238163","0.9912908988966928","0.0011980711026447822","100","1.0","0.8500000000000096","7.0"
"2.0","160","1.6242284128047657","11.687028529125744","0.4239435124091909","100","0.9954826483798245","0.97496378996777","0.0016315479764269724","100","1.0","0.8500000000000021","7.0"
"2.05","160","1.585110737530915","11.851940262091288","0.4299515628768249","100","0.9899452975566101","0.9565740093933687","0.001662138366814858","100","1.0","0.8500000000000134","7.0"
"2.1","160","1.5430671934053442","12.02743924099658","0.4358121817471201","100","0.9840088626219442","0.9292371143185156","0.0021625085351510975","100","1.0","0.8500000000000051","8.0"
"2.15","160","1.4982286465323025","12.172887462400816","0.44025129323689943","100","0.97621309418132","0.9040292320011531","0.0023001060077120885","100","1.0","0.8500000000000112","8.0"
"2.2","160","1.4505048665577616","12.346684224774762","0.4458011107657818","100","0.9660610003285387","0.9094728469838086","0.002470094675585699","100","1.0","0.8500000000000005","8.0"
"0.15","320","0.0","13.023869060326241","0.04389548579945126","100","0.9188403979409537","0.9008468828684681","0.0001289157344323111","0","0.0","nan","nan"
"0.2","320","0.28624731832153383","13.12020072936949","0.05674296083692821","100","0.8624253411810908","0.8327259991421847","0.00014849053019572734","0","0.0","nan","nan"
"0.25","320","0.5078329551966796","13.236014402481612","0.06901625182269869","100","0.7964508691326234","0.7603437247110921","0.00016721876500239708","0","0.0","nan","nan"
"0.3","320","0.6882660184818358","13.37382437948043","0.08073563624150655","100","0.7223749415343177","0.6574412496109009","0.00021273781924455726","0","0.0","nan","nan"
