eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
0.02,0.42,30,-0.04771591974672151,0.0004839471032581341,-0.13402493643973548,0.02161983944816037,-0.6515894321750193,1.9931634788423802,3.806014672708635
0.02,0.43,30,-0.04944374636881659,0.000528454565424963,-0.09936161998443524,0.023599451514049845,3.582173835151903,1.8061790070792783,5.946241075325184
0.02,0.44,30,-0.04970315214641022,0.00041740726760625384,-0.06238145973669736,0.023348262030935846,0.45299347998875444,1.8958262619603405,4.216502178394461
0.02,0.45,30,-0.05069137556355053,0.0004206215738665085,-0.09030175038466015,0.022509440541901272,-1.8180372563471878,2.394152194582522,4.192061060554048
0.02,0.46,30,-0.05150918715410342,0.0005263203098811971,-0.09874220486364114,0.029549099022849377,-0.2539038245240247,2.210375413615645,4.696511254522658
0.02,0.47,30,-0.05266621966082334,0.0004890538898669523,-0.09537982687514068,0.025463762793860346,2.3010336552083483,2.7410536515166672,7.701721270397592
0.02,0.48,30,-0.05341678369160623,0.00038684559516191685,-0.05272153175947406,0.029652268172299476,0.6861813272787266,2.0199254072699193,4.580642375008813
0.02,0.49,30,-0.05372065029601281,0.0004335240880153197,-0.08165620032956614,0.022346053930837675,-4.559814093534909,2.74595617089572,4.106071192551573
0.02,0.5,30,-0.05504990769819757,0.0005467158007522068,-0.1439178136301723,0.031374749945282984,-0.03203952440529664,2.1891915645481594,4.662091215186579
0.02,0.51,30,-0.05659900656861628,0.0005738298337548074,-0.08229699081767207,0.027230728069581406,6.5541701113690385,2.75873379392533,9.926850147723068
0.02,0.52,30,-0.056695847514551,0.00047118807324821976,-0.012834411402791429,0.03008630519926125,1.9760448716997605,2.7149481903419934,6.9552579648109765
0.02,0.53,30,-0.0568556947966721,0.0005800598329418066,-0.04277609338367683,0.034857363455505906,-4.203844294545028,2.6309809358383185,3.7644270848032013
0.02,0.54,30,-0.05755136938222453,0.000650752981366943,-0.09691129729369206,0.03173175201994197,-4.102063400900705,3.1571779823439377,4.863249159349904
0.02,0.55,30,-0.05879392074254595,0.000500440301845761,-0.12481736140169099,0.03316477970940528,0.8440401915929202,2.4303047608458974,5.683093725968916
0.02,0.56,30,-0.06004771661025836,0.0004876540569214355,-0.08003049346183365,0.02686289166263249,1.8096165790655827,2.682217972337779,6.831106811411772
0.02,0.57,30,-0.06039453061178262,0.0005404658035633395,-0.08862502982037891,0.028617246495458062,1.3325025844349303,2.540956520739113,5.852050646920625
0.02,0.58,30,-0.06182021720666596,0.000526566571209251,-0.05338044177313468,0.03130684627851736,0.4844959068555715,2.4821710607963987,5.718927194055248
0.02,0.59,30,-0.06146213944724531,0.000511468321458943,-0.07893511168326747,0.027304974144206223,-0.922855892418278,2.701414687469598,5.42631748779798
0.02,0.6,30,-0.0633989194403313,0.0004845830387254506,-0.07183755962150025,0.030556318881395855,2.4309652274329157,2.270975661816283,6.576765209811062
0.02,0.61,30,-0.06289889063967531,0.0005127768420595361,-0.030315807134609105,0.025268533562150104,-1.0054705504712311,2.8132594257665384,5.552408121561184
0.02,0.62,30,-0.06400523558302348,0.000507898006171109,-0.0919469706309249,0.03434616509634226,-1.993816949782157,2.5339342131048816,4.609764083769522
0.02,0.63,30,-0.06473783005229382,0.0005598245648447373,-0.07019214613025228,0.0335121429333408,1.2644287919356811,2.6889704725976458,6.609085642301401
0.02,0.64,30,-0.06540907850562853,0.0005986746708864349,-0.06665839479221125,0.024826556775149937,1.6192363621058161,2.7524901554175383,7.223533276501516
0.02,0.65,30,-0.06607099794813806,0.00047676274438136757,-0.037807418888135914,0.031876767003715015,0.218591322661414,2.82485467373517,6.4225318626745524
0.02,0.66,30,-0.06616522688339126,0.0005867978196959647,-0.062286568338982974,0.03995504564685052,-1.0494111508267419,2.919720876541804,6.082277168934953
0.02,0.67,30,-0.06731672931491771,0.0007126303452593228,-0.05879564190467078,0.03374812779794462,-0.0876444386544455,3.6187470635427683,8.297997698512157
