beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.63,True,True,True,True,True,True,True,True,pass,100,100,100683.04696019134,25600.0,0.9130595799633981,0.2,0.00011161519390507397,0.004,8.915667111008062e-05,0.012,0.7500000000010266,0.6,3.0,120.0
0.06,0.64,True,True,True,True,True,True,True,True,pass,100,100,100599.24775346192,25600.0,0.9017381709956477,0.2,0.00019825952252926752,0.004,8.953397485628604e-05,0.012,0.7500000000004218,0.6,4.0,120.0
0.06,0.65,True,True,True,True,True,True,True,True,pass,100,100,100135.18292677641,25600.0,0.8836029153974383,0.2,9.97645106765773e-05,0.004,9.124839617944863e-05,0.012,0.7500000000003791,0.6,3.0,120.0
0.06,0.66,True,True,True,True,True,True,True,True,pass,100,100,100233.49979520719,25600.0,0.8936918120212233,0.2,0.00013216795098639538,0.004,9.278806115369596e-05,0.012,0.75000000000013,0.6,3.0,120.0
0.06,0.67,True,True,True,True,True,True,True,True,pass,100,100,100134.1529665626,25600.0,0.8765220753367015,0.2,0.00010666763349417198,0.004,9.634911562706656e-05,0.012,0.7500000000002259,0.6,3.0,120.0
0.06,0.68,True,True,True,True,True,True,True,True,pass,100,100,100129.23472555708,25600.0,0.8967778115824506,0.2,0.00011922530138968147,0.004,9.60277608371748e-05,0.012,0.7500000000005563,0.6,4.0,120.0
0.06,0.69,True,True,True,True,True,True,True,True,pass,100,100,99851.1799209904,25600.0,0.8676216158809584,0.2,0.00013535316254280024,0.004,0.00010081421669643376,0.012,0.75000000000009,0.6,3.0,120.0
0.06,0.7,True,True,True,True,True,True,True,True,pass,100,100,99419.4287017493,25600.0,0.8475461936300077,0.2,0.00010445082367740875,0.004,9.582856777972049e-05,0.012,0.7500000000003512,0.6,4.0,120.0
0.06,0.71,True,True,True,True,True,True,True,True,pass,100,100,99261.26213127412,25600.0,0.8528725888675807,0.2,9.620025217327644e-05,0.004,9.301356724642274e-05,0.012,0.7500000000002233,0.6,4.0,120.0
0.06,0.72,True,True,True,True,True,True,True,True,pass,100,100,99008.88616303017,25600.0,0.8381930081739453,0.2,9.864399754871977e-05,0.004,9.398461240011132e-05,0.012,0.7500000000000381,0.6,3.0,120.0
