rule,ref_id,radius,phi_energy_raw
very_low_tv_spectral_teacher,3,2.5,-0.0853077330540645
very_low_tv_spectral_teacher,4,0.1,-0.0057899510509985
very_low_tv_spectral_teacher,4,0.15,-0.0104181756880281
very_low_tv_spectral_teacher,4,0.2,-0.0155486361134089
very_low_tv_spectral_teacher,4,0.25,-0.0204598457973983
very_low_tv_spectral_teacher,4,0.3,-0.0218110761195553
very_low_tv_spectral_teacher,4,0.35,-0.0299533313733309
very_low_tv_spectral_teacher,4,0.4,-0.0307699926073544
very_low_tv_spectral_teacher,4,0.45,-0.0358360618822227
very_low_tv_spectral_teacher,4,0.5,-0.0384547932261573
very_low_tv_spectral_teacher,4,0.55,-0.0358337371277711
very_low_tv_spectral_teacher,4,0.6,-0.0399351255296279
very_low_tv_spectral_teacher,4,0.65,-0.048382319528206
very_low_tv_spectral_teacher,4,0.7,-0.0478389954624831
very_low_tv_spectral_teacher,4,0.75,-0.0508173309956497
very_low_tv_spectral_teacher,4,0.8,-0.0500996997116992
very_low_tv_spectral_teacher,4,0.85,-0.0561327014810692
very_low_tv_spectral_teacher,4,0.9,-0.0518647058168894
very_low_tv_spectral_teacher,4,0.95,-0.0602263271469664
very_low_tv_spectral_teacher,4,1.0,-0.063175049088467
very_low_tv_spectral_teacher,4,1.05,-0.0612300177389303
very_low_tv_spectral_teacher,4,1.1,-0.0650869600169052
very_low_tv_spectral_teacher,4,1.15,-0.0637479211881234
very_low_tv_spectral_teacher,4,1.2,-0.0616929349983976
very_low_tv_spectral_teacher,4,1.25,-0.0659911886087609
very_low_tv_spectral_teacher,4,1.3,-0.0720720236741151
very_low_tv_spectral_teacher,4,1.35,-0.0756031196050059
very_low_tv_spectral_teacher,4,1.4,-0.073740119205004
very_low_tv_spectral_teacher,4,1.45,-0.0743528837127723
very_low_tv_spectral_teacher,4,1.5,-0.0811272623632624
very_low_tv_spectral_teacher,4,1.55,-0.0745098135033551
very_low_tv_spectral_teacher,4,1.6,-0.0768799152912672
very_low_tv_spectral_teacher,4,1.65,-0.0723277118800829
very_low_tv_spectral_teacher,4,1.7,-0.0763153387203115
very_low_tv_spectral_teacher,4,1.75,-0.0792403426229777
very_low_tv_spectral_teacher,4,1.8,-0.0738706361471468
very_low_tv_spectral_teacher,4,1.85,-0.0897074954577213
very_low_tv_spectral_teacher,4,1.9,-0.0848264652637245
very_low_tv_spectral_teacher,4,1.95,-0.0933020159231438
very_low_tv_spectral_teacher,4,2.0,-0.0902891894553026
very_low_tv_spectral_teacher,4,2.05,-0.0966825875394727
very_low_tv_spectral_teacher,4,2.1,-0.0877821208771124
very_low_tv_spectral_teacher,4,2.15,-0.0990258833785981
very_low_tv_spectral_teacher,4,2.2,-0.0918684329380578
very_low_tv_spectral_teacher,4,2.25,-0.0932877127375915
very_low_tv_spectral_teacher,4,2.3,-0.1012638072210646
very_low_tv_spectral_teacher,4,2.35,-0.09595081030028
very_low_tv_spectral_teacher,4,2.4,-0.1024135590095809
very_low_tv_spectral_teacher,4,2.45,-0.0953834698958303
very_low_tv_spectral_teacher,4,2.5,-0.0945402186908865
very_low_tv_spectral_teacher,5,0.1,-0.0042922746099045
very_low_tv_spectral_teacher,5,0.15,-0.0088515161600221
very_low_tv_spectral_teacher,5,0.2,-0.0135417602052806
very_low_tv_spectral_teacher,5,0.25,-0.0169849961160301
very_low_tv_spectral_teacher,5,0.3,-0.0219277420419185
very_low_tv_spectral_teacher,5,0.35,-0.025157215657398
very_low_tv_spectral_teacher,5,0.4,-0.0293189895637
very_low_tv_spectral_teacher,5,0.45,-0.032220882698094
very_low_tv_spectral_teacher,5,0.5,-0.0356461523287269
very_low_tv_spectral_teacher,5,0.55,-0.0377535595086942
very_low_tv_spectral_teacher,5,0.6,-0.0384893482422106
very_low_tv_spectral_teacher,5,0.65,-0.041913131922649
very_low_tv_spectral_teacher,5,0.7,-0.0433717209267979
very_low_tv_spectral_teacher,5,0.75,-0.0454225369411071
very_low_tv_spectral_teacher,5,0.8,-0.0472145851952739
very_low_tv_spectral_teacher,5,0.85,-0.0487021017264533
very_low_tv_spectral_teacher,5,0.9,-0.0580331416020687
very_low_tv_spectral_teacher,5,0.95,-0.0528999579294117
very_low_tv_spectral_teacher,5,1.0,-0.0590212638684951
very_low_tv_spectral_teacher,5,1.05,-0.0620534248281793
very_low_tv_spectral_teacher,5,1.1,-0.0635884454896489
very_low_tv_spectral_teacher,5,1.15,-0.0641668559606283
very_low_tv_spectral_teacher,5,1.2,-0.0630680288655517
very_low_tv_spectral_teacher,5,1.25,-0.0671321742582685
very_low_tv_spectral_teacher,5,1.3,-0.0631750603325575
very_low_tv_spectral_teacher,5,1.35,-0.0697505105346864
very_low_tv_spectral_teacher,5,1.4,-0.0664025334026588
very_low_tv_spectral_teacher,5,1.45,-0.0777190747590607
very_low_tv_spectral_teacher,5,1.5,-0.0747592283839609
very_low_tv_spectral_teacher,5,1.55,-0.0726509373325147
very_low_tv_spectral_teacher,5,1.6,-0.0824354103863197
very_low_tv_spectral_teacher,5,1.65,-0.0810655719177382
very_low_tv_spectral_teacher,5,1.7,-0.07920825110811
very_low_tv_spectral_teacher,5,1.75,-0.0830344398966013
very_low_tv_spectral_teacher,5,1.8,-0.0853963532659249
very_low_tv_spectral_teacher,5,1.85,-0.0849950376640592
very_low_tv_spectral_teacher,5,1.9,-0.0880767722311507
very_low_tv_spectral_teacher,5,1.95,-0.0853436040724701
very_low_tv_spectral_teacher,5,2.0,-0.0826821666036048
very_low_tv_spectral_teacher,5,2.05,-0.0868518339851466
very_low_tv_spectral_teacher,5,2.1,-0.0934558728083645
very_low_tv_spectral_teacher,5,2.15,-0.089024832887185
very_low_tv_spectral_teacher,5,2.2,-0.0897915648923877
very_low_tv_spectral_teacher,5,2.25,-0.0918393998635495
very_low_tv_spectral_teacher,5,2.3,-0.08953117181806
very_low_tv_spectral_teacher,5,2.35,-0.1025593420781428
very_low_tv_spectral_teacher,5,2.4,-0.0947570377300827
very_low_tv_spectral_teacher,5,2.45,-0.1051264043607228
very_low_tv_spectral_teacher,5,2.5,-0.1004690087316153
very_low_tv_spectral_teacher,6,0.1,-0.0039264183363051
very_low_tv_spectral_teacher,6,0.15,-0.0076459472321273
very_low_tv_spectral_teacher,6,0.2,-0.0118994299464963
very_low_tv_spectral_teacher,6,0.25,-0.0170590272686151
very_low_tv_spectral_teacher,6,0.3,-0.0205001642387777
very_low_tv_spectral_teacher,6,0.35,-0.0206768720117508
very_low_tv_spectral_teacher,6,0.4,-0.0279960814539819
very_low_tv_spectral_teacher,6,0.45,-0.0299325186507575
very_low_tv_spectral_teacher,6,0.5,-0.0321159711445235
