run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,38,3801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_038_seed_3801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2998.0,0.5046697798532355,0.49533022014676453,0.009339559706470981,0.08645289753271337
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,39,3901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_039_seed_3901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2917.0,0.5125128556736372,0.48748714432636275,0.025025711347274597,0.04440712806567153
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,40,4001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_040_seed_4001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2938.0,0.5051055139550715,0.49489448604492847,0.010211027910142955,0.08518431547211751
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,41,4101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_041_seed_4101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2960.0,0.5135135135135135,0.4864864864864865,0.02702702702702703,0.09312567028886101
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,42,4201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_042_seed_4201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2944.0,0.5264945652173914,0.47350543478260865,0.05298913043478261,0.08578545493818866
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,43,4301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_043_seed_4301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2922.0,0.5208761122518822,0.47912388774811776,0.04175222450376454,0.11412813722731288
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,44,4401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_044_seed_4401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2983.0,0.5182701977874623,0.4817298022125377,0.03654039557492457,0.05833785170134866
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,45,4501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_045_seed_4501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2925.0,0.5343589743589744,0.4656410256410256,0.06871794871794872,0.07380191629574837
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,46,4601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_046_seed_4601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2954.0,0.5308056872037915,0.4691943127962085,0.061611374407582936,0.10174356903791293
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,47,4701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_047_seed_4701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2942.0,0.5237933378653977,0.4762066621346023,0.04758667573079538,0.11119790724525125
