cell_id,series,dataset_id,seed,beta_ising,rewire_p,C,sigma_med,n_edges
cell_beta_0p10_p_0p00,beta,2,206234,0.1,0.0,0.41045159512095863,0.11844249581462094,2185
cell_beta_0p10_p_0p00,beta,3,306234,0.1,0.0,0.3533992315469254,0.11584959786349994,2199
cell_beta_0p10_p_0p00,beta,4,406234,0.1,0.0,0.4216548140860084,0.11834702473131227,2179
cell_beta_0p10_p_0p00,beta,5,506234,0.1,0.0,0.3984629267506391,0.11565151901693091,2176
cell_beta_0p10_p_0p00,beta,6,606234,0.1,0.0,0.3815288953715902,0.11634150643219704,2179
cell_beta_0p10_p_0p00,beta,7,706234,0.1,0.0,0.41336633359758457,0.11418174444142168,2173
cell_beta_0p10_p_0p00,beta,8,806234,0.1,0.0,0.385070016928065,0.11517231546495584,2165
cell_beta_0p10_p_0p00,beta,9,906234,0.1,0.0,0.4079079327202999,0.11489112535822632,2130
cell_beta_0p10_p_0p00,beta,10,1006234,0.1,0.0,0.40847460744083114,0.11541348776672224,2158
cell_beta_0p10_p_0p00,beta,11,1106234,0.1,0.0,0.3833187644300071,0.11342573393008924,2165
cell_beta_0p10_p_0p00,beta,12,1206234,0.1,0.0,0.3576797565292194,0.11302573674405876,2185
cell_beta_0p10_p_0p00,beta,13,1306234,0.1,0.0,0.3878200376167401,0.11572946473313032,2183
cell_beta_0p10_p_0p00,beta,14,1406234,0.1,0.0,0.3838428512023999,0.11489864429428599,2165
cell_beta_0p10_p_0p00,beta,15,1506234,0.1,0.0,0.42551492407665814,0.11232189023833346,2157
cell_beta_0p10_p_0p00,beta,16,1606234,0.1,0.0,0.40132712456390673,0.11655076980252177,2158
cell_beta_0p10_p_0p00,beta,17,1706234,0.1,0.0,0.4177052598220863,0.11766110216460232,2178
cell_beta_0p10_p_0p00,beta,18,1806234,0.1,0.0,0.4301705103174331,0.11664769257633355,2180
cell_beta_0p10_p_0p00,beta,19,1906234,0.1,0.0,0.4189337247329492,0.11367994365846748,2171
cell_beta_0p10_p_0p00,beta,20,2006234,0.1,0.0,0.4174573930361368,0.11371198539028748,2176
cell_beta_0p10_p_0p00,beta,21,2106234,0.1,0.0,0.44138792095586155,0.11399763548063521,2160
cell_beta_0p10_p_0p00,beta,22,2206234,0.1,0.0,0.425175351638302,0.11359624874298871,2139
cell_beta_0p10_p_0p00,beta,23,2306234,0.1,0.0,0.39651928506512135,0.1142982685319525,2141
cell_beta_0p10_p_0p00,beta,24,2406234,0.1,0.0,0.4319644699815127,0.11430709605069445,2170
cell_beta_0p10_p_0p00,beta,25,2506234,0.1,0.0,0.40953295571759485,0.11437392514599515,2140
cell_beta_0p10_p_0p00,beta,26,2606234,0.1,0.0,0.40731478009553296,0.11649671598759677,2190
cell_beta_0p10_p_0p00,beta,27,2706234,0.1,0.0,0.40366525650643476,0.11418668046025904,2149
cell_beta_0p10_p_0p00,beta,28,2806234,0.1,0.0,0.4423954191759702,0.11548240699948792,2195
cell_beta_0p10_p_0p00,beta,29,2906234,0.1,0.0,0.40007724961245866,0.11428969696557412,2148
cell_beta_0p11_p_0p00,beta,0,7234,0.11,0.0,0.36764516555229537,0.11447927511933846,2123
cell_beta_0p11_p_0p00,beta,1,107234,0.11,0.0,0.43984626854068076,0.11490190388041267,2194
cell_beta_0p11_p_0p00,beta,2,207234,0.11,0.0,0.38870514799274036,0.11575737610146064,2176
cell_beta_0p11_p_0p00,beta,3,307234,0.11,0.0,0.35297232545682444,0.11366859631086106,2178
cell_beta_0p11_p_0p00,beta,4,407234,0.11,0.0,0.35881352100795283,0.11284322040719508,2166
cell_beta_0p11_p_0p00,beta,5,507234,0.11,0.0,0.3621633457750173,0.11263862255538543,2159
cell_beta_0p11_p_0p00,beta,6,607234,0.11,0.0,0.3812966096805221,0.11327739008663913,2154
cell_beta_0p11_p_0p00,beta,7,707234,0.11,0.0,0.3900844159988976,0.11444695138255073,2157
cell_beta_0p11_p_0p00,beta,8,807234,0.11,0.0,0.3935045031060527,0.11515471977607145,2182
cell_beta_0p11_p_0p00,beta,9,907234,0.11,0.0,0.39310066337557525,0.11505433178354606,2167
cell_beta_0p11_p_0p00,beta,10,1007234,0.11,0.0,0.38839561093669306,0.11644300639367743,2183
cell_beta_0p11_p_0p00,beta,11,1107234,0.11,0.0,0.3681778757040921,0.11276059088470913,2159
cell_beta_0p11_p_0p00,beta,12,1207234,0.11,0.0,0.3838184346648293,0.1156947635892276,2192
cell_beta_0p11_p_0p00,beta,13,1307234,0.11,0.0,0.368410563863947,0.11437667664089511,2172
cell_beta_0p11_p_0p00,beta,14,1407234,0.11,0.0,0.381538953613794,0.11593226092752315,2174
cell_beta_0p11_p_0p00,beta,15,1507234,0.11,0.0,0.3871682855434663,0.11445568104502496,2150
cell_beta_0p11_p_0p00,beta,16,1607234,0.11,0.0,0.4111641207031447,0.11487363196941708,2153
cell_beta_0p11_p_0p00,beta,17,1707234,0.11,0.0,0.4127909739833996,0.1105735100653357,2111
cell_beta_0p11_p_0p00,beta,18,1807234,0.11,0.0,0.39138407503886175,0.1132642389029404,2148
cell_beta_0p11_p_0p00,beta,19,1907234,0.11,0.0,0.4030302030855638,0.1156758102189517,2200
cell_beta_0p11_p_0p00,beta,20,2007234,0.11,0.0,0.4091964948738589,0.11787652371569761,2176
cell_beta_0p11_p_0p00,beta,21,2107234,0.11,0.0,0.3966032213599221,0.11147760687356931,2133
cell_beta_0p11_p_0p00,beta,22,2207234,0.11,0.0,0.3935987104936136,0.11480230188764781,2189
cell_beta_0p11_p_0p00,beta,23,2307234,0.11,0.0,0.4012951632725687,0.11700339732909677,2177
cell_beta_0p11_p_0p00,beta,24,2407234,0.11,0.0,0.3669252387906152,0.11191832737025734,2137
cell_beta_0p11_p_0p00,beta,25,2507234,0.11,0.0,0.3630509152844785,0.11715564919652353,2179
cell_beta_0p11_p_0p00,beta,26,2607234,0.11,0.0,0.39239151587780896,0.10997752305068575,2130
cell_beta_0p11_p_0p00,beta,27,2707234,0.11,0.0,0.41820893176416085,0.115955469859865,2174
cell_beta_0p11_p_0p00,beta,28,2807234,0.11,0.0,0.4400940261225706,0.11689296277438857,2177
cell_beta_0p11_p_0p00,beta,29,2907234,0.11,0.0,0.4079915201894324,0.11672150591379148,2155
cell_beta_0p12_p_0p00,beta,0,8234,0.12,0.0,0.3611868108871917,0.11433160464337672,2155
cell_beta_0p12_p_0p00,beta,1,108234,0.12,0.0,0.3763023408067329,0.11568406412974645,2180
cell_beta_0p12_p_0p00,beta,2,208234,0.12,0.0,0.35622709743499475,0.11287298636406753,2167
cell_beta_0p12_p_0p00,beta,3,308234,0.12,0.0,0.345313684238929,0.11310400579656966,2138
cell_beta_0p12_p_0p00,beta,4,408234,0.12,0.0,0.37714353749372875,0.11519304265078034,2166
cell_beta_0p12_p_0p00,beta,5,508234,0.12,0.0,0.39527577117424384,0.11403274581661141,2181
cell_beta_0p12_p_0p00,beta,6,608234,0.12,0.0,0.361802995275998,0.11415282373045821,2162
cell_beta_0p12_p_0p00,beta,7,708234,0.12,0.0,0.3445815049301097,0.11468074300767572,2152
cell_beta_0p12_p_0p00,beta,8,808234,0.12,0.0,0.40903161614422573,0.11422673636836264,2177
cell_beta_0p12_p_0p00,beta,9,908234,0.12,0.0,0.35844606698862275,0.11191117469964781,2136
