rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sem,derivative_source
rule_002,real_even_odd,even odd,2,0.1328125,0.11,30,-0.08474217717994169,0.0025637543756025054,-0.08474217717994169,0.0025637543756025054,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.12,30,-0.09451937032571232,0.0025548064712568636,-0.09451937032571232,0.0025548064712568636,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.13,30,-0.10065070320070123,0.0023963462982393327,-0.10065070320070123,0.0023963462982393327,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.14,30,-0.10732870317128848,0.00212294362797438,-0.10732870317128848,0.00212294362797438,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.15,30,-0.113836091706282,0.0020989044580127236,-0.113836091706282,0.0020989044580127236,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.16,30,-0.1158830629074775,0.0023949295968110607,-0.1158830629074775,0.0023949295968110607,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.17,30,-0.11823362728645488,0.001990299912643711,-0.11823362728645488,0.001990299912643711,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.18,30,-0.1233662935267173,0.0021399981145189817,-0.1233662935267173,0.0021399981145189817,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.19,30,-0.12467496408055169,0.002191199085918763,-0.12467496408055169,0.002191199085918763,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.2,30,-0.1279666014321822,0.0014861669953379138,-0.1279666014321822,0.0014861669953379138,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.21,30,-0.12673268151510206,0.00170749955020924,-0.12673268151510206,0.00170749955020924,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.22,30,-0.12736528023245391,0.001574702359656941,-0.12736528023245391,0.001574702359656941,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.23,30,-0.12436378226835813,0.0016203865502208313,-0.12436378226835813,0.0016203865502208313,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.24,30,-0.12495213651748245,0.001292062959360397,-0.12495213651748245,0.001292062959360397,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.25,30,-0.12359649841770053,0.0013714372362415661,-0.12359649841770053,0.0013714372362415661,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.26,30,-0.12328341197928654,0.001320324888447554,-0.12328341197928654,0.001320324888447554,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.27,30,-0.12113833158937062,0.0014238532891927991,-0.12113833158937062,0.0014238532891927991,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.28,30,-0.11707005315846662,0.0015854225515276458,-0.11707005315846662,0.0015854225515276458,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.29,30,-0.11521668738379366,0.0014860469027249646,-0.11521668738379366,0.0014860469027249646,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.3,30,-0.11178321681181527,0.0012382389700877814,-0.11178321681181527,0.0012382389700877814,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.31,30,-0.10725628212536241,0.0010588007096275292,-0.10725628212536241,0.0010588007096275292,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.32,30,-0.10849576621747427,0.0012323711785721413,-0.10849576621747427,0.0012323711785721413,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.33,30,-0.10442388213315121,0.0017616927791339987,-0.10442388213315121,0.0017616927791339987,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.34,30,-0.10302315879616246,0.0014642717740478552,-0.10302315879616246,0.0014642717740478552,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.35,30,-0.10143771432336599,0.001643397098433474,-0.10143771432336599,0.001643397098433474,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.36,30,-0.10165981621099228,0.0013866542403634845,-0.10165981621099228,0.0013866542403634845,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.37,30,-0.09617827417350513,0.0013852385904573618,-0.09617827417350513,0.0013852385904573618,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.38,30,-0.09487186738882164,0.0015803760752629552,-0.09487186738882164,0.0015803760752629552,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.39,30,-0.09152439601499275,0.0014597796457849791,-0.09152439601499275,0.0014597796457849791,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.4,30,-0.08952948364486205,0.0016778551510984406,-0.08952948364486205,0.0016778551510984406,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.41,30,-0.08862632644096585,0.0013056176175211605,-0.08862632644096585,0.0013056176175211605,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.42,30,-0.08670000146373685,0.0014707633851642078,-0.08670000146373685,0.0014707633851642078,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.43,30,-0.08536920617709451,0.0014877069389405981,-0.08536920617709451,0.0014877069389405981,sampling_time_direct_radial_score_derivative
