source,case_id,case_label,eta,nmstv,radius,n_refs,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.16,30,-0.4047497200453753,0.0058888643418771,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.17,30,-0.4026101962550942,0.0063570979103396,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.18,30,-0.4030158313417832,0.005090064916953,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.19,30,-0.4174263175038157,0.0059251038191577,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.2,30,-0.4028731197043102,0.0041296535345657,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.21,30,-0.3948305180041564,0.0045962918889774,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.22,30,-0.3973538962205232,0.0051953960415126,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.23,30,-0.374902692806016,0.004526442135059,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.24,30,-0.3529475740659754,0.006269506873888,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.25,30,-0.3430009543893053,0.0053031206631256,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.26,30,-0.3248289133273271,0.005369560012348,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.27,30,-0.3050267642461701,0.0065862116198686,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.28,30,-0.2895706344398751,0.0067816501417758,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.29,30,-0.2500171837902803,0.0053187258408593,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.3,30,-0.2533195828858895,0.0040318732896891,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.31,30,-0.2262238174978268,0.0062630797547846,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.32,30,-0.2093584821322918,0.0054853205277117,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.33,30,-0.2008349963120864,0.0058170841746339,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.34,30,-0.1822132169525527,0.0057734668700358,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.35,30,-0.1631024687379109,0.0049550746912457,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.36,30,-0.155702498021307,0.0054409123431954,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.37,30,-0.1358929088071977,0.0051557468521096,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.38,30,-0.1218466412234159,0.0041819750326168,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.39,30,-0.1158153259632497,0.0037151157911538,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.4,30,-0.1031470851968917,0.0035612794590245,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.41,30,-0.0949001221535699,0.0035947787470752,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.42,30,-0.0867758921208384,0.0040205300697156,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.43,30,-0.0780839599504033,0.0035069026571124,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.44,30,-0.077360855256195,0.0034148969736089,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.45,30,-0.0763356647167654,0.0026061052050883,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.46,30,-0.0667633836463724,0.0032857154119323,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.47,30,-0.0665273161528287,0.0024486291834883,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.48,30,-0.060096951176232,0.0025373026793254,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.49,30,-0.0587234080102366,0.003090031629017,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.5,30,-0.0554453292391795,0.0030452569749388,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.51,30,-0.0522612498227505,0.0024177827085958,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.52,30,-0.0500075785783765,0.0027241024049374,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.53,30,-0.0451954924455574,0.0018894865705691,sampling_time_direct_radial_score_derivative
