eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.3,8,19,0.1,1.0,0.566890945016181,-0.7434485154964703,0.9,2.6018458326978973,0.4
0.3,9,19,0.1,1.0,0.5476234168351201,-1.411976282193357,0.1,2.453400459768586,0.35
0.3,10,19,0.1,1.0,0.711850187402373,-1.133522963702135,1.0,5.26693452192107,0.3
0.3,11,19,0.1,1.0,0.7168457670232108,-1.5424125944960745,1.0,2.5937718130507172,0.35
0.3,12,19,0.1,1.0,0.9699656963067878,-2.2661687650938283,0.1,4.97962489907899,0.25
0.3,13,19,0.1,1.0,0.6222398445167565,-0.737449002555392,0.85,3.601785133614104,0.3
0.3,14,19,0.1,1.0,0.6079871060902449,-0.694062939500577,0.6,2.737268848465053,0.35
0.3,15,19,0.1,1.0,0.6941441087048247,-1.469050278750095,0.1,4.959863037003796,0.25
0.3,16,19,0.1,1.0,0.6805108382575566,-1.3141997917196186,1.0,2.8809429144806322,0.25
0.3,17,19,0.1,1.0,0.6924764568354731,-3.049661477481561,0.1,2.926292225380707,0.35
0.3,18,19,0.1,1.0,0.7251156483097391,-0.8813281759080748,0.85,2.9020198938655506,0.25
0.3,19,19,0.1,1.0,0.6664712824705862,-1.7171038610911031,0.2,3.5706460387949583,0.3
0.3,20,19,0.1,1.0,0.7034422034528045,-1.3053030951680054,0.15,3.7540242488165485,0.3
0.3,21,19,0.1,1.0,0.665306854478284,-2.452258375094282,1.0,3.295241970987634,0.3
0.3,22,19,0.1,1.0,0.6825769105820355,-2.144238512876722,1.0,2.6328562582888706,0.3
0.3,23,19,0.1,1.0,0.6908410155598957,-2.2445371981459457,0.1,2.829610082789502,0.25
0.3,24,19,0.1,1.0,0.7868126301074441,-1.6177055639914306,0.55,2.5624848140119876,1.0
0.3,25,19,0.1,1.0,0.7933541583427377,-4.3495444441524524,0.1,4.216396242495331,0.4
0.3,26,19,0.1,1.0,0.7083936723421933,-0.9563478856986335,0.65,3.53526209337101,0.35
0.3,27,19,0.1,1.0,0.5699219344050585,-1.091469454418266,0.1,3.371783673262258,0.3
0.3,28,19,0.1,1.0,0.6525353938661045,-2.345053054667308,0.1,3.598200034903325,0.25
0.3,29,19,0.1,1.0,0.7250892150656231,-0.8416411481202116,0.85,2.571403464149513,0.25
0.3,30,19,0.1,1.0,0.7072476361544009,-1.6685808404650406,1.0,3.7228086432092824,0.3
0.3,31,19,0.1,1.0,0.663114611594814,-2.6706014427093856,0.1,3.1774654014347044,0.25
0.3,32,19,0.1,1.0,0.7253140673604362,-1.2150079173173092,0.55,2.56596593602899,0.25
0.3,33,19,0.1,1.0,0.5741721220573031,-1.126741381219829,0.8,2.216990518995396,0.4
0.3,34,19,0.1,1.0,0.6299521414336148,-4.130068638174774,0.1,3.1389220668077695,0.3
0.3,35,19,0.1,1.0,0.6628737072798836,-1.391824245746946,0.65,2.8521037222122243,0.25
0.3,36,19,0.1,1.0,0.5649760724925341,-2.1457661472411065,0.1,3.599902174891651,0.3
0.3,37,19,0.1,1.0,0.7001926601510033,-1.4399100378896625,0.1,3.4269753604031723,0.25
0.3,38,19,0.1,1.0,0.6372613432473264,-0.560672253369682,0.2,4.094888646115482,0.3
0.3,39,19,0.1,1.0,0.5869588923539963,-1.3651882640750448,1.0,2.8559601283864624,0.3
0.3,40,19,0.1,1.0,0.6951443620807262,-0.9906516698220197,0.4,4.1636198970955265,0.3
0.3,41,19,0.1,1.0,0.6442402734112754,-1.3905333001919926,1.0,3.3099165715382313,0.25
0.3,42,19,0.1,1.0,0.6938886135474167,-0.9697277921379613,0.85,2.894210683050873,0.35
0.3,43,19,0.1,1.0,0.6839183756132069,-1.1238220962431322,0.6,3.2019461932412243,0.35
0.3,44,19,0.1,1.0,0.5772577930820364,-0.7624980724609136,0.95,3.500459599680414,0.25
0.3,45,19,0.1,1.0,0.8037905484054892,-2.212427058773401,0.1,4.764185841470767,0.25
0.3,46,19,0.1,1.0,0.7470851120174175,-0.9092115951529482,0.85,3.590891830168287,0.3
0.3,47,19,0.1,1.0,0.718747110711147,-0.724858800331601,0.65,3.0097539875225405,0.3
0.3,48,19,0.1,1.0,0.5495721013012731,-0.9979816526418164,0.1,2.98866936049702,0.35
0.3,49,19,0.1,1.0,0.6457419146260305,-1.4323185769842475,0.1,2.6349175732688606,0.3
0.3,50,19,0.1,1.0,0.8585282146303922,-1.6008185839407132,0.65,3.4829616639178638,0.25
0.3,51,19,0.1,1.0,0.5853151011125677,-1.1321109823581335,0.1,2.447382683078135,0.25
0.3,52,19,0.1,1.0,0.647949900859428,-1.1782238919180994,0.6,2.403293471528345,0.35
0.3,53,19,0.1,1.0,0.6827464871091204,-1.3986575746920296,0.1,3.0169736403465945,0.35
0.3,54,19,0.1,1.0,0.6683041031552359,-0.8762800554159733,1.0,2.384467960187098,0.3
0.3,55,19,0.1,1.0,0.7810780986870852,-1.1055945900933535,0.4,6.185589462170161,0.3
0.3,56,19,0.1,1.0,0.765420132433557,-1.2934903113300324,0.5,4.3679678024846735,0.3
0.3,57,19,0.1,1.0,0.7265733909746488,-1.4777136574397636,0.75,3.1130005135108716,0.3
0.3,58,19,0.1,1.0,0.6886900995502462,-2.4006117623968577,0.1,3.6066336402174826,0.25
0.3,59,19,0.1,1.0,0.7267632889392974,-1.1078364388462665,0.5,2.8749607429992614,0.4
0.3,60,19,0.1,1.0,0.7745042347608876,-3.855554790779127,0.1,2.8021517032285335,0.25
0.3,61,19,0.1,1.0,0.6339648246509727,-0.7325797517302547,0.1,3.0326027347246134,0.25
0.3,62,19,0.1,1.0,0.670652080609468,-1.936581066116359,0.1,3.9480889909582277,0.3
0.3,63,19,0.1,1.0,0.5338660990745214,-0.5102143282727005,0.75,2.208657281023511,0.3
0.3,64,19,0.1,1.0,0.5184114074614394,-0.6721292324023121,0.1,2.0865755459198274,0.35
0.3,65,19,0.1,1.0,0.681506091151568,-1.2884214139559993,0.7,3.6010300012741623,0.25
0.3,66,19,0.1,1.0,0.7561752781034871,-2.610417591460672,0.15,3.418167314179199,0.3
0.3,67,19,0.1,1.0,0.7451779764454682,-1.7314632194938575,0.55,3.1245715706838393,0.4
0.3,68,19,0.1,1.0,0.7271381231387881,-0.8781132649921382,0.75,3.110620498886165,0.3
0.3,69,19,0.1,1.0,0.653311171697714,-0.744111915403889,0.1,2.935869288435197,0.25
0.3,70,19,0.1,1.0,0.68147414371717,-0.6777443684609818,0.9,3.236625010977531,0.35
