rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
teacher_nn,0.45,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.46,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.47,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.48,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.49,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.5,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.51,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.52,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.53,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.54,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.55,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.56,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.57,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.58,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.59,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.6,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.61,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.62,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.63,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.64,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.65,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.66,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.67,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.68,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.69,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.7,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.71,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.72,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.73,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.74,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.75,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.76,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.77,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.78,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.79,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.8,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.81,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.82,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.83,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.84,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.85,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.86,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.87,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.88,0,30,partial_missing_units,False,,,,,,
