eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.15,22,100,0.01,1.0,6.406689621173057,-48.43754815819522,0.46,45.06116833539102,0.29
0.15,23,100,0.01,1.0,6.301494130643024,-41.18616637982085,0.43,39.93820355743628,0.8
0.15,24,100,0.01,1.0,7.269637615833214,-47.68452113140604,0.58,43.55602949393285,0.4
0.15,25,100,0.01,1.0,5.465789994435439,-41.3530477481563,0.36,32.32527991890492,0.31
0.15,26,100,0.01,1.0,5.185879721954559,-37.87404468805346,0.3,45.83218259241377,0.25
0.15,27,100,0.01,1.0,4.609710900990202,-39.93989505971751,0.34,32.72859081353269,0.61
0.15,28,100,0.01,1.0,5.615029927026502,-35.23928143319925,0.57,31.341694621249687,0.81
0.15,29,100,0.01,1.0,7.047507739600846,-35.18416502174705,0.8,42.95716716039633,0.82
0.25,0,100,0.01,1.0,7.171409531592754,-57.256786763268195,0.24,60.629746089279735,0.26
0.25,1,100,0.01,1.0,6.387807112032984,-52.430793444317416,0.25,46.75824961911395,0.27
0.25,2,100,0.01,1.0,6.240519542208193,-35.84557968526974,0.23,42.732341516158996,0.21
0.25,3,100,0.01,1.0,5.8490834174702115,-61.94813655393395,0.29,52.30846887942562,0.36
0.25,4,100,0.01,1.0,8.223999546891335,-117.506039376389,1.0,57.19552281231803,0.44
0.25,5,100,0.01,1.0,7.017497140939964,-52.522577191378105,0.47,55.060957139490085,0.44
0.25,6,100,0.01,1.0,7.810073043326083,-57.865703626226995,0.25,64.66607648121281,0.27
0.25,7,100,0.01,1.0,9.347503904437726,-65.63977536385578,0.31,79.74670798627031,0.29
0.25,8,100,0.01,1.0,5.140319435941363,-37.23252917303649,0.39,34.570596262765214,0.37
0.25,9,100,0.01,1.0,6.014238649882308,-36.07328537409479,1.0,33.93908199730737,0.57
0.25,10,100,0.01,1.0,6.778909068291854,-43.83324899159314,0.63,48.40056608004308,1.0
0.25,11,100,0.01,1.0,6.293011226574014,-34.306595127259314,0.15,38.522410753581674,0.47
0.25,12,100,0.01,1.0,5.738271825830167,-39.778484371264184,1.0,51.27026023620874,0.28
0.25,13,100,0.01,1.0,6.810996873825827,-58.78167309368689,0.46,46.2445469816486,0.44
0.25,14,100,0.01,1.0,7.408326290920659,-34.48591163957536,0.6,42.30401011968051,0.95
0.25,15,100,0.01,1.0,6.45037860930262,-60.256482686684706,0.31,56.96944162748147,0.29
0.25,16,100,0.01,1.0,7.70848663779546,-63.78948144493577,0.25,77.2988743308711,0.38
0.25,17,100,0.01,1.0,6.112946996412461,-49.37254028251412,0.36,43.08569334347699,0.38
0.25,18,100,0.01,1.0,8.644623237939017,-75.91607494515375,0.31,75.10609790502379,0.33
0.25,19,100,0.01,1.0,7.037514313131766,-49.64205879670875,0.43,58.1404748237325,0.45
0.25,20,100,0.01,1.0,6.58532451012567,-64.08792668257595,0.38,72.95789980717419,0.2
0.25,21,100,0.01,1.0,6.513187356201786,-68.9567862800068,0.37,66.49848620184584,0.24
0.25,22,100,0.01,1.0,8.04999321996687,-91.30390169248682,0.38,64.19397258727976,0.4
0.25,23,100,0.01,1.0,5.617113210926567,-32.925321510634134,0.36,37.406517654858334,0.27
0.25,24,100,0.01,1.0,4.5133217225898115,-30.297307257700652,0.92,30.031183232073317,0.32
0.25,25,100,0.01,1.0,6.603015301706281,-73.47242614497283,0.17,89.51916829582733,0.19
0.25,26,100,0.01,1.0,5.312561105733241,-35.14997634406113,0.77,48.00465111386503,0.79
0.25,27,100,0.01,1.0,7.554989115437707,-59.56111677699968,0.38,48.14829259030509,0.61
0.25,28,100,0.01,1.0,7.265469976521479,-56.89560087760354,0.25,59.16261922156444,0.44
0.25,29,100,0.01,1.0,6.825971185202472,-68.731176701282,0.19,39.366552198451686,0.24
