beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.26,0.06,100,-0.5106071035651711,1.7802863386920667e-05,-0.5106071035651711,1.780286338692067e-05,-3.3881317890172014e-21,-0.5106249064285581,pass
0.26,0.07,100,-0.3565209022752012,1.3894337818384438e-05,-0.3565209022752012,1.3894337818384438e-05,0.0,-0.3565347966130196,pass
0.26,0.08,100,-0.22304627161604706,9.600503147349672e-06,-0.22304627161604706,9.600503147349676e-06,-3.3881317890172014e-21,-0.22305587211919442,pass
0.26,0.09,100,-0.10531421286463262,4.903769359660225e-06,-0.10531421286463262,4.903769359660228e-06,-3.3881317890172014e-21,-0.10531911663399228,pass
0.26,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.3,0.01,100,-2.301659926532456,2.041789852738014e-05,-2.301659926532456,2.041789852738014e-05,0.0,-2.3016803444309835,pass
0.3,0.02,100,-1.608785694446199,1.982588085473965e-05,-1.608785694446199,1.9825880854739658e-05,-6.776263578034403e-21,-1.6088055203270537,pass
0.3,0.03,100,-1.203480970447192,1.876008529566675e-05,-1.203480970447192,1.876008529566675e-05,0.0,-1.2034997305324877,pass
0.3,0.04,100,-0.9159134969052521,1.7199317871846953e-05,-0.9159134969052521,1.7199317871846957e-05,-3.3881317890172014e-21,-0.915930696223124,pass
0.3,0.05,100,-0.6928596209849187,1.5203119010785764e-05,-0.6928596209849187,1.5203119010785764e-05,0.0,-0.6928748241039295,pass
0.3,0.06,100,-0.5106121353626331,1.2771065925000485e-05,-0.5106121353626331,1.2771065925000485e-05,0.0,-0.5106249064285581,pass
0.3,0.07,100,-0.3565248127500735,9.983862946111057e-06,-0.3565248127500735,9.983862946111057e-06,0.0,-0.3565347966130196,pass
0.3,0.08,100,-0.22304892313817637,6.9489810180380575e-06,-0.22304892313817637,6.9489810180380575e-06,0.0,-0.22305587211919442,pass
