beta,radius,ref_count,dataset_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,delta_phi_full_std,delta_phi_full_unit_sem,delta_phi_full_dataset_mean_std,delta_phi_full_sem,delta_phi_full_ci95_half_width,delta_phi_full_ci95_low,delta_phi_full_ci95_high,delta_phi_energy_std,delta_phi_energy_unit_sem,delta_phi_energy_dataset_mean_std,delta_phi_energy_sem,delta_phi_energy_ci95_half_width,delta_phi_energy_ci95_low,delta_phi_energy_ci95_high,delta_phi_stripped_proxy_std,delta_phi_stripped_proxy_unit_sem,delta_phi_stripped_proxy_dataset_mean_std,delta_phi_stripped_proxy_sem,delta_phi_stripped_proxy_ci95_half_width,delta_phi_stripped_proxy_ci95_low,delta_phi_stripped_proxy_ci95_high,delta_phi_energy_stripped_std,delta_phi_energy_stripped_unit_sem,delta_phi_energy_stripped_dataset_mean_std,delta_phi_energy_stripped_sem,delta_phi_energy_stripped_ci95_half_width,delta_phi_energy_stripped_ci95_low,delta_phi_energy_stripped_ci95_high,uncertainty_method,claim
0.13,0.75,900,30,2.010471083144589,-0.00364022697703041,2.010471083144589,-0.00364022697703041,0.0,2.0141113101216193,0.0010146154313412886,3.382051437804295e-05,0.00040195034228550586,7.338575648889806e-05,0.0001500738720197965,2.010321009272569,2.0106211570166086,0.0010146154313412893,3.382051437804297e-05,0.0004019503422854521,7.338575648888824e-05,0.00015007387201977645,-0.0037903008490501864,-0.0034901531050106336,0.001014615431341288,3.382051437804293e-05,0.00040195034228550586,7.338575648889806e-05,0.0001500738720197965,2.010321009272569,2.0106211570166086,0.0010146154313412893,3.382051437804297e-05,0.0004019503422854521,7.338575648888824e-05,0.00015007387201977645,-0.0037903008490501864,-0.0034901531050106336,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.76,900,30,2.0236732104651205,-0.003678121995222865,2.0236732104651205,-0.003678121995222865,0.0,2.027351332460343,0.0010241512809307783,3.413837603102594e-05,0.00040492526397336854,7.392890039398264e-05,0.00015118460130569448,2.023522025863815,2.023824395066426,0.0010241512809307835,3.413837603102612e-05,0.0004049252639734405,7.392890039399577e-05,0.00015118460130572134,-0.0038293065965285863,-0.0035269373939171436,0.0010241512809307785,3.413837603102595e-05,0.00040492526397336854,7.392890039398264e-05,0.00015118460130569448,2.023522025863815,2.023824395066426,0.0010241512809307835,3.413837603102612e-05,0.0004049252639734405,7.392890039399577e-05,0.00015118460130572134,-0.0038293065965285863,-0.0035269373939171436,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.77,900,30,2.036701871645838,-0.0037164060040318207,2.036701871645838,-0.0037164060040318207,0.0,2.04041827764987,0.0010301764474077496,3.4339214913591654e-05,0.00040798853134326395,7.448817394003639e-05,0.0001523283157073744,2.0365495433301306,2.0368541999615455,0.0010301764474077513,3.433921491359171e-05,0.00040798853134333047,7.448817394004853e-05,0.00015232831570739924,-0.00386873431973922,-0.0035640776883244215,0.0010301764474077496,3.4339214913591654e-05,0.00040798853134326395,7.448817394003639e-05,0.0001523283157073744,2.0365495433301306,2.0368541999615455,0.0010301764474077513,3.433921491359171e-05,0.0004079885313433306,7.448817394004854e-05,0.00015232831570739927,-0.00386873431973922,-0.0035640776883244215,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.78,900,30,2.049564412403549,-0.0037521999820975403,2.049564412403549,-0.0037521999820975403,0.0,2.0533166123856463,0.0010365859620473942,3.455286540157981e-05,0.00041184313703168825,7.519192543531562e-05,0.00015376748751522046,2.0494106449160334,2.049718179891064,0.0010365859620473997,3.455286540157999e-05,0.00041184313703171655,7.519192543532079e-05,0.000153767487515231,-0.003905967469612771,-0.0035984324945823095,0.0010365859620473938,3.4552865401579794e-05,0.00041184313703168825,7.519192543531562e-05,0.00015376748751522046,2.0494106449160334,2.049718179891064,0.0010365859620473997,3.455286540157999e-05,0.00041184313703171655,7.519192543532079e-05,0.000153767487515231,-0.003905967469612771,-0.0035984324945823095,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.79,900,30,2.0622578841933183,-0.003792748458646295,2.0622578841933183,-0.003792748458646295,0.0,2.0660506326519648,0.0010502013150595567,3.5006710501985225e-05,0.00041736809372493834,7.62006399053597e-05,0.00015583030860646057,2.0621020538847117,2.062413714501925,0.00105020131505955,3.5006710501985e-05,0.0004173680937249387,7.620063990535976e-05,0.0001558303086064607,-0.003948578767252756,-0.003636918150039834,0.0010502013150595567,3.5006710501985225e-05,0.00041736809372493834,7.62006399053597e-05,0.00015583030860646057,2.0621020538847117,2.062413714501925,0.00105020131505955,3.5006710501985e-05,0.0004173680937249387,7.620063990535976e-05,0.0001558303086064607,-0.003948578767252756,-0.003636918150039834,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.8,900,30,2.074795692453142,-0.003828779858646513,2.074795692453142,-0.003828779858646513,0.0,2.0786244723117884,0.0010541315196669343,3.513771732223114e-05,0.0004170567417938661,7.614379508003601e-05,0.00015571406093867364,2.074639978392203,2.0749514065140806,0.0010541315196669337,3.513771732223112e-05,0.00041705674179389656,7.614379508004158e-05,0.00015571406093868503,-0.003984493919585198,-0.003673065797707828,0.0010541315196669337,3.513771732223112e-05,0.0004170567417938661,7.614379508003601e-05,0.00015571406093867364,2.074639978392203,2.0749514065140806,0.0010541315196669337,3.513771732223112e-05,0.0004170567417938967,7.61437950800416e-05,0.00015571406093868508,-0.003984493919585198,-0.003673065797707828,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.81,900,30,2.087173903868479,-0.0038682072945200666,2.087173903868479,-0.0038682072945200666,0.0,2.091042111162999,0.0010664821236964323,3.554940412321441e-05,0.0004218920332855864,7.702659448741202e-05,0.00015751938572675756,2.0870163844827525,2.0873314232542057,0.0010664821236964237,3.554940412321412e-05,0.00042189203328557047,7.70265944874091e-05,0.00015751938572675163,-0.004025726680246818,-0.0037106879087933147,0.0010664821236964315,3.554940412321438e-05,0.0004218920332855864,7.702659448741202e-05,0.00015751938572675756,2.0870163844827525,2.0873314232542057,0.0010664821236964237,3.554940412321412e-05,0.0004218920332855706,7.702659448740913e-05,0.00015751938572675168,-0.004025726680246818,-0.0037106879087933147,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.82,900,30,2.0994028850339754,-0.003904497466381486,2.0994028850339754,-0.003904497466381487,8.673617379884035e-19,2.1033073825003568,0.001077105856841114,3.5903528561370465e-05,0.00042568795505480456,7.771963181392059e-05,0.0001589366470594676,2.099243948386916,2.099561821681035,0.0010771058568411157,3.5903528561370526e-05,0.0004256879550547841,7.771963181391685e-05,0.00015893664705945995,-0.004063434113440946,-0.0037455608193220262,0.001077105856841114,3.5903528561370465e-05,0.00042568795505480456,7.771963181392059e-05,0.0001589366470594676,2.099243948386916,2.099561821681035,0.0010771058568411157,3.5903528561370526e-05,0.00042568795505478407,7.771963181391685e-05,0.00015893664705945995,-0.004063434113440947,-0.003745560819322027,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.83,900,30,2.1114832257473433,-0.003940754471789177,2.1114832257473433,-0.003940754471789176,-8.673617379884035e-19,2.1154239802191324,0.0010846315245770283,3.615438415256761e-05,0.0004287152760082676,7.82723424722605e-05,0.0001600669403557727,2.1113231588069876,2.111643292687699,0.001084631524577031,3.61543841525677e-05,0.00042871527600837244,7.827234247227965e-05,0.00016006694035581188,-0.004100821412144988,-0.003780687531433365,0.0010846315245770283,3.615438415256761e-05,0.0004287152760082676,7.82723424722605e-05,0.0001600669403557727,2.1113231588069876,2.111643292687699,0.001084631524577031,3.61543841525677e-05,0.00042871527600837244,7.827234247227965e-05,0.00016006694035581188,-0.0041008214121449876,-0.003780687531433364,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.84,900,30,2.1234193066471803,-0.003976158846154596,2.1234193066471803,-0.003976158846154596,0.0,2.127395465493335,0.001094418167202532,3.6480605573417735e-05,0.0004322694750182096,7.892124746279643e-05,0.00016139395106141868,2.123257912696119,2.1235807005982417,0.0010944181672025335,3.648060557341778e-05,0.00043226947501818336,7.892124746279163e-05,0.00016139395106140887,-0.004137552797216004,-0.0038147648950931866,0.001094418167202532,3.6480605573417735e-05,0.0004322694750182096,7.892124746279643e-05,0.00016139395106141868,2.123257912696119,2.1235807005982417,0.0010944181672025335,3.648060557341778e-05,0.0004322694750181834,7.892124746279164e-05,0.0001613939510614089,-0.004137552797216004,-0.0038147648950931866,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.85,900,30,2.1352152769105963,-0.004009996148151564,2.1352152769105963,-0.004009996148151564,0.0,2.1392252730587478,0.001099191872190713,3.663972907302376e-05,0.0004356618118091904,7.954060059048804e-05,0.00016266052820754803,2.1350526163823886,2.135377937438804,0.0010991918721907164,3.6639729073023876e-05,0.00043566181180921783,7.954060059049306e-05,0.0001626605282075583,-0.004172656676359123,-0.0038473356199440058,0.0010991918721907125,3.663972907302375e-05,0.0004356618118091904,7.954060059048804e-05,0.00016266052820754803,2.1350526163823886,2.135377937438804,0.0010991918721907166,3.663972907302388e-05,0.0004356618118092177,7.954060059049304e-05,0.00016266052820755828,-0.004172656676359123,-0.0038473356199440058,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.86,900,30,2.1468691870254566,-0.004047530103058184,2.1468691870254566,-0.004047530103058185,8.673617379884035e-19,2.150916717128515,0.001107471427327396,3.691571424424653e-05,0.0004421130427290808,8.071842882332098e-05,0.0001650691869436914,2.146704117838513,2.1470342562124003,0.001107471427327395,3.6915714244246505e-05,0.0004421130427290822,8.071842882332124e-05,0.00016506918694369192,-0.004212599290001876,-0.0038824609161144923,0.001107471427327396,3.691571424424653e-05,0.0004421130427290808,8.071842882332098e-05,0.0001650691869436914,2.146704117838513,2.1470342562124003,0.001107471427327395,3.6915714244246505e-05,0.0004421130427290821,8.071842882332121e-05,0.00016506918694369186,-0.004212599290001877,-0.003882460916114493,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.87,900,30,2.158389347751004,-0.004083649215757267,2.158389347751004,-0.004083649215757267,0.0,2.1624729969667613,0.0011173012450019927,3.7243374833399754e-05,0.00044204992825456736,8.070690574952227e-05,0.00016504562225777304,2.158224302128746,2.158554393373262,0.0011173012450019927,3.7243374833399754e-05,0.00044204992825457864,8.070690574952433e-05,0.00016504562225777724,-0.004248694838015044,-0.00391860359349949,0.0011173012450019927,3.7243374833399754e-05,0.00044204992825456736,8.070690574952227e-05,0.00016504562225777304,2.158224302128746,2.158554393373262,0.0011173012450019929,3.724337483339976e-05,0.0004420499282545788,8.070690574952437e-05,0.00016504562225777732,-0.004248694838015044,-0.00391860359349949,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.88,900,30,2.1697826040601944,-0.0041145980835007815,2.1697826040601944,-0.0041145980835007815,0.0,2.1738972021436953,0.0011211346810938308,3.7371156036461026e-05,0.00044688962305453967,8.159050908731737e-05,0.000166852591083564,2.169615751469111,2.169949456651278,0.0011211346810938274,3.737115603646091e-05,0.0004468896230545562,8.159050908732039e-05,0.00016685259108357019,-0.004281450674584352,-0.003947745492417211,0.0011211346810938308,3.7371156036461026e-05,0.00044688962305453967,8.159050908731737e-05,0.000166852591083564,2.169615751469111,2.169949456651278,0.0011211346810938271,3.7371156036460904e-05,0.0004468896230545561,8.159050908732036e-05,0.00016685259108357013,-0.004281450674584352,-0.003947745492417211,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.89,900,30,2.181039728573086,-0.004152588920710516,2.181039728573086,-0.004152588920710516,0.0,2.1851923174937964,0.001133173096498,3.777243654993333e-05,0.0004506646081031491,8.227972390910675e-05,0.00016826203539412328,2.180871466537692,2.1812079906084803,0.0011331730964979987,3.777243654993329e-05,0.0004506646081031487,8.227972390910667e-05,0.00016826203539412312,-0.004320850956104639,-0.003984326885316393,0.001133173096498,3.777243654993333e-05,0.0004506646081031491,8.227972390910675e-05,0.00016826203539412328,2.180871466537692,2.1812079906084803,0.0011331730964979987,3.777243654993329e-05,0.0004506646081031487,8.227972390910667e-05,0.00016826203539412312,-0.004320850956104639,-0.003984326885316393,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.9,900,30,2.1921763266516403,-0.004184901145350677,2.1921763266516403,-0.004184901145350677,0.0,2.196361227796991,0.0011404211907979807,3.801403969326602e-05,0.000449863352711692,8.213343535836551e-05,0.00016796287530785746,2.1920083637763326,2.192344289526948,0.0011404211907979772,3.8014039693265905e-05,0.0004498633527116706,8.21334353583616e-05,0.00016796287530784947,-0.004352864020658527,-0.004016938270042828,0.001140421190797981,3.801403969326603e-05,0.000449863352711692,8.213343535836551e-05,0.00016796287530785746,2.1920083637763326,2.192344289526948,0.0011404211907979772,3.8014039693265905e-05,0.0004498633527116705,8.213343535836159e-05,0.00016796287530784944,-0.004352864020658527,-0.004016938270042828,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.91,900,30,2.203185222572496,-0.004221499628688421,2.203185222572496,-0.004221499628688421,0.0,2.2074067222011844,0.0011529182902210494,3.843060967403498e-05,0.0004577680013022664,8.357662013910185e-05,0.00017091418818446328,2.2030143083843114,2.2033561367606804,0.001152918290221049,3.843060967403497e-05,0.0004577680013022145,8.357662013909238e-05,0.00017091418818444392,-0.004392413816872865,-0.004050585440503977,0.0011529182902210492,3.8430609674034974e-05,0.0004577680013022664,8.357662013910185e-05,0.00017091418818446328,2.2030143083843114,2.2033561367606804,0.0011529182902210492,3.8430609674034974e-05,0.0004577680013022146,8.35766201390924e-05,0.00017091418818444395,-0.004392413816872865,-0.004050585440503977,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.92,900,30,2.214077876193046,-0.004253622210060169,2.214077876193046,-0.004253622210060169,0.0,2.2183314984031064,0.0011598892984933209,3.866297661644403e-05,0.00046078036998706924,8.412660089916475e-05,0.0001720388988387919,2.2139058372942073,2.214249915091885,0.0011598892984933144,3.866297661644381e-05,0.0004607803699870611,8.412660089916326e-05,0.00017203889883878886,-0.004425661108898958,-0.00408158331122138,0.0011598892984933209,3.866297661644403e-05,0.00046078036998706924,8.412660089916475e-05,0.0001720388988387919,2.2139058372942073,2.214249915091885,0.0011598892984933144,3.866297661644381e-05,0.00046078036998706105,8.412660089916326e-05,0.00017203889883878886,-0.004425661108898958,-0.00408158331122138,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.93,900,30,2.224852263640838,-0.004285902962317899,2.224852263640838,-0.004285902962317899,0.0,2.2291381666031556,0.0011586987956329333,3.8623293187764444e-05,0.000460170468954738,8.40152487147469e-05,0.00017181118362165742,2.2246804524572164,2.2250240748244594,0.001158698795632932,3.86232931877644e-05,0.0004601704689547031,8.401524871474055e-05,0.0001718111836216444,-0.004457714145939544,-0.0041140917786962545,0.0011586987956329333,3.8623293187764444e-05,0.000460170468954738,8.40152487147469e-05,0.00017181118362165742,2.2246804524572164,2.2250240748244594,0.001158698795632932,3.86232931877644e-05,0.00046017046895470323,8.401524871474056e-05,0.00017181118362164443,-0.004457714145939544,-0.0041140917786962545,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.94,900,30,2.2355063447052665,-0.004322908543470946,2.2355063447052665,-0.004322908543470946,0.0,2.2398292532487374,0.0011759798034664132,3.919932678221377e-05,0.00046560276954375377,8.500704657199776e-05,0.0001738394102397354,2.235332505295027,2.2356801841155063,0.0011759798034664186,3.9199326782213955e-05,0.00046560276954372575,8.500704657199265e-05,0.00017383941023972496,-0.004496747953710671,-0.00414906913323122,0.0011759798034664132,3.919932678221377e-05,0.00046560276954375377,8.500704657199776e-05,0.0001738394102397354,2.235332505295027,2.2356801841155063,0.0011759798034664186,3.9199326782213955e-05,0.00046560276954372575,8.500704657199265e-05,0.00017383941023972496,-0.004496747953710671,-0.00414906913323122,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.95,900,30,2.246053067288904,-0.00435413729063329,2.246053067288904,-0.004354137290633289,-8.673617379884035e-19,2.2504072045795374,0.001178109034129363,3.9270301137645434e-05,0.0004677832392332446,8.540514405029456e-05,0.00017465351958285237,2.2458784137693213,2.246227720808487,0.0011781090341293652,3.927030113764551e-05,0.0004677832392333465,8.540514405031317e-05,0.00017465351958289042,-0.00452879081021618,-0.0041794837710504,0.0011781090341293626,3.927030113764542e-05,0.0004677832392332446,8.540514405029456e-05,0.00017465351958285237,2.2458784137693213,2.246227720808487,0.0011781090341293652,3.927030113764551e-05,0.00046778323923334645,8.540514405031315e-05,0.0001746535195828904,-0.004528790810216179,-0.004179483771050399,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.96,900,30,2.256490797626577,-0.004383592360582905,2.256490797626577,-0.004383592360582905,0.0,2.26087438998716,0.0011873369854157915,3.957789951385972e-05,0.0004720779244224358,8.618924270212902e-05,0.00017625700132585385,2.2563145406252514,2.256667054627903,0.0011873369854158008,3.957789951386003e-05,0.0004720779244223782,8.61892427021185e-05,0.00017625700132583232,-0.004559849361908738,-0.004207335359257072,0.0011873369854157915,3.957789951385972e-05,0.0004720779244224358,8.618924270212902e-05,0.00017625700132585385,2.2563145406252514,2.256667054627903,0.0011873369854158008,3.957789951386003e-05,0.00047207792442237816,8.618924270211849e-05,0.0001762570013258323,-0.004559849361908738,-0.004207335359257072,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.97,900,30,2.266813743877273,-0.004419361323415796,2.266813743877273,-0.004419361323415796,0.0,2.2712331052006887,0.00119738477535104,3.9912825845034665e-05,0.0004758424192462598,8.687654227966896e-05,0.00017766252896192302,2.2666360813483113,2.266991406406235,0.0011973847753510409,3.99128258450347e-05,0.0004758424192462459,8.687654227966642e-05,0.0001776625289619178,-0.004597023852377714,-0.004241698794453878,0.00119738477535104,3.9912825845034665e-05,0.0004758424192462719,8.687654227967117e-05,0.00017766252896192754,2.2666360813483113,2.266991406406235,0.0011973847753510407,3.991282584503469e-05,0.00047584241924624593,8.687654227966643e-05,0.00017766252896191784,-0.004597023852377714,-0.004241698794453878,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.98,900,30,2.277033992880828,-0.004451582428044833,2.277033992880828,-0.004451582428044833,0.0,2.281485575308873,0.0012054323776655488,4.018107925551829e-05,0.00047804682292388917,8.727900948636395e-05,0.00017848557439961428,2.2768555073064283,2.277212478455228,0.0012054323776655496,4.018107925551832e-05,0.0004780468229238408,8.727900948635512e-05,0.0001784855743995962,-0.004630068002444429,-0.004273096853645237,0.0012054323776655488,4.018107925551829e-05,0.00047804682292388917,8.727900948636395e-05,0.00017848557439961428,2.2768555073064283,2.277212478455228,0.0012054323776655496,4.018107925551832e-05,0.0004780468229238407,8.72790094863551e-05,0.00017848557439959617,-0.004630068002444429,-0.004273096853645237,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,0.99,900,30,2.2871514047521098,-0.004482552876787439,2.2871514047521098,-0.004482552876787439,0.0,2.291633957628897,0.0012046355701784953,4.015451900594984e-05,0.00047845014407610153,8.735264551735917e-05,0.00017863616008299948,2.286972768592027,2.2873300409121926,0.0012046355701784892,4.015451900594964e-05,0.0004784501440761681,8.735264551737133e-05,0.00017863616008302437,-0.004661189036870464,-0.004303916716704415,0.0012046355701784953,4.015451900594984e-05,0.00047845014407610153,8.735264551735917e-05,0.00017863616008299948,2.286972768592027,2.2873300409121926,0.0012046355701784892,4.015451900594964e-05,0.0004784501440761682,8.735264551737135e-05,0.00017863616008302442,-0.004661189036870464,-0.004303916716704415,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.0,900,30,2.297167330064137,-0.004513014366846401,2.297167330064137,-0.004513014366846401,0.0,2.3016803444309835,0.001211448724795756,4.038162415985853e-05,0.000483011562039667,8.818544268831054e-05,0.00018033923029759505,2.2969869908338394,2.2973476692944343,0.001211448724795747,4.0381624159858236e-05,0.0004830115620396835,8.818544268831355e-05,0.0001803392302976012,-0.004693353597144002,-0.004332675136548799,0.0012114487247957564,4.038162415985855e-05,0.000483011562039667,8.818544268831054e-05,0.00018033923029759505,2.2969869908338394,2.2973476692944343,0.001211448724795747,4.0381624159858236e-05,0.0004830115620396835,8.818544268831355e-05,0.0001803392302976012,-0.004693353597144002,-0.004332675136548799,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.01,900,30,2.3070820438778417,-0.004544721649589006,2.3070820438778417,-0.004544721649589006,0.0,2.3116267655274307,0.0012215658060765037,4.0718860202550126e-05,0.0004867451715145244,8.886710339840868e-05,0.00018173322644974573,2.306900310651392,2.3072637771042914,0.0012215658060765052,4.0718860202550173e-05,0.0004867451715144766,8.886710339839995e-05,0.0001817332264497279,-0.0047264548760387335,-0.004362988423139278,0.0012215658060765044,4.0718860202550146e-05,0.0004867451715145244,8.886710339840868e-05,0.00018173322644974573,2.306900310651392,2.3072637771042914,0.0012215658060765052,4.0718860202550173e-05,0.00048674517151447647,8.886710339839992e-05,0.00018173322644972784,-0.0047264548760387335,-0.004362988423139278,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.02,900,30,2.316902486827255,-0.004572703906864029,2.316902486827255,-0.004572703906864029,0.0,2.321475190734119,0.0012223279553376881,4.0744265177922936e-05,0.00048734264610612166,8.897618683552667e-05,0.00018195630207865204,2.3167205305251763,2.317084443129334,0.0012223279553376836,4.074426517792279e-05,0.0004873426461062504,8.897618683555019e-05,0.00018195630207870013,-0.004754660208942729,-0.004390747604785329,0.0012223279553376881,4.0744265177922936e-05,0.00048734264610612166,8.897618683552667e-05,0.00018195630207865204,2.3167205305251763,2.317084443129334,0.0012223279553376836,4.074426517792279e-05,0.00048734264610625046,8.89761868355502e-05,0.00018195630207870015,-0.004754660208942729,-0.004390747604785329,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.03,900,30,2.326618634703488,-0.00460889750843374,2.326618634703488,-0.00460889750843374,0.0,2.331227532211922,0.0012377051982148534,4.125683994049511e-05,0.000491393170743948,8.971570807348265e-05,0.000183468623010272,2.3264351660804774,2.3268021033264983,0.001237705198214855,4.125683994049517e-05,0.0004913931707438719,8.971570807346876e-05,0.0001834686230102436,-0.0047923661314439835,-0.004425428885423497,0.0012377051982148531,4.1256839940495106e-05,0.000491393170743948,8.971570807348265e-05,0.000183468623010272,2.3264351660804774,2.3268021033264983,0.001237705198214855,4.125683994049517e-05,0.000491393170743872,8.971570807346877e-05,0.00018346862301024363,-0.0047923661314439835,-0.004425428885423497,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.04,900,30,2.3362503066690534,-0.004635340025956099,2.3362503066690534,-0.004635340025956099,0.0,2.3408856466950096,0.0012386088974905931,4.128696324968644e-05,0.000494891498506769,9.035441241656387e-05,0.0001847747733918731,2.3360655318956614,2.3364350814424455,0.0012386088974905979,4.1286963249686595e-05,0.0004948914985067272,9.035441241655625e-05,0.00018477477339185752,-0.004820114799347957,-0.004450565252564241,0.0012386088974905931,4.128696324968644e-05,0.000494891498506769,9.035441241656387e-05,0.0001847747733918731,2.3360655318956614,2.3364350814424455,0.0012386088974905979,4.1286963249686595e-05,0.0004948914985067271,9.035441241655622e-05,0.00018477477339185746,-0.004820114799347956,-0.004450565252564242,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.05,900,30,2.34578077237725,-0.004670565235279197,2.34578077237725,-0.004670565235279197,0.0,2.350451337612529,0.0012528335515315475,4.176111838438492e-05,0.0004999284091897809,9.127402228363866e-05,0.00018665537557004106,2.34559411700168,2.34596742775282,0.0012528335515315514,4.176111838438505e-05,0.0004999284091897809,9.127402228363866e-05,0.00018665537557004106,-0.004857220610849238,-0.004483909859709156,0.0012528335515315475,4.176111838438492e-05,0.0004999284091897809,9.127402228363866e-05,0.00018665537557004106,2.34559411700168,2.34596742775282,0.0012528335515315514,4.176111838438505e-05,0.0004999284091897809,9.127402228363866e-05,0.00018665537557004106,-0.004857220610849238,-0.004483909859709156,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.06,900,30,2.355228377243062,-0.004697979866661422,2.355228377243062,-0.004697979866661422,0.0,2.3599263571097233,0.0012521103538616748,4.173701179538916e-05,0.0004975610837290589,9.084180976504075e-05,0.00018577150096950833,2.3550426057420926,2.3554141487440314,0.0012521103538616774,4.173701179538925e-05,0.0004975610837290778,9.08418097650442e-05,0.00018577150096951538,-0.004883751367630937,-0.004512208365691907,0.0012521103538616748,4.173701179538916e-05,0.0004975610837290589,9.084180976504075e-05,0.00018577150096950833,2.3550426057420926,2.3554141487440314,0.0012521103538616774,4.173701179538925e-05,0.0004975610837290778,9.08418097650442e-05,0.00018577150096951538,-0.004883751367630937,-0.004512208365691907,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.07,900,30,2.3645832021057744,-0.004729205868385251,2.3645832021057744,-0.004729205868385251,0.0,2.3693124079741597,0.0012639182180365191,4.2130607267883973e-05,0.0005029044583207427,9.181737203072913e-05,0.00018776652580284106,2.3643954355799717,2.364770968631577,0.001263918218036521,4.2130607267884034e-05,0.0005029044583207596,9.181737203073222e-05,0.00018776652580284738,-0.004916972394188098,-0.004541439342582404,0.0012639182180365191,4.2130607267883973e-05,0.0005029044583207427,9.181737203072913e-05,0.00018776652580284106,2.3643954355799717,2.364770968631577,0.001263918218036521,4.2130607267884034e-05,0.0005029044583207597,9.181737203073224e-05,0.0001877665258028474,-0.004916972394188098,-0.004541439342582404,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.08,900,30,2.3738544035465505,-0.004756741925811671,2.3738544035465505,-0.004756741925811671,0.0,2.3786111454723624,0.001264821888009846,4.21607296003282e-05,0.0005034845557635936,9.192328284906263e-05,0.00018798311342633307,2.3736664204331244,2.3740423866599767,0.0012648218880098431,4.216072960032811e-05,0.0005034845557636862,9.192328284907953e-05,0.00018798311342636763,-0.004944725039238039,-0.004568758812385304,0.001264821888009846,4.21607296003282e-05,0.0005034845557635936,9.192328284906263e-05,0.00018798311342633307,2.3736664204331244,2.3740423866599767,0.0012648218880098431,4.216072960032811e-05,0.0005034845557636862,9.192328284907953e-05,0.00018798311342636763,-0.004944725039238039,-0.004568758812385304,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.09,900,30,2.3830359323707393,-0.004788246731064111,2.3830359323707393,-0.004788246731064111,0.0,2.3878241791018033,0.0012770422873875696,4.256807624625232e-05,0.0005089529391115418,9.292166848664825e-05,0.00019002481205519567,2.3828459075586843,2.3832259571827943,0.0012770422873875714,4.256807624625238e-05,0.0005089529391115213,9.292166848664451e-05,0.00019002481205518802,-0.004978271543119299,-0.004598221919008922,0.0012770422873875696,4.256807624625232e-05,0.0005089529391115418,9.292166848664825e-05,0.00019002481205519567,2.3828459075586843,2.3832259571827943,0.0012770422873875714,4.256807624625238e-05,0.0005089529391115212,9.29216684866445e-05,0.000190024812055188,-0.004978271543119299,-0.004598221919008922,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.13,1.1,900,30,2.392134310159009,-0.004818764103880753,2.392134310159009,-0.004818764103880753,0.0,2.39695307426289,0.001280453797679371,4.268179325597904e-05,0.0005092218911676861,9.297077218932747e-05,0.00019012522912717467,2.391944184929882,2.392324435388136,0.001280453797679369,4.268179325597896e-05,0.0005092218911675189,9.297077218929695e-05,0.00019012522912711225,-0.005008889333007865,-0.00462863887475364,0.0012804537976793722,4.268179325597907e-05,0.0005092218911676861,9.297077218932747e-05,0.00019012522912717467,2.391944184929882,2.392324435388136,0.001280453797679369,4.268179325597896e-05,0.0005092218911675188,9.297077218929692e-05,0.0001901252291271122,-0.005008889333007865,-0.00462863887475364,std_over_ref_units_sem_ci95_over_dataset_means,pass
