beta,radius,ref_count,dataset_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr_std,dphi_full_dr_unit_sem,dphi_full_dr_dataset_mean_std,dphi_full_dr_sem,dphi_full_dr_ci95_half_width,dphi_full_dr_ci95_low,dphi_full_dr_ci95_high,dphi_energy_dr_std,dphi_energy_dr_unit_sem,dphi_energy_dr_dataset_mean_std,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high,uncertainty_method,claim
0.05,0.29,900,30,3.4382142224593957,-0.008706717856301244,3.446920940315697,-22.158596944286668,5.639750081875384,0.0022160118199903308,7.386706066634436e-05,0.0007095455069792243,0.00012954469324965348,0.00026491889769554133,3.4379493035617,3.4384791413570914,0.0022160118199903277,7.386706066634425e-05,0.0007095455069792889,0.00012954469324966527,0.00026491889769556545,-0.00897163675399681,-0.00844179895860568,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.3,900,30,3.3234576790328716,-0.008565896605635576,3.332023575638507,-21.80020686134254,5.562621439487195,0.002185705870132494,7.28568623377498e-05,0.0007045359871643986,0.0001286300842480371,0.00026304852228723586,3.323194630510584,3.323720727555159,0.002185705870132493,7.285686233774977e-05,0.0007045359871645276,0.00012863008424806064,0.000263048522287284,-0.008828945127922861,-0.008302848083348292,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.31,900,30,3.216118252812603,-0.008420691353693525,3.2245389441662966,-21.43065949515002,5.474545263843074,0.002151098335498259,7.170327784994198e-05,0.0006876594247290221,0.00012554885960170374,0.0002567474178854841,3.2158615053947175,3.2163750002304887,0.002151098335498261,7.170327784994203e-05,0.0006876594247289412,0.000125548859601689,0.000256747417885454,-0.008677438771578979,-0.008163943935808072,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.32,900,30,3.115484141561139,-0.008287960599960936,3.1237721021611002,-21.09285972690058,5.368113942272672,0.0021092785627790456,7.030928542596819e-05,0.0006786620514875342,0.000123906171507485,0.0002533881207328068,3.1152307534404065,3.115737529681872,0.002109278562779046,7.03092854259682e-05,0.0006786620514876447,0.00012390617150750515,0.00025338812073284804,-0.008541348720693783,-0.008034572479228088,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.33,900,30,3.0209580559257017,-0.008154285563850108,3.0291123414895518,-20.752656759998523,5.30575947300579,0.002084777789000317,6.949259296667723e-05,0.0006750232084112392,0.0001232418126954489,0.000252029506962193,3.0207060264187393,3.021210085432664,0.0020847777890003103,6.949259296667701e-05,0.0006750232084111204,0.0001232418126954272,0.00025202950696214866,-0.008406315070812256,-0.00790225605688796,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.34,900,30,2.93200273933439,-0.008018062699586858,2.9400208020339766,-20.405969570448555,5.182603538408266,0.0020363864590995148,6.787954863665049e-05,0.0006573271118195034,0.00012001096226775423,0.0002454224178375574,2.9317573169165523,2.9322481617522276,0.002036386459099515,6.78795486366505e-05,0.0006573271118194289,0.00012001096226774064,0.0002454224178375296,-0.008263485117424387,-0.007772640281749329,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.35,900,30,2.8481290836628714,-0.007891124027277135,2.8560202076901486,-20.08291064942031,5.134322852362552,0.002017415659081554,6.72471886360518e-05,0.0006579269577788449,0.00012012047865540746,0.00024564637885030825,2.847883437284021,2.848374730041722,0.002017415659081553,6.724718863605177e-05,0.0006579269577788868,0.0001201204786554151,0.00024564637885032386,-0.008136770406127458,-0.007645477648426811,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.36,900,30,2.76891899326809,-0.0077673197639991495,2.7766863130320893,-19.767828799377835,5.061827896676476,0.0019889304112677753,6.629768037559251e-05,0.0006453082423888434,0.00011781662696679365,0.000240935002147093,2.768678058265943,2.7691599282702373,0.0019889304112677706,6.629768037559235e-05,0.0006453082423888838,0.00011781662696680104,0.0002409350021471081,-0.008008254766146257,-0.007526384761852041,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.37,900,30,2.693995261944296,-0.00764547505989866,2.701640737004195,-19.45773402744209,4.977563499161446,0.001955820628354203,6.51940209451401e-05,0.0006385689873798521,0.00011658621297039224,0.00023841880552445213,2.6937568431387717,2.6942336807498206,0.001955820628354203,6.51940209451401e-05,0.0006385689873798625,0.00011658621297039414,0.000238418805524456,-0.007883893865423116,-0.007407056254374204,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.38,900,30,2.62301975347845,-0.0075251746572131805,2.6305449281356634,-19.151569502607543,4.891486063542178,0.0019219984532582236,6.406661510860745e-05,0.0006214903800712974,0.00011346810014583624,0.00023204226479823508,2.6227877112136517,2.6232517957432484,0.0019219984532582233,6.406661510860745e-05,0.0006214903800712411,0.00011346810014582596,0.00023204226479821408,-0.007757216922011394,-0.007293132392414967,std_over_ref_units_sem_ci95_over_dataset_means,pass
