source,group,label,nmstv,radius,phi_energy_raw_mean,phi_energy_raw_sem,n_units
advanced,random_label,adv random,0.985558573825462,0.45,-0.158555218552373,0.000608844779203,90
advanced,random_label,adv random,0.985558573825462,0.5,-0.1585538696644625,0.0004915557468226,90
advanced,random_label,adv random,0.985558573825462,0.55,-0.1578769677912527,0.0004465986607586,90
advanced,random_label,adv random,0.985558573825462,0.6,-0.1587964784993474,0.0003624289739516,90
advanced,random_label,adv random,0.985558573825462,0.65,-0.1589701872145333,0.0003714826473488,90
advanced,random_label,adv random,0.985558573825462,0.7,-0.1592025720074132,0.0003648276970845,90
advanced,random_label,adv random,0.985558573825462,0.75,-0.1585101593394752,0.0003368978165419,90
advanced,random_label,adv random,0.985558573825462,0.8,-0.1595094258996672,0.0002473818950149,90
advanced,random_label,adv random,0.985558573825462,0.85,-0.1598314227649256,0.0002322668796348,90
advanced,random_label,adv random,0.985558573825462,0.9,-0.160028786332391,0.000256600720652,90
advanced,random_label,adv random,0.985558573825462,0.95,-0.1603678836022308,0.0002572492759334,90
advanced,random_label,adv random,0.985558573825462,1.0,-0.1607878038739638,0.0002427259718169,90
