pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
pair_2_4,2/4,3,23,0.0247395833333333,0.95,30,-0.022411845447087304,0.0003513938862541924,-0.02328687384830548,0.00037306109193657196
pair_2_4,2/4,3,23,0.0247395833333333,0.96,30,-0.023085736386474497,0.00025894076156157583,-0.023960764787692667,0.0002753001575893586
pair_2_4,2/4,3,23,0.0247395833333333,0.97,30,-0.022918305191428363,0.0002965675825654974,-0.023793333592646546,0.0003082733295674709
pair_2_4,2/4,3,23,0.0247395833333333,0.98,30,-0.02323240902122975,0.0003236931698282494,-0.024107437422447926,0.0003365008208628786
pair_2_4,2/4,3,23,0.0247395833333333,0.99,30,-0.023698526047255416,0.00028544788490760615,-0.0245735544484736,0.00030029415143381833
pair_2_4,2/4,3,23,0.0247395833333333,1.0,30,-0.023733542251752563,0.00035156791559198933,-0.02460857065297074,0.00035744186531773035
pair_2_9,2/9,4,34,0.015625,0.01,30,0.00047646359778400274,2.7163364401881893e-05,-0.0002863032494703329,2.6666315531237177e-05
pair_2_9,2/9,4,34,0.015625,0.02,30,0.00046950483406693367,2.662692908843204e-05,-0.0002932620131874019,2.7133505248386155e-05
pair_2_9,2/9,4,34,0.015625,0.03,30,0.00045597144271433975,2.544504830035154e-05,-0.00030679540453999575,2.8201024384710576e-05
pair_2_9,2/9,4,34,0.015625,0.04,30,0.0004340521639344357,2.372608794955785e-05,-0.00032871468331989977,2.9547135722020638e-05
pair_2_9,2/9,4,34,0.015625,0.05,30,0.0004010781223231284,2.133209598743563e-05,-0.00036168872493120717,3.1599798778207634e-05
pair_2_9,2/9,4,34,0.015625,0.06,30,0.0003526897960603476,1.8094523643904747e-05,-0.000410077051193988,3.413261441363912e-05
pair_2_9,2/9,4,34,0.015625,0.07,30,0.0002910153897495085,1.4136061021551896e-05,-0.000471751457504827,3.768173679787714e-05
pair_2_9,2/9,4,34,0.015625,0.08,30,0.00021050083641052062,9.889069361268563e-06,-0.0005522660108438149,4.120932672803886e-05
pair_2_9,2/9,4,34,0.015625,0.09,30,0.00011430598807687315,4.8204272764266775e-06,-0.0006484608591774623,4.5928516568511814e-05
pair_2_9,2/9,4,34,0.015625,0.1,30,0.0,0.0,-0.0007627668472543356,4.9922193145763605e-05
pair_2_9,2/9,4,34,0.015625,0.11,30,-0.00012430682260112887,5.959774462058984e-06,-0.0008870736698554644,5.4352268670698134e-05
pair_2_9,2/9,4,34,0.015625,0.12,30,-0.00026935430623445785,1.2902278644698192e-05,-0.0010321211534887935,6.048247913083723e-05
pair_2_9,2/9,4,34,0.015625,0.13,30,-0.00042336726289332697,1.6399253859556433e-05,-0.0011861341101476624,6.42350655552696e-05
pair_2_9,2/9,4,34,0.015625,0.14,30,-0.0005936503194944833,2.301819739706602e-05,-0.0013564171667488187,6.985052421563706e-05
pair_2_9,2/9,4,34,0.015625,0.15,30,-0.0007705943870742573,2.9028608703895716e-05,-0.0015333612343285928,7.519071861068593e-05
pair_2_9,2/9,4,34,0.015625,0.16,30,-0.000950260363834412,3.397869883688219e-05,-0.0017130272110887474,7.926986527422036e-05
pair_2_9,2/9,4,34,0.015625,0.17,30,-0.0011736291648596305,4.299478078181756e-05,-0.0019363960121139667,8.79361872178941e-05
pair_2_9,2/9,4,34,0.015625,0.18,30,-0.001387502862607745,4.886257815264871e-05,-0.002150269709862081,9.368885860406667e-05
pair_2_9,2/9,4,34,0.015625,0.19,30,-0.0015886483980801487,5.3195344324414014e-05,-0.0023514152453344844,9.672633461961772e-05
pair_2_9,2/9,4,34,0.015625,0.2,30,-0.001813014029946873,6.085409998624636e-05,-0.002575780877201208,0.00010534018365323359
pair_2_9,2/9,4,34,0.015625,0.21,30,-0.0020404103492506495,6.201521058523205e-05,-0.0028031771965049846,0.0001059359674684659
pair_2_9,2/9,4,34,0.015625,0.22,30,-0.002271229103711371,6.997038058410114e-05,-0.003033995950965706,0.00011119063201858173
pair_2_9,2/9,4,34,0.015625,0.23,30,-0.0024839159062129313,7.929171009501264e-05,-0.0032466827534672667,0.00012138350884366206
pair_2_9,2/9,4,34,0.015625,0.24,30,-0.002749313224311832,8.288035068824042e-05,-0.0035120800715661665,0.00012517476632571047
pair_2_9,2/9,4,34,0.015625,0.25,30,-0.0029878368584238878,8.679047103562378e-05,-0.003750603705678223,0.0001274958595430004
pair_2_9,2/9,4,34,0.015625,0.26,30,-0.0032837275847981524,9.373428997049486e-05,-0.004046494432052487,0.00013426956677504658
pair_2_9,2/9,4,34,0.015625,0.27,30,-0.0035085266598755384,9.866884537847611e-05,-0.0042712935071298735,0.00013938870030475492
pair_2_9,2/9,4,34,0.015625,0.28,30,-0.0037345801715324835,0.00010600378845305031,-0.004497347018786819,0.00014565204158307086
pair_2_9,2/9,4,34,0.015625,0.29,30,-0.003990584785872329,0.00010933769523285001,-0.004753351633126664,0.00014968088833403276
pair_2_9,2/9,4,34,0.015625,0.3,30,-0.004269005698856079,0.00010899655340852622,-0.005031772546110414,0.00014617097560612265
pair_2_9,2/9,4,34,0.015625,0.31,30,-0.004531240419201373,0.00011289037195255873,-0.005294007266455709,0.00014914029726499747
pair_2_9,2/9,4,34,0.015625,0.32,30,-0.004896118145571029,0.00013301478827998004,-0.005658884992825365,0.00017173848618742748
pair_2_9,2/9,4,34,0.015625,0.33,30,-0.0051089460996435465,0.0001352017325421841,-0.0058717129468978824,0.00017282401834313772
pair_2_9,2/9,4,34,0.015625,0.34,30,-0.005391111132743283,0.00013925921556755564,-0.006153877979997619,0.0001780764363740031
pair_2_9,2/9,4,34,0.015625,0.35,30,-0.005631177754652191,0.00012927650050135542,-0.006393944601906527,0.00016724701497293224
pair_2_9,2/9,4,34,0.015625,0.36,30,-0.005927202843028107,0.0001368309845920216,-0.006689969690282442,0.00017310406773911978
pair_2_9,2/9,4,34,0.015625,0.37,30,-0.0061172335186916995,0.00014457399587716258,-0.0068800003659460355,0.00018001739539816037
pair_2_9,2/9,4,34,0.015625,0.38,30,-0.006492450385909323,0.0001344831413362768,-0.007255217233163658,0.00016830958487696457
pair_2_9,2/9,4,34,0.015625,0.39,30,-0.006735562417205219,0.00015694260704946834,-0.007498329264459556,0.00019566402015797914
pair_2_9,2/9,4,34,0.015625,0.4,30,-0.0069514603694954494,0.00013884035809581046,-0.007714227216749786,0.00017583172512287515
pair_2_9,2/9,4,34,0.015625,0.41,30,-0.007337186410609695,0.00015834796694998404,-0.008099953257864032,0.00019444764333603951
pair_2_9,2/9,4,34,0.015625,0.42,30,-0.007604260773910041,0.00016971521984880165,-0.008367027621164378,0.00020674527060393703
pair_2_9,2/9,4,34,0.015625,0.43,30,-0.0078099741277794935,0.00018384529020606876,-0.008572740975033829,0.00022160358721005875
