run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
60ref,random_label,1.0,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,51,9,0.15,51,"007,020,024,034,038,042,048,053,058",0.0095982774724474,0.008005965489112876,0.006275827193907909,0.004618411314071651,0.0019305365478621,0.6271621892849427,1.0,0.0006203687867542,-0.1337261575610551,2.1679233055699294,-0.1607968266693064
60ref,random_label,1.1,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,48,12,0.2,48,"001,006,008,011,014,016,019,027,028,029,045,046",0.0078673862855215,0.00705184915146194,0.005603994447610285,0.005019393630783991,0.0020973467791566,0.6066428969799321,1.0,0.0006019899887001,-0.1344635002831554,2.2624574144198077,-0.1615341693914068
60ref,random_label,1.2,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,43,17,0.2833333333333333,43,"004,006,013,017,018,019,020,023,024,025,031,033,034,039,047,049,057",0.0077533222367943,0.007627522410199754,0.006630299789126339,0.00625650583495133,0.002483048857497,0.5818685833379633,1.0,0.0005333849178494,-0.1357078590366656,2.3481890765498767,-0.162778528144917
60ref,random_label,1.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,40,20,0.3333333333333333,40,"003,006,009,010,012,013,018,019,027,030,031,032,033,035,038,044,052,053,058,059",0.0068529431104099,0.006755756945388378,0.006547208822024725,0.006344294899297381,0.00260624265951675,0.5983355950606862,1.0,0.0004952872550208,-0.1366606039332983,2.427246514862061,-0.1637312730415497
60ref,random_label,1.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,47,13,0.21666666666666667,47,"000,007,017,026,028,030,034,044,045,049,051,057,059",0.0095324543053425,0.007644818150979584,0.005831092751946114,0.005055018267072171,0.0022963443935204,0.6043722592109944,1.0,0.0006020846220881,-0.1381362548741594,2.4998487231240265,-0.1652069239824108
60ref,random_label,1.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,44,16,0.26666666666666666,44,"004,011,016,022,027,030,035,039,040,041,051,053,055,056,058,059",0.0076634365062563,0.007593399967564448,0.005478066718254594,0.00478127290435496,0.0020950821306135996,0.5936274553938535,1.0,0.0005952105429299,-0.1392328804824181,2.5677169345161337,-0.1663035495906695
60ref,random_label,1.6,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,41,19,0.31666666666666665,41,"004,007,012,014,017,026,029,039,040,043,045,047,048,049,050,051,055,057,058",0.009364017549091,0.008567567943198953,0.007607932302526075,0.007012144731802171,0.002749904282965,0.5976466432748573,1.0,0.0005129378566988,-0.1397495323624896,2.631712579262809,-0.166820201470741
60ref,random_label,1.7,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,43,17,0.2833333333333333,43,"001,006,016,017,020,022,024,025,027,028,040,045,048,050,051,052,058",0.010884755173527,0.008807924776836847,0.007090567779910274,0.006475023834834111,0.00269485319468875,0.6151953167086492,1.0,0.0006360148865769,-0.1410929304339745,2.6909691688664283,-0.1681635995422259
60ref,random_label,1.8,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,44,16,0.26666666666666666,44,"000,009,014,015,017,020,028,030,033,035,039,046,050,054,058,059",0.0099242824780294,0.008933878096816368,0.007335827667712528,0.005726626666484921,0.0021146386192273502,0.5565017259655793,1.0,0.0005927524945985,-0.1424067969866401,2.74679049046747,-0.1694774660948915
60ref,random_label,1.9,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,44,16,0.26666666666666666,44,"000,009,013,020,023,029,033,034,037,038,039,044,045,048,055,059",0.0077951100108701,0.007787462192360476,0.007055906584314319,0.00593977638769105,0.0023071136978088,0.6770374249964755,1.0,0.0005725076217897,-0.143137543001785,2.8001049961081064,-0.1702082121100365
60ref,random_label,2.0,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,38,22,0.36666666666666664,38,"002,003,004,005,007,011,019,026,027,028,031,035,036,038,039,042,044,047,049,050,053,055",0.0127914655296203,0.012085312389943533,0.00949181173264246,0.0077426639456855805,0.0027410849983682,0.6140549954658231,1.0,0.0006759124546095,-0.1443074324278972,2.850207558609412,-0.1713781015361486
