run,rule,ref_id,radius_count,split_fail_radius_count,finite_fail_radius_count,ess_fail_radius_count,split_logZ_per_P_diff_max,split_logZ_per_P_diff_median,split_logZ_per_P_diff_mean,first_split_fail_radius
60ref,real_even_odd,22,25,8,0,0,0.0084383582679197,0.0033459363260388,0.0035214452380144447,0.4
60ref,real_even_odd,23,25,13,0,0,0.0175950000640402,0.0041998708250328,0.005088149231224521,0.7
60ref,real_even_odd,24,25,15,0,0,0.0160929152214713,0.0067268820087936,0.00649267686712644,0.6
60ref,real_even_odd,25,25,10,0,0,0.0178760748050053,0.0027440330637723,0.004157911754020779,1.0
60ref,real_even_odd,26,25,11,0,0,0.0152685979632851,0.0035659890532327,0.005718889865030115,0.7
60ref,real_even_odd,27,25,13,0,0,0.0178472784087251,0.0041016789872119,0.005902939452404594,0.5
60ref,real_even_odd,28,25,13,0,0,0.0178468464101111,0.0050184595013681,0.005827487832517576,0.9
60ref,real_even_odd,29,25,9,0,0,0.0181437014951283,0.0015100041441459,0.003991340319449607,0.8
60ref,real_even_odd,30,25,7,0,0,0.0182987676917869,0.0026008106629481,0.004192232311177536,1.0
60ref,real_even_odd,31,25,7,0,0,0.014879520732057,0.002356918685526,0.0037328684780557984,0.7
60ref,real_even_odd,32,25,11,0,0,0.0141622425666092,0.0035903797306738,0.004680261058216814,0.8
60ref,real_even_odd,33,25,9,0,0,0.0132843220487748,0.0017012353493489,0.003756042312642528,1.2
60ref,real_even_odd,34,25,13,0,0,0.0102411154020873,0.0046325996346624,0.004241547662672123,0.4
60ref,real_even_odd,35,25,13,0,0,0.0170610913817107,0.0042240464334224,0.00539121098273695,0.8
60ref,real_even_odd,36,25,11,0,0,0.0169871850070875,0.0031897389432799,0.005887164328407852,0.9
60ref,real_even_odd,37,25,10,0,0,0.0152428562491316,0.0019686434794415,0.00431082012710382,0.8
60ref,real_even_odd,38,25,11,0,0,0.0163114830101856,0.0033991783204882,0.0040705808118807205,0.3
60ref,real_even_odd,39,25,12,0,0,0.0149878061127191,0.0030194683209171,0.00441225686361998,1.0
60ref,real_even_odd,40,25,12,0,0,0.0140117038047969,0.0038567460935495,0.004875347311261716,0.8
60ref,real_even_odd,41,25,12,0,0,0.0226423765742035,0.003574844643697,0.005398823900401616,0.4
60ref,real_even_odd,42,25,10,0,0,0.0115387521944646,0.0029443658296139,0.004002264564628592,0.7
60ref,real_even_odd,43,25,8,0,0,0.0126386590363651,0.0021704352428595,0.0034606115570784634,0.9
60ref,real_even_odd,44,25,11,0,0,0.0124524219139855,0.0033721854441162,0.004751531275009285,1.0
60ref,real_even_odd,45,25,10,0,0,0.0109373474453964,0.0033656878692133,0.0044658254459719006,0.8
