rule,ref_id,phi_curve_cluster,pc1,pc2,pc3,mean_delta_phi,final_delta_phi
low_tv_spectral_teacher,1013,0,1.5040578098048347,2.329385718847706,0.29476471062533816,-0.07499472986846335,-0.1161618844153295
low_tv_spectral_teacher,1014,1,-0.7810069722430627,0.3314142080450449,-3.0756324471053156,-0.07571831866626906,-0.1132026501525889
low_tv_spectral_teacher,1015,1,0.5143124025772131,3.6506748738379904,-0.17025821383051692,-0.07556715630295835,-0.1143612343410476
low_tv_spectral_teacher,1016,0,2.4934973910569402,-0.3642542037172972,-0.8942026673091275,-0.0737216848644901,-0.1077474547788273
low_tv_spectral_teacher,1017,1,-3.306736726778178,-0.28864034840215874,0.6111348595020523,-0.07781773149717425,-0.1156703913500634
low_tv_spectral_teacher,1018,1,-0.673506369061852,-2.1667662975378237,-0.07687612844467034,-0.07626005929705645,-0.1186668989341842
low_tv_spectral_teacher,1019,1,-4.692593028154164,-1.8076267839081748,1.325387925321564,-0.07860406011261063,-0.1138957976912629
low_tv_spectral_teacher,1020,1,-0.3217681062096652,2.955561232692228,-2.188805138959035,-0.0766738684123451,-0.1107532893241208
low_tv_spectral_teacher,1021,1,-0.23362243678245903,-2.072047383584714,-0.7463311237611806,-0.07571425895655733,-0.1125881914414759
low_tv_spectral_teacher,1022,0,1.7008051432441535,0.17931859198688282,-1.133861889902614,-0.07456411354985112,-0.1127366505705916
low_tv_spectral_teacher,1023,1,-3.7638794906119997,1.124577882218963,-1.398243792909899,-0.07867667760415883,-0.1169215157322734
low_tv_spectral_teacher,1024,1,-2.0506944335675317,-0.4905060703358689,-1.2229505929589686,-0.07718139672428635,-0.1155409354534828
low_tv_spectral_teacher,1025,1,-1.7917634234595283,1.3496315166295565,1.7011560359861306,-0.07702595533134068,-0.1197766542509187
low_tv_spectral_teacher,1026,1,0.1339217460427211,3.2788380666456995,-0.12127710808669269,-0.07644945911837492,-0.1221589641469895
low_tv_spectral_teacher,1027,1,-1.0023059956855784,-1.391951610182409,-0.9263567239593975,-0.07619828494551138,-0.1154581869627747
low_tv_spectral_teacher,1028,1,-4.099013671962838,-2.79432578548855,-0.03216171927846095,-0.07841357613434186,-0.1196123500688922
low_tv_spectral_teacher,1029,1,-2.123413741065934,-1.8693629394837856,-0.39001079618614803,-0.07697933835287608,-0.1145579965327028
real_even_odd,0,1,1.5242466171997653,1.3367708762404484,2.279954083658356,-0.07347379688866189,-0.1122324000904749
real_even_odd,1,1,0.09957287441440021,0.4353753416109986,1.2266178456144377,-0.07536232173709108,-0.1131423536603866
real_even_odd,2,0,-0.7577115008477243,-0.2994440131548885,0.21409146144542623,-0.07591787507645516,-0.1039037013281909
real_even_odd,3,0,-0.6694442401294034,-0.954643239517033,1.3337509836735528,-0.07626648908920619,-0.1164940161472852
real_even_odd,4,0,-3.0333744621566994,1.273692689740993,-1.181968605249623,-0.0768928921117797,-0.1207844408714565
real_even_odd,5,1,2.2877672339192765,-0.3336730735317964,-0.03795274756334468,-0.07469839197600468,-0.1169747300868986
real_even_odd,6,1,1.9194939727299696,1.7099065022382902,-0.6737675085667145,-0.07407595330196834,-0.1207464779134494
real_even_odd,7,0,-1.5067963658774828,-0.8152564197444049,-1.3950981039637993,-0.07754541151163123,-0.1201102129606392
real_even_odd,8,0,-2.0797001192839564,0.33672342158785845,0.012732710921472372,-0.07663331115139468,-0.115718421444637
real_even_odd,9,1,0.973145076707831,-2.022712791827537,0.5057790259740499,-0.075913607385081,-0.1119117305323963
real_even_odd,10,1,0.4880250258390857,-0.8266289650945154,-0.3007150425555107,-0.07629509520480067,-0.1179066197847238
real_even_odd,11,0,-3.900334171231851,-1.4592860324384427,-0.5220683816841798,-0.07849112685124929,-0.1149354734492343
real_even_odd,12,0,-0.9284442202204496,2.6137547697342725,0.9744910812385111,-0.07444279561529969,-0.114004805435534
real_even_odd,13,1,0.1819932125982867,0.15844776467286134,1.1926628889770243,-0.07602431814401982,-0.1239280287526959
real_even_odd,14,0,-2.904782061012126,-0.6574401759877025,1.1222559643060743,-0.07740694180331543,-0.117462440362735
real_even_odd,15,1,0.3524645299172145,-2.238052827410888,0.2991852645030572,-0.07678770843508007,-0.1170467896656288
real_even_odd,16,1,0.4752853230968348,0.7864911775539384,0.6028338675935291,-0.07501707383356598,-0.1157907207426231
real_even_odd,17,0,-2.955397787122022,0.8458247587005581,-1.7111805152971755,-0.07723502022007711,-0.1131919058368419
real_even_odd,18,0,-1.790053201437326,0.8508052360483097,2.135229673479127,-0.0763029831164378,-0.1276674861842667
real_even_odd,19,0,-2.5207108488562753,-2.5418744901002595,-2.153045272838721,-0.07841444630147165,-0.1173991282478587
real_even_odd,20,1,1.0132312891653545,-1.7284335250795062,-0.20483110311494368,-0.07580942554809496,-0.1181484382232774
real_even_odd,21,0,-0.9265673868241603,-0.8197743816051066,-0.5226837939303055,-0.07685756393932396,-0.1126483389256595
real_even_odd,22,0,-0.22612904116778954,-0.34685872796184347,-0.6786933660043756,-0.07591246725069618,-0.1110137783075162
real_even_odd,23,1,1.3414626024980587,-1.0358805874389245,0.4205135270864336,-0.07543547218536802,-0.123305644564992
real_even_odd,24,1,1.079366885669426,0.5616672072633584,-0.3560125140862688,-0.07410433848990129,-0.1047130114210485
real_even_odd,25,1,1.1393285811001628,-0.6940241222743566,-0.010723631091144476,-0.0756498583947419,-0.1197676428455055
