rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,max_split_dlogZ_dr_per_P_diff,max_ce_replay_abs_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
real_even_odd,0.5,0.1,30,30,0,30,1.0,0.6796370907014635,0.007940614789054194,0.05296085485709986,0.0,0.0003297337863973438,False,complete,
real_even_odd,0.51,0.1,30,30,0,30,1.0,0.6502354677021519,0.00934182838011642,0.026173829278640898,0.0,0.0005285409600351445,False,complete,
real_even_odd,0.52,0.1,30,30,0,30,1.0,0.6138201793389586,0.007905853207769941,0.026718745862709083,0.0,0.0005211351847924096,False,complete,
real_even_odd,0.53,0.1,30,30,0,30,1.0,0.6004371221689603,0.008352751867285653,0.03388127620395194,0.0,0.0003990461352359801,False,complete,
real_even_odd,0.54,0.1,30,30,0,30,1.0,0.6299645272795866,0.008310662164676895,0.03278693603123916,0.0,0.0004317624855396873,False,complete,
real_even_odd,0.55,0.1,30,30,0,30,1.0,0.6370536777152044,0.006494534740878183,0.03252669927189517,0.0,0.00046607303285599083,False,complete,
real_even_odd,0.56,0.1,30,30,0,30,1.0,0.6636776412653623,0.0066437351548865025,0.03702595357696334,0.0,0.000380341549399568,False,complete,
real_even_odd,0.57,0.1,30,30,0,30,1.0,0.6124907127839183,0.008327523468805208,0.030356893117305262,0.0,0.00048264475508881136,False,complete,
real_even_odd,0.58,0.1,30,30,0,30,1.0,0.6458500915896118,0.008570236194536889,0.0314072664021489,0.0,0.00037879982130865805,False,complete,
real_even_odd,0.59,0.1,30,30,0,30,1.0,0.6637417911921235,0.008073183846258391,0.03913683135409072,0.0,0.0004076618985188878,False,complete,
real_even_odd,0.6,0.1,30,30,0,30,1.0,0.6035518806419362,0.008030910169959396,0.029352975748903307,0.0,0.00046103360094864275,False,complete,
real_even_odd,0.61,0.1,30,30,0,30,1.0,0.5953899575748852,0.010082581182949206,0.028688649151782437,0.0,0.0004839353485689379,False,complete,
real_even_odd,0.62,0.1,30,30,0,30,1.0,0.6206472215975845,0.007098007497774289,0.04244523922339958,0.0,0.0004383274447186943,False,complete,
real_even_odd,0.63,0.1,30,30,0,30,1.0,0.5965195356241919,0.008420340962222151,0.023801812777743712,0.0,0.00046946038110927044,False,complete,
real_even_odd,0.64,0.1,30,30,0,30,1.0,0.627392227753971,0.01277749923785002,0.027802929613771513,0.0,0.0005246566947635439,False,complete,
real_even_odd,0.65,0.1,30,30,0,30,1.0,0.6273495123224202,0.008423508583520032,0.03594852371818484,0.0,0.0004712534378073836,False,complete,
real_even_odd,0.66,0.1,30,30,0,30,1.0,0.6494391085181043,0.011567871006403014,0.02309489826447042,0.0,0.0006232482459373696,False,complete,
real_even_odd,0.67,0.1,30,30,0,30,1.0,0.620171338329809,0.006837501193672509,0.021472921742807075,0.0,0.0003497784740389273,False,complete,
real_even_odd,0.68,0.1,30,30,0,30,1.0,0.6397329853237753,0.007610479550496478,0.027070086586354337,0.0,0.0005638306435030339,False,complete,
real_even_odd,0.69,0.1,30,30,0,30,1.0,0.6432128297802304,0.009113344767966923,0.04675819749899458,0.0,0.0005000983674931825,False,complete,
real_even_odd,0.7,0.1,30,30,0,30,1.0,0.5819902599698052,0.011330148324353752,0.035581697139613115,0.0,0.0005043507175683261,False,complete,
real_even_odd,0.71,0.1,30,30,0,30,1.0,0.6528784111778879,0.009055150039886556,0.02522753732984494,0.0,0.0003925911507897659,False,complete,
