rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
real_even_odd,2.5,0.01,-0.09287356120687165,5.426407545791631,60,False,raw_no_claim,0.017339507253399482
teacher_nn,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
teacher_nn,0.02,0.01,-6.918663366551772e-05,0.6928043471909621,60,True,claimable_rule_radius,9.328186253068942e-06
teacher_nn,0.03,0.01,-0.00021182685303940547,1.097966742001147,60,True,claimable_rule_radius,2.6764101707280937e-05
teacher_nn,0.05,0.01,-0.0008505527917798437,1.6079519715995119,60,True,claimable_rule_radius,7.00802126149704e-05
teacher_nn,0.08,0.01,-0.002923034900111325,2.0756975665737714,60,True,claimable_rule_radius,0.00015345654044273367
teacher_nn,0.12,0.01,-0.015938493635368933,2.467987142868073,60,False,raw_no_claim,0.008131772684124525
teacher_nn,0.15,0.01,-0.025311480063081118,2.681669613182397,60,False,raw_no_claim,0.009542523889023102
teacher_nn,0.2,0.01,-0.02588309499675941,2.9686664970437877,60,False,raw_no_claim,0.005467230880261471
teacher_nn,0.3,0.01,-0.037167340931767906,3.362687286138338,60,False,raw_no_claim,0.00043650238395376664
teacher_nn,0.45,0.01,-0.059081581934726304,3.746078080164938,60,False,raw_no_claim,0.001192564509537062
teacher_nn,0.65,0.01,-0.07661467023199665,4.096124598372723,60,False,raw_no_claim,0.0006407310870881159
teacher_nn,0.85,0.01,-0.09146516529199093,4.349432182293277,60,False,raw_no_claim,0.0004610021887220031
teacher_nn,1.0,0.01,-0.10045245640316267,4.502899660028676,60,False,raw_no_claim,0.0005798912061717882
teacher_nn,1.25,0.01,-0.11003209176472968,4.7163754814091465,60,False,raw_no_claim,0.0005911112375333021
teacher_nn,1.5,0.01,-0.11767130771183847,4.890985843749559,60,False,raw_no_claim,0.00054833627562779
teacher_nn,1.75,0.01,-0.12404143251779517,5.0387055418108035,60,False,raw_no_claim,0.000553898243681975
teacher_nn,2.0,0.01,-0.12987469190567122,5.166350958350795,60,False,raw_no_claim,0.00045898781754697034
teacher_nn,2.25,0.01,-0.13351647567737074,5.280445710813586,60,False,raw_no_claim,0.0005263426596166009
teacher_nn,2.5,0.01,-0.13743295979244008,5.381848147206063,60,False,raw_no_claim,0.0005719328750171087
