beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.26,0.07,100,-0.047240015971896664,-0.5152757126989447,0.0223910308981902,0.13447335892387038,-1.8561892326874918e-05,-0.00020246589889938888,-0.4680356967270481,2382.3016963406753,102352.65137257836,0.9981820139444657,2.4104263019590626e-06,8.106598168004252e-07,0.015211419792564275,0.9847885802074359,0.0966776124406845,0.9957732735442849,1.0,1.0,0.99880859375,pass
0.26,0.08,100,-0.058167825209680134,-0.5262035219367283,0.027229421139504013,0.13773759786851517,-2.2855726997909678e-05,-0.0002067597335704237,-0.4680356967270481,2382.3016963406753,102330.97302036724,0.9974704733205024,2.3861088797889413e-06,1.0524850482173733e-06,0.01804686017522793,0.9819531398247721,0.11811125376109104,0.9947737938790491,1.0,1.0,0.998603515625,pass
0.26,0.09,100,-0.07012101269934978,-0.5381567094263979,0.03285187061626305,0.14172812090600662,-2.755246078559913e-05,-0.00021145646735811312,-0.4680356967270481,2382.3016963406753,102302.91480416038,0.9965499299731856,2.5920284282476357e-06,1.2660961710582575e-06,0.020935965619170896,0.9790640343808292,0.14133234609422612,0.9903873170376966,1.0,1.0,0.998193359375,pass
0.26,0.1,100,-0.08260110571968507,-0.5506368024467332,0.03818424672972904,0.1454937838129149,-3.245623014525936e-05,-0.00021636023671777336,-0.4680356967270481,2382.3016963406753,102272.30422964184,0.9954403471463368,3.712780547835214e-06,1.5059233028544372e-06,0.023732438793381213,0.9762675612066191,0.16545484132310798,0.990853720365252,1.0,1.0,0.997939453125,pass
0.3,0.01,100,-0.009174425987683518,-0.33992464539987244,0.0034323052935508257,0.07377386829785723,-3.604882509895292e-06,-0.00013356567599209134,-0.3307502194121889,1683.518616808042,102399.98517065357,0.9999995422084782,8.86053432704765e-08,1.3135718525503695e-07,0.0015258370480857478,0.9984741629519143,0.028256297810979946,0.9999950686392332,1.0,1.0,0.99998046875,pass
0.3,0.02,100,-0.010681110964553531,-0.34143133037674245,0.0038750946343825733,0.07446448732727469,-4.196900182535769e-06,-0.0001341576936647318,-0.3307502194121889,1683.518616808042,102399.75410485346,0.9999885846830505,1.0952641496708846e-07,1.574537114549589e-07,0.0026486638245827115,0.9973513361754174,0.03211440669543437,0.9999553052516931,1.0,1.0,0.9999609375,pass
0.3,0.03,100,-0.01339356066239408,-0.344143780074583,0.00498403007017795,0.07573190193059073,-5.2626957416086755e-06,-0.0001352234892238047,-0.3307502194121889,1683.518616808042,102398.85075386385,0.9999588256947856,3.5192044539447856e-07,1.9311101262065133e-07,0.004119475599079036,0.9958805244009209,0.039099529078782023,0.9998520336253034,1.0,1.0,0.99982421875,pass
0.3,0.04,100,-0.01736571375601545,-0.3481159331682045,0.006863571385816975,0.07754028228064894,-6.8234631654284675e-06,-0.00013678425664762455,-0.3307502194121889,1683.518616808042,102396.55644910505,0.9998453243600691,4.853061399860019e-07,2.6210925925175923e-07,0.005855101026733561,0.9941448989732664,0.04936529282161267,0.9997178576955245,1.0,1.0,0.999677734375,pass
0.3,0.05,100,-0.02244603985741618,-0.35319625926960524,0.009297150070579421,0.07971270146283503,-8.819662026489658e-06,-0.00013878045550868575,-0.3307502194121889,1683.518616808042,102392.7168808067,0.9996977644869229,5.578066758883265e-07,3.4146512795159414e-07,0.007754593212622494,0.9922454067873774,0.06253763012505358,0.9994783863227226,1.0,1.0,0.99939453125,pass
0.3,0.06,100,-0.02863561496073972,-0.3593858343729287,0.012239693468904174,0.08228015783246002,-1.125171511227494e-05,-0.000141212508594471,-0.3307502194121889,1683.518616808042,102385.93330806127,0.9994637325874444,1.90133963423842e-06,4.627863439012065e-07,0.009768921185698195,0.990231078814302,0.0785383419113639,0.9990194515179888,1.0,1.0,0.999267578125,pass
