eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.05,0.63,30,-0.07999962948633146,0.0031173398389513496,0.0005691457830677255
0.05,0.64,30,-0.08110918229782205,0.002686074115382019,0.000490407794708489
0.05,0.65,30,-0.08172214157042049,0.0033445181484986816,0.0006106226779727138
0.05,0.66,30,-0.08261314546621822,0.0028175275626997633,0.0005144078008277372
0.05,0.67,30,-0.08246174693804582,0.0029215167538561107,0.0005333935427387534
0.05,0.68,30,-0.08366395022906074,0.002487007862692333,0.00045406343569643416
0.05,0.69,30,-0.08442082531694796,0.0025834736290424433,0.00047167559444876036
0.05,0.7,30,-0.08432492383229614,0.0023744304418109336,0.0004335097047356024
0.05,0.71,30,-0.08491096139688928,0.002579933585818539,0.000471029273939335
0.05,0.72,30,-0.08525964298129977,0.0027901642524211733,0.0005094119667318719
0.05,0.73,30,-0.08637027406954344,0.002437155887850868,0.00044496175197748393
0.05,0.74,30,-0.08687382004650629,0.0024371481502331238,0.0004449603392882237
0.05,0.75,30,-0.08747028547120853,0.0024834801871349704,0.000453419373203659
0.05,0.76,30,-0.08767920966639446,0.003137945831034049,0.0005729079052955472
0.05,0.77,30,-0.08795293112477581,0.0022671567548779724,0.00041392429868229177
0.05,0.78,30,-0.08860008059302102,0.0035101738371067946,0.0006408671304492849
0.05,0.79,30,-0.08863143592242582,0.0023519841874242186,0.0004294115981159008
0.05,0.8,30,-0.0885794566476133,0.0031709552209674757,0.000578934567787555
0.05,0.81,30,-0.08906484390767552,0.0032429686475980535,0.0005920823605238253
0.05,0.82,30,-0.09003067599270279,0.0031254721989327798,0.0005706305420702528
0.05,0.83,30,-0.09031796467841587,0.0038857887188345724,0.0007094447116682651
0.05,0.84,30,-0.09131326205080385,0.003579469345026482,0.0006535187013897492
0.05,0.85,30,-0.09153441713004984,0.003154165685237431,0.0005758692319710933
0.05,0.86,30,-0.09176027730756658,0.003511705545608781,0.000641146780881972
0.05,0.87,30,-0.09184925183486259,0.0034727656013580363,0.0006340373522639293
0.05,0.88,30,-0.09258130278854827,0.003173302295685619,0.0005793630830433141
0.05,0.89,30,-0.09324229549105499,0.0038235765023166986,0.0006980863668885201
0.05,0.9,30,-0.0938134474126072,0.002682640833270086,0.0004897809660221612
0.05,0.91,30,-0.09437377551807075,0.0028728000882876233,0.0005244991371859875
0.05,0.92,30,-0.09557644662657236,0.003273415674805928,0.0005976412017274007
0.05,0.93,30,-0.09611302147179639,0.0024629866951193344,0.00044967779058398597
0.05,0.94,30,-0.09552222551971501,0.003322108503622,0.0006065312553045005
0.05,0.95,30,-0.09607037208732079,0.003550780105644485,0.0006482807868673537
0.05,0.96,30,-0.09660734105324283,0.00245758049439335,0.0004486907578879785
0.05,0.97,30,-0.09693876619392312,0.0041280882941198025,0.0007536823593541454
0.05,0.98,30,-0.09671986088022258,0.0028220785347092036,0.0005152386908371186
0.05,0.99,30,-0.09826839830754011,0.003204776535304775,0.0005851094667165582
0.05,1.0,30,-0.0987866863804118,0.0030686637861790664,0.0005602587923631612
0.15,0.01,30,-0.0008136144474818966,0.0006534122014172723,0.00011929620068844968
0.15,0.02,30,-0.0009932629933579501,0.0007216797391321026,0.0001317600908056988
0.15,0.03,30,-0.0013885552877299133,0.0008338344135608831,0.00015223663917712907
0.15,0.04,30,-0.002108985387714437,0.0009806265645093003,0.0001790370966235129
0.15,0.05,30,-0.0032220361983658933,0.001148194896401822,0.0002096307483905284
0.15,0.06,30,-0.0047042115448317065,0.0013244884748675892,0.00024181740494686434
0.15,0.07,30,-0.006576607804038306,0.001534720028652968,0.0002802002597160685
0.15,0.08,30,-0.008762328808736756,0.0017525917097449583,0.00031997800450795337
0.15,0.09,30,-0.011340183551319404,0.0020781552312720683,0.0003794174993883591
0.15,0.1,30,-0.014534540169405722,0.002270255304304123,0.000414490013821041
0.15,0.11,30,-0.017562398205095774,0.002275130111219311,0.00041538002772468466
0.15,0.12,30,-0.020835520136227585,0.0024072768749874326,0.0004395066155303868
0.15,0.13,30,-0.024917198049248867,0.0033924534518059764,0.0006193744269467994
0.15,0.14,30,-0.02866288638625799,0.0035244780247504232,0.0006434787058623527
0.15,0.15,30,-0.03219196837776106,0.004156545700297024,0.0007588779471179295
0.15,0.16,30,-0.036678662473142,0.004245257859043471,0.0007750744972747318
0.15,0.17,30,-0.040440490117834876,0.004324787249232836,0.0007895945109385142
0.15,0.18,30,-0.04457201620538796,0.003852448451265092,0.0007033576394612442
0.15,0.19,30,-0.04975684726898903,0.00456267373029652,0.0008330264415398819
0.15,0.2,30,-0.05362942024477416,0.0045686300160763405,0.0008341139055667338
0.15,0.21,30,-0.0586281745334806,0.004833132151357745,0.0008824051675673701
