eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.3,eta_0p30,0.65,90,-0.14782296383319948,0.0032009920979590265,0.00033741419339171114,-0.12641638189182805,0.004585934873718309,0.00048339998007155025,0.5474452273480035,0.800517807779171,0.010483927008934388,0.6085733199737096,0.32058856857660023,29.484452011850145,-0.020290335730245742,0.031255706065047024,0.003294640701409584,-0.020290335730245673,0.03125570606504704,0.003294640701409585,-0.020290335730245523,-0.020290335730245967
0.3,eta_0p30,0.7,90,-0.1487750856635101,0.002760170826286582,0.00029094755140715155,-0.12736850372213868,0.004140595291499559,0.0004364570663369141,0.5354298059016872,0.8001835763010781,0.009086674765630524,0.6132658598923194,0.32564849449303995,29.621626702944436,-0.02492947178577677,0.03494345548055804,0.0036833636211752348,-0.024929471785776813,0.034943455480558064,0.003683363621175236,-0.024929471785776647,-0.02492947178577687
0.3,eta_0p30,0.75,90,-0.1503159110117772,0.0023329781708730634,0.00024591749171374666,-0.12890932907040575,0.0035289565442474177,0.00037198468145262107,0.5388374198744385,0.8089081959184251,0.007185892376483819,0.6226154748773156,0.33419349977354884,29.219430338011847,-0.01926961760047813,0.032357858815473546,0.0034108178021018142,-0.019269617600478153,0.03235785881547357,0.0034108178021018164,-0.01926961760047785,-0.019269617600478073
0.3,eta_0p30,0.8,90,-0.15070204742355792,0.002493911610307183,0.00026288136572363217,-0.12929546548218648,0.004057360794716717,0.00042768338001252366,0.5079044848003045,0.8158026322800643,0.0092762273880921,0.6269087626128367,0.33857743847740923,29.192838790681627,-0.011629984429583464,0.027878090581732465,0.0029386087684921025,-0.011629984429583453,0.027878090581732438,0.0029386087684921004,-0.01162998442958374,-0.011629984429583295
0.3,eta_0p30,0.85,90,-0.15147890945473552,0.0024671894420821576,0.0002600646018699898,-0.13007232751336406,0.0037889846182343357,0.0003993940470988024,0.5051741248477695,0.7975401843029303,0.009959166571365998,0.6327524239654265,0.3443944330150942,28.818741069899666,-0.017280596374374894,0.033099769356624405,0.0034890220397726423,-0.01728059637437496,0.033099769356624405,0.0034890220397726414,-0.017280596374374957,-0.017280596374374957
0.3,eta_0p30,0.9,90,-0.15243010706099544,0.0021560960139966616,0.00022727247527465824,-0.131023525119624,0.003577814664208858,0.00037713477949501644,0.5525454652722078,0.8040307051563368,0.011491094493070831,0.6376256239104711,0.34910032747258346,29.129642004436917,-0.017675726013297387,0.0305883442000995,0.0032242945841838566,-0.017675726013297345,0.03058834420009953,0.0032242945841838584,-0.017675726013297588,-0.017675726013297144
0.3,eta_0p30,0.95,90,-0.15324648205606523,0.0021976111233935336,0.0002316485520414969,-0.13183990011469376,0.0034679906667448774,0.0003655583137039928,0.5295621127664504,0.8257987230551282,0.012577034408900628,0.6427392620822393,0.35478945153347624,28.944592666625976,-0.01351036227489039,0.025564857518606064,0.0026947725938825193,-0.013510362274890424,0.02556485751860603,0.0026947725938825163,-0.013510362274890664,-0.01351036227489022
0.3,eta_0p30,1.0,90,-0.15378114328848452,0.0020944286885477338,0.00022077216842034174,-0.13237456134711306,0.0035932052473332163,0.00037875708940138757,0.5537185904006205,0.800092189250967,0.010147382983090536,0.646248490768491,0.3589811288623804,29.2285879055659,-0.010693224648385898,0.05699612081821843,0.006007918652657002,-0.010693224648385902,0.05699612081821843,0.006007918652657002,-0.010693224648385949,-0.010693224648385949
0.35,eta_0p35,0.1,90,-0.02330794125359473,0.003347285601426585,0.0003528348826531522,0.0,0.0,0.0,0.5422178924754558,0.8128046867737104,0.004587319313033639,0.06066473933242946,0.022412189279160645,17.94216719203525,-0.5662080687452093,0.0649310931178776,0.006844338173899237,-0.5662080687452093,0.0649310931178776,0.006844338173899238,-0.5662080687452093,-0.5662080687452093
0.35,eta_0p35,0.15,90,-0.05161834469085519,0.005515731726706904,0.0005814091739615734,-0.028310403437260462,0.003246554655893879,0.0003422169086949618,0.5759344383445784,0.7958888694759508,0.010364722656781535,0.14039219964675403,0.057294465135675696,25.924738762113783,-0.60060661940909,0.053843915291597884,0.0056756470154206195,-0.60060661940909,0.05384391529159788,0.0056756470154206195,-0.60060661940909,-0.6006066194090901
