run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.39,0.19,30,-0.0008361363675467877,7.22811013532445e-05,0.0001478314510536539,final_proxy_summary
30 dataset,0.39,0.2,30,-0.0008613065066770617,7.364069993258178e-05,0.000150612142369516,final_proxy_summary
30 dataset,0.39,0.21,30,-0.0008854387597444009,7.517556455418821e-05,0.00015375129299028626,final_proxy_summary
30 dataset,0.39,0.22,30,-0.0009102488842722579,7.662838256815283e-05,0.00015672263945707107,final_proxy_summary
30 dataset,0.39,0.23,30,-0.000932680676565327,7.74813509161047e-05,0.0001584671556061032,final_proxy_summary
30 dataset,0.39,0.24,30,-0.0009540327463045613,7.841781303145598e-05,0.00016038243568315393,final_proxy_summary
30 dataset,0.39,0.25,30,-0.0009751600809582991,7.922144687988552e-05,0.0001620260514513832,final_proxy_summary
30 dataset,0.39,0.26,30,-0.0009941911689578717,7.973993334240891e-05,0.00016308647533358058,final_proxy_summary
30 dataset,0.39,0.27,30,-0.001013845908913505,8.005052447908728e-05,0.00016372170553289887,final_proxy_summary
30 dataset,0.39,0.28,30,-0.0010334074657986328,8.07049595164575e-05,0.00016506017547017867,final_proxy_summary
30 dataset,0.39,0.29,30,-0.0010510297116779481,8.075193172653154e-05,0.00016515624442657858,final_proxy_summary
30 dataset,0.39,0.3,30,-0.0010678580284892577,8.085606163353871e-05,0.00016536921399902215,final_proxy_summary
60 dataset,0.29,0.01,60,-4.852733450386939e-05,4.140278753769659e-06,8.28467865029014e-06,final_proxy_summary
60 dataset,0.29,0.02,60,-0.0001239479563759064,1.0562936457903814e-05,2.1136387031305586e-05,final_proxy_summary
60 dataset,0.29,0.03,60,-0.00020202178040981965,1.578332843538102e-05,3.1582367250046546e-05,final_proxy_summary
60 dataset,0.29,0.04,60,-0.00027514586075641625,1.9773940106066313e-05,3.956756275883292e-05,final_proxy_summary
60 dataset,0.29,0.05,60,-0.0003400430018010247,2.269969560123485e-05,4.542198598208151e-05,final_proxy_summary
60 dataset,0.29,0.06,60,-0.00039829297436693703,2.5032928804602504e-05,5.0090774838022265e-05,final_proxy_summary
60 dataset,0.29,0.07,60,-0.00044844247837598516,2.6782360728232494e-05,5.3591380031485944e-05,final_proxy_summary
60 dataset,0.29,0.08,60,-0.0004920508026716864,2.8289701708777564e-05,5.660756236675967e-05,final_proxy_summary
60 dataset,0.29,0.09,60,-0.000530123533469346,2.9397979282646385e-05,5.882522066971006e-05,final_proxy_summary
60 dataset,0.29,0.1,60,-0.0005627118887548288,3.0168498708371494e-05,6.036702647931323e-05,final_proxy_summary
60 dataset,0.29,0.11,60,-0.0005917931569568852,3.0988075745060434e-05,6.200699634171507e-05,final_proxy_summary
60 dataset,0.29,0.12,60,-0.0006181646796012055,3.161965992254825e-05,6.327079336174187e-05,final_proxy_summary
60 dataset,0.29,0.13,60,-0.0006406097448812215,3.206380843118839e-05,6.415953247471559e-05,final_proxy_summary
