eta,ref_id,radius,phi_energy_raw
0.05,3,0.12,-0.0095432021048411
0.05,3,0.13,-0.0116820016828194
0.05,3,0.14,-0.0127584292853132
0.05,3,0.15,-0.0151774715906219
0.05,3,0.16,-0.0168955208491861
0.05,3,0.17,-0.0200638521498204
0.05,3,0.18,-0.0227628982861594
0.05,3,0.19,-0.0241352474683201
0.05,3,0.2,-0.0274941859420753
0.05,3,0.21,-0.026074829171455
0.05,3,0.22,-0.0309618587579537
0.05,3,0.23,-0.0329970374147312
0.05,3,0.24,-0.0371683396456577
0.05,3,0.25,-0.0381759737077402
0.05,3,0.26,-0.0380948562817175
0.05,3,0.27,-0.0430768917415479
0.05,3,0.28,-0.0447601352433367
0.05,3,0.29,-0.0484540287726181
0.05,3,0.3,-0.046030674496657
0.05,3,0.31,-0.0487116408822726
0.05,3,0.32,-0.0522778044603577
0.05,3,0.33,-0.0544622543998981
0.05,3,0.34,-0.0552079919142451
0.05,3,0.35,-0.0536600372040049
0.05,3,0.36,-0.0553591493582091
0.05,3,0.37,-0.0614330436664644
0.05,3,0.38,-0.0623123075849403
0.05,3,0.39,-0.0620609471150647
0.05,3,0.4,-0.0642794782364876
0.05,3,0.41,-0.0609855156958265
0.05,3,0.42,-0.0588566764705341
0.05,3,0.43,-0.0640324238905438
0.05,3,0.44,-0.0656100545306503
0.05,3,0.45,-0.0689050990913198
0.05,3,0.46,-0.0720215289678586
0.05,3,0.47,-0.0701807587124674
0.05,3,0.48,-0.0661417569076715
0.05,3,0.49,-0.0722075251945934
0.05,3,0.5,-0.0719962664203142
0.05,3,0.51,-0.0753487036202091
0.05,3,0.52,-0.0761373463889928
0.05,3,0.53,-0.0738502265380876
0.05,3,0.54,-0.0752982035439552
0.05,3,0.55,-0.0751952152988184
0.05,3,0.56,-0.0749265619586102
0.05,3,0.57,-0.0770945606055469
0.05,3,0.58,-0.0777589041717563
0.05,3,0.59,-0.0830847951021876
0.05,3,0.6,-0.0791420949717776
0.05,3,0.61,-0.0806555271537929
0.05,3,0.62,-0.0825969151418807
0.05,3,0.63,-0.0796624303144236
0.05,3,0.64,-0.081505517765894
0.05,3,0.65,-0.0795936204063189
0.05,3,0.66,-0.0778855250826569
0.05,3,0.67,-0.0806096771218035
0.05,3,0.68,-0.0847191445360018
0.05,3,0.69,-0.0873070998175288
0.05,3,0.7,-0.0824590273314756
0.05,3,0.71,-0.0857049021592386
0.05,3,0.72,-0.0831568462695101
