rule,ref_id,neighbor_rank,neighbor_rule,neighbor_ref_id,feature_distance
real_even_odd,19,5,real_even_odd,51,9.833765921680257
real_even_odd,20,1,real_even_odd,15,6.413205510750824
real_even_odd,20,2,very_low_tv_spectral_teacher,80,8.738295974681234
real_even_odd,20,3,very_low_tv_spectral_teacher,85,9.033046788875273
real_even_odd,20,4,very_low_tv_spectral_teacher,33,9.126125377026588
real_even_odd,20,5,real_even_odd,6,9.241064497062098
real_even_odd,21,1,real_even_odd,1015,9.395175365718972
real_even_odd,21,2,real_even_odd,1014,10.491590055835816
real_even_odd,21,3,real_even_odd,4,10.631910930865516
real_even_odd,21,4,real_even_odd,16,10.74437329504189
real_even_odd,21,5,very_low_tv_spectral_teacher,36,10.872326116706045
real_even_odd,22,1,real_even_odd,1010,11.121167648547122
real_even_odd,22,2,very_low_tv_spectral_teacher,62,11.318077458633088
real_even_odd,22,3,real_even_odd,1011,11.595244451141667
real_even_odd,22,4,very_low_tv_spectral_teacher,41,11.717351705043656
real_even_odd,22,5,very_low_tv_spectral_teacher,32,11.847036346476774
real_even_odd,23,1,real_even_odd,36,11.119756002123733
