pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.4,0.0010871182194616,-0.00108712
pair_0_2,0/2,2461,0.4,0.0005289725254888,-0.000528973
pair_0_2,0/2,2461,0.4,0.000202799497703,-0.000202799
pair_0_2,0/2,2461,0.4,0.0004690488718061,-0.000469049
pair_0_2,0/2,2461,0.4,0.000835997121153,-0.000835997
pair_0_2,0/2,2461,0.4,0.00080344918203,-0.000803449
pair_0_2,0/2,2461,0.4,5.126268193869951e-05,-5.12627e-05
pair_0_2,0/2,2461,0.4,0.0007018268869486,0.000701827
pair_0_2,0/2,2461,0.4,0.0001462336910502,-0.000146234
pair_0_2,0/2,2461,0.4,0.0001310793646617,0.000131079
pair_0_2,0/2,2461,0.45,0.0004734474370987,0.000473447
pair_0_2,0/2,2461,0.45,0.0003779163321169,-0.000377916
pair_0_2,0/2,2461,0.45,0.000360645436842,0.000360645
pair_0_2,0/2,2461,0.45,0.0007989374994157,0.000798937
pair_0_2,0/2,2461,0.45,0.000630269560553,0.00063027
pair_0_2,0/2,2461,0.45,0.0002232081538123,0.000223208
pair_0_2,0/2,2461,0.45,0.0009859440836282,-0.000985944
pair_0_2,0/2,2461,0.45,0.0003343085237415,-0.000334309
pair_0_2,0/2,2461,0.45,0.0010538745046014,-0.00105387
pair_0_2,0/2,2461,0.45,6.26613027905211e-05,-6.26613e-05
pair_0_2,0/2,2461,0.45,0.0002917355642681,-0.000291736
pair_0_2,0/2,2461,0.45,0.0011794180793985,-0.00117942
pair_0_2,0/2,2461,0.45,8.550027795602466e-05,-8.55003e-05
pair_0_2,0/2,2461,0.45,0.0001949804110664,0.00019498
pair_0_2,0/2,2461,0.45,0.0007224922475422,0.000722492
pair_0_2,0/2,2461,0.45,0.0014464728023112,-0.00144647
pair_0_2,0/2,2461,0.45,0.0006128958922932,0.000612896
pair_0_2,0/2,2461,0.45,0.0004109383301568,0.000410938
pair_0_2,0/2,2461,0.45,0.0002041016622867,-0.000204102
pair_0_2,0/2,2461,0.45,2.1040867906515904e-05,2.10409e-05
pair_0_2,0/2,2461,0.45,0.0007943884184032,-0.000794388
pair_0_2,0/2,2461,0.45,0.0013816500877526,0.00138165
pair_0_2,0/2,2461,0.45,0.0008463002821721,0.0008463
pair_0_2,0/2,2461,0.45,0.0011377039278023,-0.0011377
pair_0_2,0/2,2461,0.45,0.0002409954382331,0.000240995
pair_0_2,0/2,2461,0.45,7.264813608787345e-05,-7.26481e-05
pair_0_2,0/2,2461,0.45,2.9852764760685692e-05,2.98528e-05
pair_0_2,0/2,2461,0.45,0.0014277063724259,0.00142771
pair_0_2,0/2,2461,0.45,0.0002805722841862,0.000280572
pair_0_2,0/2,2461,0.45,0.0014212404555315,-0.00142124
pair_0_2,0/2,2461,0.5,7.106094677411211e-05,-7.10609e-05
pair_0_2,0/2,2461,0.5,0.0006439033521191,-0.000643903
pair_0_2,0/2,2461,0.5,0.0011157046711004,-0.0011157
pair_0_2,0/2,2461,0.5,0.000206640782413,-0.000206641
pair_0_2,0/2,2461,0.5,0.0012282639469915,0.00122826
pair_0_2,0/2,2461,0.5,0.0009489139691302,-0.000948914
pair_0_2,0/2,2461,0.5,0.0007359629713036,0.000735963
pair_0_2,0/2,2461,0.5,0.0002678646026605,-0.000267865
pair_0_2,0/2,2461,0.5,0.0005740019312843,0.000574002
pair_0_2,0/2,2461,0.5,0.0008290847676015,0.000829085
pair_0_2,0/2,2461,0.5,3.046615626218902e-05,-3.04662e-05
pair_0_2,0/2,2461,0.5,0.0036264364883922,-0.00362644
pair_0_2,0/2,2461,0.5,0.0009561247763305,-0.000956125
pair_0_2,0/2,2461,0.5,0.0009673465277243,-0.000967347
pair_0_2,0/2,2461,0.5,3.8372553661274784e-05,3.83726e-05
