beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.56,1800,1.7189771536171066,-0.003112522081662715,1.7189771536171066,-0.003112522081662715,0.0,1.7220896756987694,pass
0.05,0.57,1800,1.7366240496085037,-0.003158248542476028,1.7366240496085037,-0.003158248542476028,0.0,1.7397822981509796,pass
0.05,0.58,1800,1.753963064800426,-0.0032041423717695102,1.753963064800426,-0.0032041423717695102,0.0,1.7571672071721955,pass
0.05,0.59,1800,1.77100501868807,-0.0032499049737364683,1.77100501868807,-0.0032499049737364683,0.0,1.7742549236618064,pass
0.05,0.6,1800,1.7877607442201837,-0.0032946937822414,1.7877607442201837,-0.0032946937822414,0.0,1.791055438002425,pass
0.05,0.61,1800,1.80423907835801,-0.003339166781499198,1.80423907835801,-0.003339166781499198,0.0,1.8075782451395093,pass
0.05,0.62,1800,1.8204502421469229,-0.0033821346616666843,1.8204502421469229,-0.0033821346616666843,0.0,1.8238323768085896,pass
0.05,0.63,1800,1.8364009625778817,-0.0034254686060894023,1.8364009625778817,-0.0034254686060894023,0.0,1.8398264311839712,pass
0.05,0.64,1800,1.85210063388705,-0.003467966305544201,1.85210063388705,-0.003467966305544201,0.0,1.8555686001925942,pass
0.05,0.65,1800,1.867557333306283,-0.003509361403991289,1.867557333306283,-0.003509361403991289,0.0,1.8710666947102743,pass
0.05,0.66,1800,1.8827772004565309,-0.003550967377800717,1.8827772004565309,-0.003550967377800717,0.0,1.8863281678343315,pass
0.05,0.67,1800,1.8977679806466952,-0.0035921557594995697,1.8977679806466952,-0.0035921557594995697,0.0,1.9013601364061947,pass
0.05,0.68,1800,1.9125377189725503,-0.0036316819670030804,1.9125377189725503,-0.0036316819670030804,0.0,1.9161694009395533,pass
0.05,0.69,1800,1.927092038787206,-0.00367042530653676,1.927092038787206,-0.00367042530653676,0.0,1.9307624640937426,pass
0.05,0.7,1800,1.941433837271468,-0.0037117105464955307,1.941433837271468,-0.0037117105464955307,0.0,1.9451455478179633,pass
0.05,0.71,1800,1.9555746658587414,-0.003749943420729681,1.9555746658587414,-0.003749943420729681,0.0,1.9593246092794712,pass
0.05,0.72,1800,1.969515616021306,-0.003789739656490564,1.969515616021306,-0.003789739656490565,8.673617379884035e-19,1.9733053556777966,pass
0.05,0.73,1800,1.9832644588185078,-0.0038287992186847473,1.9832644588185078,-0.0038287992186847473,0.0,1.9870932580371925,pass
0.05,0.74,1800,1.9968276013256772,-0.003865962735051792,1.9968276013256772,-0.0038659627350517917,-4.336808689942018e-19,2.000693564060729,pass
0.05,0.75,1800,2.0102088795900794,-0.0039024305315400057,2.0102088795900794,-0.0039024305315400057,0.0,2.0141113101216193,pass
0.05,0.76,1800,2.023412587188721,-0.003938745271622099,2.023412587188721,-0.003938745271622099,0.0,2.027351332460343,pass
0.05,0.77,1800,2.0364417270584076,-0.003976550591462339,2.0364417270584076,-0.003976550591462339,0.0,2.04041827764987,pass
