rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
teacher_nn,1.6,0.1,90,90,0,90,1.0,0.5853025846520398,0.019545037230338076,0.0004940995531662906,False,complete,
teacher_nn,1.7,0.1,90,90,0,90,1.0,0.6114949532525888,0.016055568864678894,0.0003992427867157113,False,complete,
teacher_nn,1.8,0.1,90,90,0,90,1.0,0.6143026974823487,0.01835633643247517,0.000497730061369561,False,complete,
teacher_nn,1.9,0.1,90,90,0,90,1.0,0.5994936061483364,0.018139911172304946,0.0004676478531713705,False,complete,
teacher_nn,2.0,0.1,90,90,0,90,1.0,0.5751004746421031,0.019901315094034894,0.0005563802642043606,False,complete,
teacher_nn,2.1,0.1,90,90,0,90,1.0,0.5826128578241764,0.01584759088453594,0.0004463838686803457,False,complete,
teacher_nn,2.2,0.1,90,90,0,90,1.0,0.6027400023053783,0.019734505032439908,0.0005571058164102068,False,complete,
teacher_nn,2.3,0.1,90,90,0,90,1.0,0.5868144651554487,0.018286847839242323,0.0005667680700582079,False,complete,
teacher_nn,2.4,0.1,90,90,0,90,1.0,0.6239334592491824,0.023692799030910736,0.0005576226137479309,False,complete,
teacher_nn,2.5,0.1,90,90,0,90,1.0,0.6283845596325497,0.01984881787625002,0.0004937562450402586,False,complete,
