source,group,label,nmstv,ref_id,radius,d_phi_energy_direct_dd,d2_phi_energy_direct_dd2,positive_curvature,negative_curvature
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.92,-0.02507861691959139,-0.3907071521202241,0.0,0.3907071521202241
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.93,-0.03568612752791147,-1.0144474995162966,0.0,1.0144474995162966
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.94,-0.04536756690991724,0.006288535766856063,0.006288535766856063,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.95,-0.035560356812574134,0.127013973487903,0.127013973487903,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.96,-0.04282728744015917,-0.1924797882503737,0.0,0.1924797882503737
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.97,-0.03940995257758161,0.22334584001402535,0.22334584001402535,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.98,-0.03836037063987866,-0.1368567990639793,0.0,0.1368567990639793
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.99,-0.0421470885588612,0.002502002913389534,0.002502002913389534,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,1.0,-0.03831033058161087,0.3836757977250329,0.3836757977250329,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.01,-0.0043007003723452095,-0.4856103082530105,0.0,0.4856103082530105
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.02,-0.009156803454875314,-0.5721358636544049,0.0,0.5721358636544049
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.03,-0.015743417645433303,-0.745669549090094,0.0,0.745669549090094
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.04,-0.02407019443667719,-0.7814831025771407,0.0,0.7814831025771407
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.05,-0.03137307969697612,-0.7934502013642379,0.0,0.7934502013642379
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.06,-0.03993919846396195,-0.8352901386757339,0.0,0.8352901386757339
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.07,-0.0480788824704908,-0.7195341328194429,0.0,0.7195341328194429
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.08,-0.05432988112035081,-0.4637262159954463,0.0,0.4637262159954463
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.09,-0.05735340679039972,-0.34696327894219836,0.0,0.34696327894219836
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.1,-0.06126914669919478,-0.35540211006474864,0.0,0.35540211006474864
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.11,-0.06446144899169469,-0.7580475679132728,0.0,0.7580475679132728
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.12,-0.07643009805746023,-0.7338990036440416,0.0,0.7338990036440416
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.13,-0.07913942906457551,-0.25617649137403653,0.0,0.25617649137403653
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.14,-0.08155362788494097,-0.16586118254949245,0.0,0.16586118254949245
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.15,-0.08245665271556536,0.04737666958907827,0.04737666958907827,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.16,-0.08060609449315939,-0.03690834138330956,0.0,0.03690834138330956
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.17,-0.08319481954323156,0.0008392627840709821,0.0008392627840709821,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.18,-0.08058930923747798,-0.36175127916713556,0.0,0.36175127916713556
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.19,-0.0904298451265743,-0.11746626595430865,0.0,0.11746626595430865
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.2,-0.08293863455656415,0.9392716960992562,0.9392716960992562,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.21,-0.07164441120458921,0.20080791968782696,0.20080791968782696,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.22,-0.07892247616280768,-0.4549300795567084,0.0,0.4549300795567084
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.23,-0.08074301279572338,-0.22382444159884196,0.0,0.22382444159884196
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.24,-0.08339896499478451,0.5971565301584771,0.5971565301584771,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.25,-0.06879988219255379,0.10816221670295878,0.10816221670295878,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.26,-0.08123572066072533,-0.44567025224448376,0.0,0.44567025224448376
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.27,-0.07771328723744347,0.2685554433012056,0.2685554433012056,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.28,-0.07586461179470122,0.1357312450842456,0.1357312450842456,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.29,-0.07499866233575855,0.20958309976010936,0.20958309976010936,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.3,-0.07167294979949904,0.06599512901670623,0.06599512901670623,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.31,-0.07367875975542443,0.08567740160466375,0.08567740160466375,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.32,-0.06995940176740575,0.3800781354447951,0.3800781354447951,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.33,-0.06607719704652852,-0.2950401769157156,0.0,0.2950401769157156
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.34,-0.07586020530572007,0.028583777153492917,0.028583777153492917,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.35,-0.06550552150345877,0.24505491719535222,0.24505491719535222,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,1,0.36,-0.07095910696181314,-0.09676406593548625,0.0,0.09676406593548625
