beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,0.92,2700,1.0843938251901046,-0.0021356016485387813,1.0865294268386434,-5.435106195531199,1.077035563948218,pass
0.05,0.93,2700,1.0727295606942038,-0.0021167540278951586,1.074846314722099,-5.387139000993178,1.0579420666657984,pass
0.05,0.94,2700,1.0613124053036456,-0.0020993741554524744,1.063411779459098,-5.342907225626548,1.0437066531017365,pass
0.05,0.95,2700,1.050138030594565,-0.002079940659700516,1.0522179712542654,-5.293448978937814,1.026007634607542,pass
0.05,0.96,2700,1.0391932276788705,-0.002064139708162997,1.0412573673870336,-5.253235557274827,1.010505414510971,pass
0.05,0.97,2700,1.0284740294649877,-0.002048725887127828,1.0305227553521155,-5.214007382740323,0.9957118890845541,pass
0.05,0.98,2700,1.0179736143838776,-0.0020336026483186386,1.020007217032196,-5.1755187399709355,0.9776182667455405,pass
0.05,0.99,2700,1.0076868790732667,-0.002017234756583869,1.0097041138298506,-5.133862455505946,0.9659767195282573,pass
0.05,1.0,2700,0.9976043110170408,-0.0020027616745111427,0.999607072691552,-5.097028461630859,0.9511909151228441,pass
0.05,1.01,2700,0.9877232277839751,-0.0019867451779577087,0.9897099729619329,-5.056266477902368,0.936792450879226,pass
0.05,1.02,2700,0.9780351401920715,-0.0019717938192540326,0.9800069340113255,-5.018215270001512,0.9212286532771455,pass
0.05,1.03,2700,0.968534491164365,-0.001957812419666142,0.9704923035840312,-4.982632608050331,0.9121366196019889,pass
0.05,1.04,2700,0.9592164131291301,-0.0019442336896699122,0.9611606468188,-4.948074740209926,0.895776426104854,pass
0.05,1.05,2700,0.9500765288399664,-0.0019302070567498658,0.9520067358967162,-4.912376959428409,0.8827419848839843,pass
0.05,1.06,2700,0.9411095593495996,-0.0019159809254494396,0.943025540275049,-4.876171455268824,0.869195721464468,pass
0.05,1.07,2700,0.9323089775860115,-0.001903239882728703,0.9342122174687402,-4.843745501544549,0.8546877988331381,pass
0.05,1.08,2700,0.9236713342461771,-0.0018907700978524492,0.9255621043440295,-4.812009899034483,0.8421866535501125,pass
0.05,1.09,2700,0.9151935745835021,-0.0018771343078299975,0.9170707088913321,-4.7773068134273435,0.8246003717363768,pass
0.05,1.1,2700,0.906867638125055,-0.0018660643218104786,0.9087337024468655,-4.749133699007668,0.8184646950379328,pass
0.05,1.11,2700,0.8986920328931686,-0.0018548794415629557,0.9005469123347315,-4.720668178777722,0.8102600964580418,pass
0.05,1.12,2700,0.890663811398795,-0.001842503504376372,0.8925063149031714,-4.689171418637867,0.7986495967003344,pass
0.05,1.13,2700,0.8827772302983987,-0.0018307986321783752,0.8846080289305771,-4.659382518893965,0.7819219583081172,pass
0.05,1.14,2700,0.8750279951389639,-0.0018203142395905978,0.8768483093785545,-4.632699739758071,0.7718284351150482,pass
0.05,1.15,2700,0.867412815668885,-0.0018107258020298846,0.8692235414709149,-4.608297166166056,0.760770668246248,pass
0.05,1.16,2700,0.859930729230399,-0.001799505848525136,0.8617302350789242,-4.5797423844964715,0.7506290146993243,pass
0.05,1.17,2700,0.8525756735950847,-0.0017893457994044193,0.8543650193944891,-4.553885059484247,0.7425237671109326,pass
0.05,1.18,2700,0.845344887452194,-0.001779750422002596,0.8471246378741967,-4.529464823996607,0.7286300158467685,pass
0.05,1.19,2700,0.8382373148186445,-0.0017686286196346827,0.8400059434382792,-4.501159836970268,0.7150437052556141,pass
0.05,1.2,2700,0.8312447585084787,-0.0017611354011480432,0.8330058939096268,-4.48208959592177,0.714638859020035,pass
0.05,1.21,2700,0.8243725538905977,-0.0017489937883709728,0.8261215476789687,-4.451189191404126,0.6970761991316959,pass
0.05,1.22,2700,0.8176089195823044,-0.0017411400009348936,0.8193500595832394,-4.431201302379304,0.6851335008292859,pass
0.05,1.23,2700,0.8109563329226012,-0.0017323440624005708,0.8126886769850017,-4.408815638809453,0.6757673224115981,pass
0.05,1.24,2700,0.8044108121935863,-0.001723923847987753,0.8061347360415742,-4.387386193128831,0.6731751951428258,pass
0.05,1.25,2700,0.7979694143867766,-0.001716243766465096,0.7996856581532417,-4.367840385653669,0.6585517476867249,pass
0.05,1.26,2700,0.7916292182676028,-0.0017097283129941028,0.7933389465805969,-4.3512585565699915,0.650524564340769,pass
0.05,1.27,2700,0.7853921578029256,-0.0017000254187689383,0.7870921832216945,-4.326564690766948,0.6420334595966051,pass
0.05,1.28,2700,0.7792500232287992,-0.0016930023114758149,0.7809430255402751,-4.308690882705949,0.6366791849262137,pass
0.05,1.29,2700,0.7732038373123594,-0.0016853663245025173,0.774889203636862,-4.289257295858906,0.627279850051527,pass
