source,group,label,nmstv,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,d_phi_energy_direct_dd_mean,d_phi_energy_direct_dd_sd,d_phi_energy_direct_dd_sem,d_phi_energy_fd_dd_mean,d_phi_energy_fd_dd_sd,d_phi_energy_fd_dd_sem,ess_fraction_min,split_logZ_per_P_diff_max,split_dlogZ_dr_per_P_diff_max,ce_replay_max_abs_diff_max
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.7,30,-0.04354651657678714,0.0024949871114964654,0.00045552024055042377,-0.045088285294665534,0.004605333160278723,0.0008408149522370703,-0.06706111256034845,0.12723994523193005,0.023230729406416666,0.5878227493998331,0.0073391941165375,0.023455185314732,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.71,30,-0.044071567556213435,0.0025664091498795337,0.0004685600610588926,-0.04329075282183411,0.005156914715104481,0.0009415195055310171,-0.05926721756711814,0.13538414305245516,0.024717649692778676,0.620060244930001,0.007148684964317,0.0153288894720729,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.72,30,-0.04473186092812951,0.0023798059402501265,0.0004344911319865953,-0.0428098414145425,0.004757603742131622,0.0008686156297454934,-0.012808356570462923,0.17326628391709925,0.03163395071882994,0.5185097247600713,0.010770621397909,0.0229164632187117,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.73,30,-0.044327734687622695,0.0029479628605271315,0.0005382219191327216,-0.04185500526102618,0.004385834207123934,0.0008007401095731882,-0.043909623758746935,0.14236806510096625,0.025992733574721073,0.5224662748875533,0.011430949156364,0.0246849347391441,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.74,30,-0.04561005340330445,0.0018634550976127412,0.00034021879728682986,-0.04378180481560892,0.005319704053368452,0.0009712406364271889,-0.07211308283014484,0.18530241461955127,0.03383143748243443,0.5753656734896297,0.0074379782706755,0.0307610328380843,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.75,30,-0.04576999634422559,0.0022500697120637144,0.00041080464575215,-0.04236040835062631,0.005491868122641639,0.0010026733512047909,-0.03317913809170563,0.09952429024068958,0.018170566261505646,0.5101965594508104,0.0091295914643115,0.0242893934015078,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.76,30,-0.04627363616513856,0.002122406502044746,0.00038749663912184733,-0.04487395414753132,0.005454051290976418,0.000995768973952652,-0.06927797224137043,0.14747733746369066,0.02692555481655503,0.5586281800025203,0.0085850066151427,0.0243405846690369,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.77,30,-0.047155555789053,0.0026605661197890377,0.00048575069318081577,-0.04157373684008199,0.004902491541121247,0.0008950684016834575,-0.07325588628151812,0.1286029690440093,0.023479582369180827,0.5461065514244136,0.0107866844543433,0.0276368245731507,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.78,30,-0.04773875389076892,0.0023489247401332768,0.0004288530220176521,-0.041635282325871194,0.005287612290601286,0.0009653815089679621,-0.04159078959623915,0.17799138588620386,0.032496632363826834,0.5600406861434053,0.007569274652063,0.0253935616640966,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.79,30,-0.04798737158097778,0.002821401063624641,0.0005151150021054282,-0.04046145585554239,0.006002914167865276,0.0010959771668357218,-0.013021583295699602,0.15970099819062006,0.029157279721698112,0.5541272134508012,0.0100005206106829,0.0287325930939855,0.0
