metric,run,beta,radius,dataset_count,mean,sem,ci95_half_width,ci95_low,ci95_high,source
phi_energy,30 dataset,0.33,0.06,30,-0.000303547989112749,2.9906997007482034e-05,6.11666767868763e-05,-0.0003647146658996253,-0.0002423813123258727,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.07,30,-0.00030718399506244606,3.013783174381023e-05,6.163878683204861e-05,-0.00036882278189449467,-0.00024554520823039745,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.08,30,-0.00031125210552311475,3.0375464545043668e-05,6.212480048107427e-05,-0.000373376906004189,-0.0002491273050420405,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.09,30,-0.0003157483088800398,3.062656105267714e-05,6.263835050152223e-05,-0.000378386659381562,-0.00025310995837851756,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.1,30,-0.00032067408385729753,3.088201047845354e-05,6.316080323918592e-05,-0.00038383488709648345,-0.0002575132806181116,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.11,30,-0.00032587288953869645,3.114916743983214e-05,6.370720057569953e-05,-0.000389580090114396,-0.0002621656889629969,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.12,30,-0.0003313859317142294,3.141118301834138e-05,6.424308260356718e-05,-0.00039562901431779656,-0.0002671428491106622,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.13,30,-0.0003372385577762221,3.169623143303354e-05,6.482607207073852e-05,-0.0004020646298469606,-0.00027241248570548357,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.14,30,-0.0003432741393184691,3.197091041947342e-05,6.538785367587633e-05,-0.00040866199299434544,-0.0002778862856425928,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.15,30,-0.00034966203075276355,3.2266235000003505e-05,6.599186026202687e-05,-0.0004156538910147904,-0.0002836701704907367,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.16,30,-0.0003562293447858449,3.2575831015660235e-05,6.66250552103342e-05,-0.0004228543999961791,-0.0002896042895755107,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.17,30,-0.0003630776689156287,3.286608597812232e-05,6.721869326333776e-05,-0.00043029636217896644,-0.0002958589756522909,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.18,30,-0.0003701248981145978,3.319590902915819e-05,6.789325714397497e-05,-0.0004380181552585728,-0.00030223164097062285,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.19,30,-0.0003772958893396247,3.351462599676684e-05,6.854510653357882e-05,-0.00044584099587320354,-0.0003087507828060459,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
