eta,ref_id,radius,phi_energy_raw
0.35,2,0.8,-0.1580458916135458
0.35,2,0.9,-0.1494779841273829
0.35,2,1.0,-0.1561693486290561
0.35,3,0.1,-0.0258468602748983
0.35,3,0.2,-0.0866671799429274
0.35,3,0.3,-0.1356575551725171
0.35,3,0.4,-0.1407754803596574
0.35,3,0.5,-0.1526785833453394
0.35,3,0.6,-0.1487771030488924
0.35,3,0.7,-0.1546686047400231
0.35,3,0.8,-0.1507429573029407
0.35,3,0.9,-0.1555855214871067
0.35,3,1.0,-0.1558387609853182
0.35,4,0.1,-0.0246300361607644
0.35,4,0.2,-0.0813889819985253
0.35,4,0.3,-0.1365919509262838
0.35,4,0.4,-0.1493710693900478
0.35,4,0.5,-0.1542694458797461
0.35,4,0.6,-0.154654872351849
0.35,4,0.7,-0.1548052753677513
0.35,4,0.8,-0.1575177606625112
0.35,4,0.9,-0.1591920266769108
0.35,4,1.0,-0.1583775752481482
0.35,5,0.1,-0.0262629825519148
0.35,5,0.2,-0.0893810051439456
0.35,5,0.3,-0.1399937306093604
0.35,5,0.4,-0.1493535187197189
0.35,5,0.5,-0.1516632444782623
0.35,5,0.6,-0.152044973623484
0.35,5,0.7,-0.1538834990934799
0.35,5,0.8,-0.1531830448476146
0.35,5,0.9,-0.1545117008680246
0.35,5,1.0,-0.15884265008033
0.35,6,0.1,-0.0267530859106454
0.35,6,0.2,-0.0903394400944697
0.35,6,0.3,-0.1383360440690272
0.35,6,0.4,-0.1466589068877349
0.35,6,0.5,-0.1504242669124655
0.35,6,0.6,-0.1539215125013099
0.35,6,0.7,-0.1514257943535786
0.35,6,0.8,-0.1510224447484484
0.35,6,0.9,-0.1585660139518099
0.35,6,1.0,-0.1557638090250554
0.35,7,0.1,-0.020107789548269
0.35,7,0.2,-0.0841943122709915
0.35,7,0.3,-0.1279743280578964
0.35,7,0.4,-0.1491611729038054
0.35,7,0.5,-0.1439766839027898
0.35,7,0.6,-0.1509597111647964
0.35,7,0.7,-0.1505097795404511
0.35,7,0.8,-0.1567811212399865
0.35,7,0.9,-0.1537209294950931
0.35,7,1.0,-0.1587507191572762
0.35,8,0.1,-0.0197168122053842
0.35,8,0.2,-0.0663232395686155
0.35,8,0.3,-0.1243659440194597
0.35,8,0.4,-0.1513652955640229
0.35,8,0.5,-0.1574377817789015
0.35,8,0.6,-0.156795217359801
0.35,8,0.7,-0.1597077999022418
0.35,8,0.8,-0.1610783891729341
0.35,8,0.9,-0.1556311628341157
0.35,8,1.0,-0.1641478744636179
0.35,9,0.1,-0.0226303760831968
0.35,9,0.2,-0.0819191328915057
0.35,9,0.3,-0.1279873066505658
0.35,9,0.4,-0.1498307169212072
0.35,9,0.5,-0.1502936502390591
