branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_max_envelope,2.0,269.1069920256662,1.6686775707524362,1.840968181818182,-0.95,0.98,0.0781192877039863,0.9984057288223676,-0.2361680547147346,-0.4271124408298162,269.7422138384445,-0.1988353137143158,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.05,269.0670761026544,1.628761647740589,1.9028431818181817,-0.95,0.98,0.074345644310534,0.9984827419528464,-0.233836752192924,-0.4710827423898709,269.71745788824506,-0.2063478425543173,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.1,269.02664276377834,1.5883283088645612,2.184145454545455,-0.95,0.98,0.079115101493021,0.9983854060919792,-0.236713383800204,-0.4147325934766613,269.74854723094614,-0.2044406776090406,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.15,268.9846187427604,1.546304287846624,2.2551681818181817,-0.95,0.98,0.0757466070643885,0.998454150876237,-0.2347484518891126,-0.4552547194798758,269.7267921705273,-0.2120161281333818,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,2.2,268.93857421536615,1.5002597604523658,2.3273272727272736,-0.95,0.98,0.0720643169833395,0.9985292996534012,-0.2322447816559154,-0.4957768591331334,269.7018748502869,-0.2199725651334744,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.15,-0.9857310946656396,0.0,0.9816045454545452,0.0,0.0,0.0,0.977504290753712,0.0625671782328914,0.9886881665893004,-0.4782768108564901,-0.073686336131309,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.2,-0.6984005736582888,0.2873305210073509,0.9672909090909092,0.0,0.0,0.0,0.9600137387198802,0.0620048921953172,0.9798029080993178,-0.1906711427272509,-0.0745598035105715,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.25,-0.4758739603886812,0.5098571342769584,0.9488863636363636,0.0,0.0,0.0,0.9375341582727468,0.061274641999831,0.9682634756473812,0.0323708312011816,-0.0756849436546346,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.3,-0.2945685549324205,0.6911625397332191,0.926390909090909,0.0,0.0,0.0,0.910072502303884,0.0603705633957642,0.9539772021929476,0.214562775974169,-0.0770638367661652,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.35,-0.1420091709377677,0.8437219237278719,0.8998045454545456,0.0,0.0,0.0,0.8776382224479878,0.0592850236151443,0.936823474539354,0.3685519169178062,-0.0786995964820611,0.063283025272499,0.1,1.0,1.0,1.0
full_mixed_maxQ_min_s_eta,0.4,-0.0108715578771491,0.9748595367884904,0.8691272727272726,0.0,0.0,0.0,0.8402440373358283,0.0580082751683922,0.9166482626044892,0.5018846024798169,-0.0805967119023629,0.063283025272499,0.1,1.0,1.0,1.0
