branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_max_envelope,1.15,1618.069950702204,1.8442557610155743,0.8121256756756757,-0.9666666666666668,0.995,0.06041409221301,0.9996964115969196,-0.2093134469925144,0.2716580429453992,1618.5919811178785,-0.1191748893780379,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.2,1618.086451510302,1.8607565691136188,0.8503351351351354,-0.9666666666666668,0.995,0.0619988384998272,0.9996884480477396,-0.2153763858714853,0.2224916145104752,1618.6049277471486,-0.1224630399150871,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.25,1618.099163162662,1.8734682214735583,0.889422972972973,-0.9666666666666668,0.995,0.0632682332878468,0.999682069179458,-0.2208248952543819,0.173325025453067,1618.615061600931,-0.1259576603413984,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.3,1618.1082699473832,1.8825750061946565,0.9293891891891892,-0.9666666666666668,0.995,0.0642222732216608,0.9996772750089364,-0.2256774157657509,0.1241582921145973,1618.6225449644974,-0.1296657530397008,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.35,1618.113907318427,1.88821237723846,0.970233783783784,-0.9666666666666668,0.995,0.0648609553834971,0.9996740655508368,-0.229947206060962,0.074991428957211,1618.6274928368807,-0.1335951540506581,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.4,1618.1161681515528,1.8904732103642343,1.011956756756757,-0.9666666666666668,0.995,0.0651842772321266,0.999672440817929,-0.2336428680557281,0.025824448809349,1618.6299790682265,-0.1377545803273135,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.45,1618.1151066061811,1.8894116649926216,1.0545581081081083,-0.9666666666666668,0.995,0.0651922365511097,0.9996724008213512,-0.2367686737895843,-0.0233426369247234,1618.6300401168285,-0.1421536874827281,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.5,1618.1107400268827,1.8850450856941732,1.098037837837838,-0.9666666666666668,0.995,0.0648848314048197,0.99967394557083,-0.2393247237302944,-0.0725098180855646,1618.6276768581322,-0.1468031392260316,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.55,1618.103049067173,1.8773541259845388,1.1423959459459458,-0.9666666666666668,0.995,0.0642620601009672,0.9996770750748696,-0.241306950453815,-0.1216770856045649,1618.6228546272675,-0.1517146906160158,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.6,1618.0919760422628,1.8662811010742644,1.1876324324324323,-0.9666666666666668,0.995,0.0633239211585726,0.9996817893409116,-0.2427069680215315,-0.1708444313713378,1618.6155015009465,-0.1569012884586034,0.063283025272499,0.1,1.0,1.0,1.0
