radius,dataset_count,phi_energy_mean,phi_energy_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,unit_count,phi_energy_sem,phi_energy_ci95_low,phi_energy_ci95_high
1.68,33,-0.005649520308860546,0.0006229435034833125,29.151515151515152,6,30,962,0.00010844054487920514,-0.005862063776823788,-0.0054369768408973045
1.69,34,-0.005680242481599367,0.0006234002360909596,28.735294117647058,1,30,977,0.00010691225846710554,-0.005889790508194893,-0.00547069445500384
1.7,33,-0.005689960476744127,0.000618300372301771,29.181818181818183,5,30,963,0.00010763227948682758,-0.005900919744538309,-0.005479001208949945
1.71,34,-0.005747211887906031,0.0006970252872954667,28.764705882352942,1,30,978,0.00011953885057972328,-0.0059815080350422885,-0.005512915740769774
1.72,33,-0.005731741584653357,0.0006219185605009811,29.060606060606062,4,30,959,0.00010826212520735264,-0.0059439353500597685,-0.005519547819246946
1.73,33,-0.005722466884603616,0.000627879515175627,29.606060606060606,19,30,977,0.00010929979422437316,-0.0059366944812833874,-0.005508239287923844
1.74,33,-0.005727115247738147,0.0006456435225861211,29.12121212121212,4,30,961,0.0001123921109947716,-0.005947403785287899,-0.005506826710188395
1.75,33,-0.005757539111545624,0.0006245328152171427,29.606060606060606,18,30,977,0.00010871720854041318,-0.005970624840284834,-0.005544453382806415
1.76,33,-0.005804538558283627,0.0006342638830676772,29.12121212121212,3,30,961,0.00011041117002178007,-0.006020944451526317,-0.005588132665040938
1.77,34,-0.005793951122002351,0.0006335974306600652,28.764705882352942,1,30,978,0.00010866106290813002,-0.006006926805302286,-0.005580975438702417
1.78,33,-0.005808202305660785,0.0006180409406384396,29.09090909090909,4,30,960,0.00010758711823099415,-0.006019073057393533,-0.005597331553928037
1.79,33,-0.005807648501225383,0.0006284599517837401,29.575757575757574,18,30,976,0.00010940083526854436,-0.00602207413835173,-0.0055932228640990355
1.8,33,-0.005837980024771737,0.000624328376090189,29.060606060606062,3,30,959,0.00010868162025640745,-0.006050996000474295,-0.005624964049069179
1.81,33,-0.005835209116343295,0.0006290635492275142,29.545454545454547,17,30,975,0.00010950590809669741,-0.0060498406962128225,-0.005620577536473768
1.82,33,-0.005900233255771404,0.0006437738331569193,29.151515151515152,4,30,962,0.00011206663984157101,-0.0061198838698608825,-0.005680582641681925
1.83,34,-0.005892313405513584,0.0006256116310762928,28.764705882352942,1,30,978,0.00010729150957828141,-0.006102604764287016,-0.005682022046740153
1.84,33,-0.005898995359929175,0.0006250006537342771,29.09090909090909,4,30,960,0.00010879864877284173,-0.0061122407115239445,-0.005685750008334405
1.85,33,-0.005898655267827619,0.0006325080806386068,29.575757575757574,18,30,976,0.00011010552405060619,-0.006114462094966807,-0.00568284844068843
1.86,33,-0.005925995313823529,0.0006295086909409802,29.03030303030303,2,30,958,0.00010958339732274567,-0.00614077877257611,-0.005711211855070947
1.87,33,-0.0059275748970859694,0.000633314445809232,29.575757575757574,18,30,976,0.00011024589420935294,-0.006143656849736301,-0.005711492944435638
1.88,33,-0.005965200979779216,0.0006237677917781999,29.151515151515152,5,30,962,0.00010858403505341085,-0.006178025688483901,-0.00575237627107453
